"Titre de tracé : p28"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 21065769, SEN S/N: 21065769, LBL: tension)","Temp., °C (LGR S/N: 21065769, SEN S/N: 21065769, LBL: temperature)","Arrêté (LGR S/N: 21065769)","Fin de fichier (LGR S/N: 21065769)"
1,11/10/23 16:35:11,1.50427,19.740,,
2,11/10/23 16:35:41,1.50195,19.756,,
3,11/10/23 16:36:11,1.48817,19.747,,
4,11/10/23 16:36:41,1.47959,19.734,,
5,11/10/23 16:37:11,1.47913,19.771,,
6,11/10/23 16:37:41,1.46624,19.796,,
7,11/10/23 16:38:11,1.45499,19.824,,
8,11/10/23 16:38:41,1.45464,19.854,,
9,11/10/23 16:39:11,1.44594,19.955,,
10,11/10/23 16:39:41,1.43374,20.056,,
11,11/10/23 16:40:11,1.42439,20.231,,
12,11/10/23 16:40:41,1.41382,20.296,,
13,11/10/23 16:41:11,1.40219,20.299,,
14,11/10/23 16:41:41,1.38941,20.295,,
15,11/10/23 16:42:11,1.38731,20.281,,
16,11/10/23 16:42:41,1.38769,20.201,,
17,11/10/23 16:43:11,1.39883,20.235,,
18,11/10/23 16:43:41,1.40757,20.289,,
19,11/10/23 16:44:11,1.40906,20.347,,
20,11/10/23 16:44:41,1.42096,20.339,,
21,11/10/23 16:45:11,1.42012,20.519,,
22,11/10/23 16:45:41,1.42905,20.464,,
23,11/10/23 16:46:11,1.43870,20.493,,
24,11/10/23 16:46:41,1.43965,20.430,,
25,11/10/23 16:47:11,1.45140,20.344,,
26,11/10/23 16:47:41,1.46216,20.375,,
27,11/10/23 16:48:11,1.46994,20.329,,
28,11/10/23 16:48:41,1.48047,20.327,,
29,11/10/23 16:49:11,1.49233,20.305,,
30,11/10/23 16:49:34,,,Enregistré,Enregistré
