Plot Title: 13_10_P9;;;;;;
#;Date Time, GMT+01:00;Volt, V (LGR S/N: 21065779, SEN S/N: 21065779, LBL: pression);Temp, °C (LGR S/N: 21065779, SEN S/N: 21065779, LBL: temperature);Host Connected (LGR S/N: 21065779);Stopped (LGR S/N: 21065779);End Of File (LGR S/N: 21065779)
10623;11/08/23 05:45:36 PM;1.54498;23.720;;;
10624;11/08/23 05:45:37 PM;1.54494;23.720;;;
10625;11/08/23 05:45:38 PM;1.54498;23.720;;;
10626;11/08/23 05:45:39 PM;1.54498;23.720;;;
10627;11/08/23 05:45:40 PM;1.54498;23.719;;;
10628;11/08/23 05:45:41 PM;1.54498;23.719;;;
10629;11/08/23 05:45:42 PM;1.54498;23.719;;;
10630;11/08/23 05:45:43 PM;1.54498;23.719;;;
10631;11/08/23 05:45:44 PM;1.54498;23.719;;;
10632;11/08/23 05:45:45 PM;1.54494;23.719;;;
10633;11/08/23 05:45:46 PM;1.54498;23.717;;;
10634;11/08/23 05:45:47 PM;1.54501;23.717;;;
10635;11/08/23 05:45:48 PM;1.54498;23.717;;;
10636;11/08/23 05:45:49 PM;1.54498;23.719;;;
10637;11/08/23 05:45:50 PM;1.54494;23.719;;;
10638;11/08/23 05:45:51 PM;1.54494;23.719;;;
10639;11/08/23 05:45:52 PM;1.54494;23.719;;;
10640;11/08/23 05:45:53 PM;1.54494;23.719;;;
10641;11/08/23 05:45:54 PM;1.54494;23.719;;;
10642;11/08/23 05:45:55 PM;1.54494;23.719;;;
10643;11/08/23 05:45:56 PM;1.54494;23.719;;;
10644;11/08/23 05:45:57 PM;1.54494;23.719;;;
10645;11/08/23 05:45:58 PM;1.54494;23.717;;;
10646;11/08/23 05:45:59 PM;1.54494;23.717;;;
10647;11/08/23 05:46:00 PM;1.54494;23.717;;;
10648;11/08/23 05:46:01 PM;1.54494;23.717;;;
10649;11/08/23 05:46:02 PM;1.54494;23.717;;;
10650;11/08/23 05:46:03 PM;1.54494;23.717;;;
10651;11/08/23 05:46:04 PM;1.54490;23.717;;;
10652;11/08/23 05:46:05 PM;1.54494;23.717;;;
10653;11/08/23 05:46:06 PM;1.54494;23.717;;;
10654;11/08/23 05:46:07 PM;1.54494;23.716;;;
10655;11/08/23 05:46:08 PM;1.54490;23.716;;;
10656;11/08/23 05:46:09 PM;1.54490;23.716;;;
10657;11/08/23 05:46:10 PM;1.54494;23.716;;;
10658;11/08/23 05:46:11 PM;1.54494;23.716;;;
10659;11/08/23 05:46:12 PM;1.54494;23.717;;;
10660;11/08/23 05:46:13 PM;1.54494;23.717;;;
10661;11/08/23 05:46:14 PM;1.54494;23.717;;;
10662;11/08/23 05:46:15 PM;1.54494;23.716;;;
10663;11/08/23 05:46:16 PM;1.54494;23.716;;;
10664;11/08/23 05:46:17 PM;1.54490;23.716;;;
10665;11/08/23 05:46:18 PM;1.54490;23.717;;;
10666;11/08/23 05:46:19 PM;1.54494;23.717;;;
10667;11/08/23 05:46:20 PM;1.54490;23.717;;;
10668;11/08/23 05:46:21 PM;1.54486;23.717;;;
10669;11/08/23 05:46:22 PM;1.54490;23.719;;;
10670;11/08/23 05:46:23 PM;1.54490;23.719;;;
10671;11/08/23 05:46:24 PM;1.54494;23.719;;;
10672;11/08/23 05:46:25 PM;1.54490;23.719;;;
10673;11/08/23 05:46:26 PM;1.54490;23.720;;;
10674;11/08/23 05:46:27 PM;1.54490;23.720;;;
10675;11/08/23 05:46:28 PM;1.54490;23.720;;;
10676;11/08/23 05:46:29 PM;1.54490;23.720;;;
10677;11/08/23 05:46:30 PM;1.54490;23.720;;;
10678;11/08/23 05:46:31 PM;1.54494;23.720;;;
10679;11/08/23 05:46:32 PM;1.54494;23.720;;;
10680;11/08/23 05:46:33 PM;1.54490;23.720;;;
10681;11/08/23 05:46:34 PM;1.54490;23.720;;;
10682;11/08/23 05:46:35 PM;1.54490;23.720;;;
10683;11/08/23 05:46:36 PM;1.54490;23.720;;;
10684;11/08/23 05:46:37 PM;1.54490;23.720;;;
