"Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445475, SEN S/N: 10445475, LBL: température)","Temp., °C (LGR S/N: 10445475, SEN S/N: 10445475, LBL: Température)"
07/12/16 12:00:00 PM,1.56471,20.007
07/12/16 12:15:00 PM,0.6221,14.361
07/12/16 12:30:00 PM,0.63614,14.314
07/12/16 12:45:00 PM,0.6978,14.218
07/12/16 01:00:00 PM,0.66911,14.098
07/12/16 01:15:00 PM,0.64408,14.242
07/12/16 01:30:00 PM,0.6398,14.314
07/12/16 01:45:00 PM,0.63919,14.29
07/12/16 02:00:00 PM,0.63736,14.385
07/12/16 02:15:00 PM,0.72711,14.409
07/12/16 02:30:00 PM,0.8022,14.601
07/12/16 02:45:00 PM,0.83639,14.577
07/12/16 03:00:00 PM,0.89133,14.745
07/12/16 03:15:00 PM,0.91392,14.577
07/12/16 03:30:00 PM,0.97924,14.649
07/12/16 03:45:00 PM,1.03846,14.792
07/12/16 04:00:00 PM,1.03724,14.84
07/12/16 04:15:00 PM,1.02442,14.601
07/12/16 04:30:00 PM,1.08852,14.673
07/12/16 04:45:00 PM,1.08181,14.553
07/12/16 05:00:00 PM,1.12027,14.697
07/12/16 05:15:00 PM,1.14286,14.601
07/12/16 05:30:00 PM,1.13553,14.864
07/12/16 05:45:00 PM,1.14713,14.864
07/12/16 06:00:00 PM,1.13248,14.984
07/12/16 06:15:00 PM,1.10684,14.768
07/12/16 06:30:00 PM,1.1221,14.792
07/12/16 06:45:00 PM,1.12454,14.625
07/12/16 07:00:00 PM,1.13248,14.697
07/12/16 07:15:00 PM,1.12637,14.505
07/12/16 07:30:00 PM,1.14347,14.529
07/12/16 07:45:00 PM,1.14103,14.385
07/12/16 08:00:00 PM,1.14896,14.361
07/12/16 08:15:00 PM,1.19658,14.433
07/12/16 08:30:00 PM,1.17399,14.242
07/12/16 08:45:00 PM,1.16606,14.098
07/12/16 09:00:00 PM,1.12759,14.146
07/12/16 09:15:00 PM,1.16545,14.218
07/12/16 09:30:00 PM,1.19658,14.05
07/12/16 09:45:00 PM,1.20147,14.122
07/12/16 10:00:00 PM,1.20574,13.93
07/12/16 10:15:00 PM,1.23382,13.978
07/12/16 10:30:00 PM,1.19353,13.81
07/12/16 10:45:00 PM,1.21978,13.81
07/12/16 11:00:00 PM,1.22955,13.714
07/12/16 11:15:00 PM,1.21306,13.738
07/12/16 11:30:00 PM,1.22405,13.762
07/12/16 11:45:00 PM,1.20147,13.57
07/13/16 12:00:00 AM,1.21368,13.594
07/13/16 12:15:00 AM,1.19292,13.425
07/13/16 12:30:00 AM,1.20452,13.497
07/13/16 12:45:00 AM,1.24054,13.546
07/13/16 01:00:00 AM,1.21062,13.425
07/13/16 01:15:00 AM,1.20635,13.401
07/13/16 01:30:00 AM,1.19841,13.329
07/13/16 01:45:00 AM,1.21429,13.353
07/13/16 02:00:00 AM,1.19414,13.161
07/13/16 02:15:00 AM,1.19292,13.233
07/13/16 02:30:00 AM,0.94505,13.137
07/13/16 02:45:00 AM,1.0177,13.161
07/13/16 03:00:00 AM,1.04579,13.209
07/13/16 03:15:00 AM,1.08364,13.112
07/13/16 03:30:00 AM,1.10806,13.112
07/13/16 03:45:00 AM,1.10317,13.016
07/13/16 04:00:00 AM,1.11477,13.112
07/13/16 04:15:00 AM,1.13065,13.185
07/13/16 04:30:00 AM,1.13797,13.016
07/13/16 04:45:00 AM,1.13797,13.064
07/13/16 05:00:00 AM,1.15446,13.064
07/13/16 05:15:00 AM,1.14591,12.92
07/13/16 05:30:00 AM,1.14347,13.016
07/13/16 05:45:00 AM,1.14469,12.871
07/13/16 06:00:00 AM,1.13431,12.92
07/13/16 06:15:00 AM,1.12332,12.823
07/13/16 06:30:00 AM,1.14835,12.92
07/13/16 06:45:00 AM,1.15018,13.016
07/13/16 07:00:00 AM,1.1801,12.871
07/13/16 07:15:00 AM,1.16422,12.992
07/13/16 07:30:00 AM,1.17643,12.992
07/13/16 07:45:00 AM,1.1746,12.944
07/13/16 08:00:00 AM,1.17521,13.04
07/13/16 08:15:00 AM,1.17277,12.944
07/13/16 08:30:00 AM,1.14164,13.04
07/13/16 08:45:00 AM,1.17521,13.088
07/13/16 09:00:00 AM,1.1746,13.088
07/13/16 09:15:00 AM,1.18132,13.185
07/13/16 09:30:00 AM,1.18254,13.161
07/13/16 09:45:00 AM,1.22589,13.401
07/13/16 10:00:00 AM,1.23687,13.497
07/13/16 10:15:00 AM,1.20513,13.425
07/13/16 10:30:00 AM,1.24664,13.69
07/13/16 10:45:00 AM,1.26862,13.786
07/13/16 11:00:00 AM,1.24115,13.858
07/13/16 11:15:00 AM,1.24969,13.93
07/13/16 11:30:00 AM,1.2442,13.786
07/13/16 11:45:00 AM,1.25458,13.882
07/13/16 12:00:00 PM,1.24847,13.81
07/13/16 12:15:00 PM,1.20147,13.81
07/13/16 12:30:00 PM,1.21856,13.858
07/13/16 12:45:00 PM,1.23626,13.858
07/13/16 01:00:00 PM,1.29487,14.074
07/13/16 01:15:00 PM,1.30281,14.29
07/13/16 01:30:00 PM,1.28388,14.17
07/13/16 01:45:00 PM,1.30098,14.146
07/13/16 02:00:00 PM,1.26007,13.954
07/13/16 02:15:00 PM,1.21123,13.882
07/13/16 02:30:00 PM,1.19536,13.762
07/13/16 02:45:00 PM,1.22344,13.786
07/13/16 03:00:00 PM,0.96703,13.882
