"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)"
07/12/16 11:00:00 AM,22.154,21.604,20.317,20.65
07/12/16 11:15:00 AM,26.5,27.038,23.737,21.819
07/12/16 11:30:00 AM,14.553,13.738,13.69,13.738
07/12/16 11:45:00 AM,14.768,14.002,13.954,14.002
07/12/16 12:00:00 PM,15.031,14.649,14.816,15.079
07/12/16 12:15:00 PM,15.27,14.433,14.673,14.912
07/12/16 12:30:00 PM,15.175,14.314,14.505,14.697
07/12/16 12:45:00 PM,15.127,14.218,14.385,14.529
07/12/16 01:00:00 PM,15.127,14.146,14.29,14.409
07/12/16 01:15:00 PM,15.127,14.098,14.218,14.314
07/12/16 01:30:00 PM,15.127,14.074,14.17,14.242
07/12/16 01:45:00 PM,15.151,14.05,14.122,14.17
07/12/16 02:00:00 PM,15.151,14.026,14.074,14.122
07/12/16 02:15:00 PM,15.199,14.002,14.05,14.098
07/12/16 02:30:00 PM,15.223,14.002,14.026,14.074
07/12/16 02:45:00 PM,15.27,14.002,14.002,14.074
07/12/16 03:00:00 PM,15.318,13.978,13.978,14.05
07/12/16 03:15:00 PM,15.318,13.978,13.954,14.026
07/12/16 03:30:00 PM,15.366,13.978,13.93,14.002
07/12/16 03:45:00 PM,15.485,14.098,13.906,14.002
07/12/16 04:00:00 PM,15.557,14.337,13.906,14.026
07/12/16 04:15:00 PM,15.581,14.337,13.882,14.242
07/12/16 04:30:00 PM,15.605,14.337,13.882,14.242
07/12/16 04:45:00 PM,15.605,14.337,13.858,14.242
07/12/16 05:00:00 PM,15.605,14.314,13.858,14.242
07/12/16 05:15:00 PM,15.605,14.314,13.834,14.194
07/12/16 05:30:00 PM,15.581,14.314,13.834,14.194
07/12/16 05:45:00 PM,15.605,14.314,13.834,14.194
07/12/16 06:00:00 PM,15.652,14.314,13.81,14.194
07/12/16 06:15:00 PM,15.676,14.314,13.81,14.17
07/12/16 06:30:00 PM,15.7,14.337,13.81,14.17
07/12/16 06:45:00 PM,15.7,14.337,13.786,14.17
07/12/16 07:00:00 PM,15.676,14.361,13.786,14.17
07/12/16 07:15:00 PM,15.652,14.361,13.786,14.146
07/12/16 07:30:00 PM,15.629,14.337,13.762,14.146
07/12/16 07:45:00 PM,15.629,14.337,13.762,14.146
07/12/16 08:00:00 PM,15.581,14.337,13.762,14.146
07/12/16 08:15:00 PM,15.557,14.337,13.762,14.146
07/12/16 08:30:00 PM,15.533,14.385,13.762,14.122
07/12/16 08:45:00 PM,15.509,14.409,13.762,14.122
07/12/16 09:00:00 PM,15.461,14.433,13.762,14.098
07/12/16 09:15:00 PM,15.438,14.409,13.738,14.05
07/12/16 09:30:00 PM,15.39,14.385,13.738,14.026
07/12/16 09:45:00 PM,15.39,14.385,13.738,14.026
07/12/16 10:00:00 PM,15.342,14.385,13.738,14.026
07/12/16 10:15:00 PM,15.342,14.361,13.738,14.026
07/12/16 10:30:00 PM,15.318,14.361,13.738,14.026
07/12/16 10:45:00 PM,15.27,14.361,13.738,14.026
07/12/16 11:00:00 PM,15.247,14.361,13.738,14.05
07/12/16 11:15:00 PM,15.223,14.337,13.738,14.05
07/12/16 11:30:00 PM,15.175,14.337,13.738,14.026
07/12/16 11:45:00 PM,15.127,14.314,13.738,14.002
07/13/16 12:00:00 AM,15.103,14.314,13.738,14.002
07/13/16 12:15:00 AM,15.055,14.29,13.738,14.002
07/13/16 12:30:00 AM,15.031,14.29,13.738,14.002
07/13/16 12:45:00 AM,15.008,14.266,13.738,14.002
07/13/16 01:00:00 AM,14.96,14.242,13.738,13.978
07/13/16 01:15:00 AM,14.936,14.242,13.714,13.978
07/13/16 01:30:00 AM,14.912,14.218,13.738,13.954
07/13/16 01:45:00 AM,14.888,14.218,13.714,13.954
07/13/16 02:00:00 AM,14.84,14.194,13.714,13.954
07/13/16 02:15:00 AM,14.816,14.17,13.714,13.954
07/13/16 02:30:00 AM,14.768,14.17,13.714,13.954
07/13/16 02:45:00 AM,14.745,14.146,13.714,13.93
