Plot Title: P9RG_2024_07102024,,,,,,,
#,"Date Heure, GMT+02:00","Tension, V (LGR S/N: 22073523, SEN S/N: 22073523, LBL: pression)","Temp., °C (LGR S/N: 22073523, SEN S/N: 22073523, LBL: temperature)","Temp., °C (LGR S/N: 22073523, SEN S/N: 22073523, LBL: temperature_in)",Hôte connecté (LGR S/N: 22073523),Arrêté (LGR S/N: 22073523),Fin de fichier (LGR S/N: 22073523)
1,2010/7/24 15:15,1.53929,16.829,17.241,,,
2,2010/7/24 15:17,,,,,,
3,2010/7/24 15:17,,,,,,
4,2010/7/24 15:18,,,,,,
5,2010/7/24 15:18,,,,,,
6,2010/7/24 15:18,,,,,,
7,2010/7/24 15:18,,,,,,
8,2010/7/24 15:18,,,,,,
9,2010/7/24 15:18,,,,,,
10,2010/7/24 15:18,,,,,,
11,2010/7/24 15:18,,,,,,
12,2010/7/24 15:19,,,,,,
13,2010/7/24 15:19,,,,,,
14,2010/7/24 15:20,,,,,,
15,2010/7/24 15:20,,,,,,
16,2010/7/24 15:20,,,,,,
17,2010/7/24 15:20,,,,,,
18,2010/7/24 15:20,,,,,,
19,2010/7/24 15:20,,,,,,
20,2010/7/24 15:20,,,,,,
21,2010/7/24 15:20,,,,,,
22,2010/7/24 15:20,,,,,,
23,2010/7/24 15:20,,,,,,
24,2010/7/24 15:21,,,,,,
25,2010/7/24 15:21,,,,,,
26,2010/7/24 15:21,,,,,,
27,2010/7/24 15:21,,,,,,
28,2010/7/24 15:21,,,,,,
29,2010/7/24 15:21,,,,,,
30,2010/7/24 15:21,,,,,,
31,2010/7/24 15:21,,,,,,
32,2010/7/24 15:30,1.56542,16.146,16.932,,,
33,2010/7/24 15:45,0.61799,14.156,14.238,,,
34,2010/7/24 16:00,0.62028,14.165,14.197,,,
35,2010/7/24 16:15,0.62158,14.171,14.189,,,
36,2010/7/24 16:30,0.795,14.185,14.194,,,
37,2010/7/24 16:45,0.97501,14.21,14.216,,,
38,2010/7/24 17:00,1.10704,14.213,14.219,,,
39,2010/7/24 17:15,1.2145,14.22,14.226,,,
40,2010/7/24 17:30,1.29309,14.231,14.234,,,
41,2010/7/24 17:45,1.35893,14.234,14.237,,,
42,2010/7/24 18:00,1.40761,14.24,14.241,,,
43,2010/7/24 18:15,1.44888,14.249,14.25,,,
44,2010/7/24 18:30,1.46048,14.253,14.255,,,
45,2010/7/24 18:45,1.47276,14.267,14.267,,,
46,2010/7/24 19:00,1.48875,14.279,14.28,,,
