Plot Title: hobo9,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10848911, SEN S/N: 10848911, LBL: Temperature1)","Temp., °C (LGR S/N: 10848911, SEN S/N: 10848911, LBL: Temperature2)","Temp., °C (LGR S/N: 10848911, SEN S/N: 10848911, LBL: Temperature3)","Temp., °C (LGR S/N: 10848911, SEN S/N: 10848911, LBL: Temperature4)",Hôte connecté (LGR S/N: 10848911),Arrêté (LGR S/N: 10848911),Fin de fichier (LGR S/N: 10848911)
1,08/28/24 02:00:00 PM,15.998,15.675,23.776,21.053,,,
2,08/28/24 02:15:00 PM,16.044,15.7,23.337,19.6,,,
3,08/28/24 02:30:00 PM,16.091,15.728,22.836,19.313,,,
4,08/28/24 02:45:00 PM,16.135,15.755,22.673,19.19,,,
5,08/28/24 03:00:00 PM,16.181,15.782,22.57,19.149,,,
6,08/28/24 03:15:00 PM,16.226,15.809,22.428,19.035,,,
7,08/28/24 03:30:00 PM,16.269,15.837,22.197,18.765,,,
8,08/28/24 03:45:00 PM,16.309,15.864,21.893,18.469,,,
9,08/28/24 04:00:00 PM,16.351,15.892,21.515,18.125,,,
10,08/28/24 04:15:00 PM,16.391,15.919,21.164,17.84,,,
11,08/28/24 04:30:00 PM,16.43,15.947,20.853,17.635,,,
12,08/28/24 04:45:00 PM,16.469,15.976,20.619,17.495,,,
13,08/28/24 05:00:00 PM,16.506,16.003,20.439,17.397,,,
14,08/28/24 05:15:00 PM,16.543,16.029,20.298,17.32,,,
15,08/28/24 05:30:00 PM,16.58,16.056,20.19,17.26,,,
16,08/28/24 05:45:00 PM,16.616,16.083,20.117,17.213,,,
17,08/28/24 06:00:00 PM,16.649,16.11,20.054,17.176,,,
18,08/28/24 06:15:00 PM,16.679,16.137,19.993,17.146,,,
19,08/28/24 06:30:00 PM,16.705,16.164,19.943,17.122,,,
20,08/28/24 06:45:00 PM,16.731,16.187,19.893,17.101,,,
21,08/28/24 07:00:00 PM,16.755,16.213,19.847,17.074,,,
22,08/28/24 07:15:00 PM,16.775,16.237,19.795,17.054,,,
