Plot Title: hobo14,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature1)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature2)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature3)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065765),Arrêté (LGR S/N: 21065765),Fin de fichier (LGR S/N: 21065765)
1,2009/9/24 16:00,21.39,20.323,20.064,19.729,,,
2,2009/9/24 16:15,16.435,16.402,16.379,16.32,,,
3,2009/9/24 16:30,16.441,16.341,16.326,16.293,,,
4,2009/9/24 16:45,16.457,16.332,16.311,16.283,,,
5,2009/9/24 17:00,16.478,16.332,16.305,16.275,,,
6,2009/9/24 17:15,16.478,16.335,16.301,16.269,,,
7,2009/9/24 17:30,16.479,16.338,16.299,16.266,,,
8,2009/9/24 17:45,16.494,16.338,16.298,16.263,,,
9,2009/9/24 18:00,16.497,16.347,16.298,16.26,,,
10,2009/9/24 18:15,16.497,16.351,16.298,16.257,,,
11,2009/9/24 18:30,16.497,16.356,16.298,16.256,,,
12,2009/9/24 18:45,16.503,16.359,16.299,16.254,,,
13,2009/9/24 19:00,16.509,16.362,16.301,16.253,,,
14,2009/9/24 19:15,16.521,16.366,16.301,16.253,,,
15,2009/9/24 19:30,16.53,16.371,16.302,16.251,,,
16,2009/9/24 19:45,16.54,16.372,16.304,16.25,,,
17,2009/9/24 20:00,16.546,16.376,16.305,16.25,,,
18,2009/9/24 20:15,16.552,16.381,16.306,16.248,,,
19,2009/9/24 20:30,16.557,16.385,16.308,16.248,,,
20,2009/9/24 20:45,16.564,16.388,16.309,16.248,,,
21,2009/9/24 21:00,16.566,16.393,16.311,16.248,,,
22,2009/9/24 21:15,16.557,16.396,16.312,16.248,,,
23,2009/9/24 21:30,16.548,16.396,16.314,16.248,,,
24,2009/9/24 21:45,16.545,16.399,16.315,16.248,,,
25,2009/9/24 22:00,16.53,16.402,16.317,16.248,,,
26,2009/9/24 22:15,16.515,16.402,16.318,16.248,,,
27,2009/9/24 22:30,16.497,16.403,16.32,16.248,,,
28,2009/9/24 22:45,16.481,16.402,16.321,16.248,,,
29,2009/9/24 23:00,16.461,16.4,16.323,16.248,,,
30,2009/9/24 23:15,16.438,16.399,16.324,16.25,,,
31,2009/9/24 23:30,16.417,16.396,16.324,16.25,,,
32,2009/9/24 23:45,16.397,16.391,16.326,16.25,,,
33,2009/10/24 0:00,16.375,16.387,16.326,16.25,,,
34,2009/10/24 0:15,16.35,16.382,16.326,16.251,,,
35,2009/10/24 0:30,16.323,16.376,16.326,16.251,,,
36,2009/10/24 0:45,16.296,16.371,16.326,16.251,,,
37,2009/10/24 1:00,16.265,16.363,16.326,16.251,,,
38,2009/10/24 1:15,16.231,16.356,16.324,16.251,,,
39,2009/10/24 1:30,16.196,16.347,16.323,16.251,,,
40,2009/10/24 1:45,16.164,16.338,16.323,16.251,,,
41,2009/10/24 2:00,16.131,16.327,16.32,16.251,,,
42,2009/10/24 2:15,16.096,16.317,16.318,16.251,,,
43,2009/10/24 2:30,16.059,16.306,16.315,16.25,,,
44,2009/10/24 2:45,16.023,16.295,16.312,16.25,,,
45,2009/10/24 3:00,15.988,16.283,16.309,16.25,,,
46,2009/10/24 3:15,15.952,16.269,16.306,16.248,,,
47,2009/10/24 3:30,15.919,16.256,16.302,16.247,,,
48,2009/10/24 3:45,15.885,16.242,16.299,16.247,,,
49,2009/10/24 4:00,15.851,16.228,16.293,16.245,,,
50,2009/10/24 4:15,15.889,16.213,16.289,16.244,,,
51,2009/10/24 4:30,15.883,16.211,16.284,16.242,,,
52,2009/10/24 4:45,15.819,16.205,16.278,16.241,,,
53,2009/10/24 5:00,15.778,16.195,16.272,16.238,,,
54,2009/10/24 5:15,15.773,16.181,16.268,16.237,,,
55,2009/10/24 5:30,15.716,16.171,16.262,16.234,,,
56,2009/10/24 5:45,15.66,16.155,16.256,16.232,,,
57,2009/10/24 6:00,15.613,16.138,16.248,16.229,,,
58,2009/10/24 6:15,15.63,16.12,16.242,16.226,,,
59,2009/10/24 6:30,15.546,16.104,16.235,16.223,,,
60,2009/10/24 6:45,15.508,16.085,16.228,16.22,,,
61,2009/10/24 7:00,15.469,16.067,16.219,16.216,,,
62,2009/10/24 7:15,15.414,16.049,16.211,16.213,,,
63,2009/10/24 7:30,15.394,16.031,16.202,16.21,,,
64,2009/10/24 7:45,15.36,16.012,16.193,16.205,,,
65,2009/10/24 8:00,15.33,15.992,16.184,16.201,,,
66,2009/10/24 8:15,15.315,15.973,16.175,16.196,,,
67,2009/10/24 8:30,15.29,15.955,16.166,16.192,,,
68,2009/10/24 8:45,15.249,15.936,16.156,16.187,,,
69,2009/10/24 9:00,15.272,15.918,16.146,16.183,,,
70,2009/10/24 9:15,15.251,15.901,16.135,16.178,,,
71,2009/10/24 9:30,15.249,15.885,16.125,16.172,,,
72,2009/10/24 9:45,15.269,15.87,16.114,16.166,,,
73,2009/10/24 10:00,15.248,15.855,16.104,16.162,,,
74,2009/10/24 10:15,15.29,15.843,16.093,16.156,,,
75,2009/10/24 10:30,15.305,15.833,16.083,16.15,,,
76,2009/10/24 10:45,15.27,15.821,16.073,16.144,,,
77,2009/10/24 11:00,15.257,15.809,16.062,16.138,,,
78,2009/10/24 11:15,15.242,15.798,16.053,16.132,,,
79,2009/10/24 11:30,15.254,15.788,16.044,16.126,,,
80,2009/10/24 11:45,15.249,15.781,16.035,16.122,,,
81,2009/10/24 12:00,15.263,15.772,16.026,16.114,,,
82,2009/10/24 12:15,15.29,15.764,16.016,16.108,,,
83,2009/10/24 12:30,15.309,15.757,16.004,16.099,,,
84,2009/10/24 12:45,15.317,15.752,15.995,16.092,,,
85,2009/10/24 13:00,15.349,15.746,15.986,16.086,,,
86,2009/10/24 13:15,15.321,15.743,15.979,16.08,,,
87,2009/10/24 13:30,15.317,15.739,15.971,16.074,,,
88,2009/10/24 13:45,15.323,15.733,15.964,16.068,,,
89,2009/10/24 14:00,15.376,15.728,15.958,16.062,,,
90,2009/10/24 14:15,15.408,15.727,15.95,16.056,,,
91,2009/10/24 14:30,15.408,15.724,15.943,16.049,,,
92,2009/10/24 14:45,15.403,15.721,15.936,16.043,,,
93,2009/10/24 15:00,15.378,15.718,15.93,16.037,,,
94,2009/10/24 15:15,15.366,15.715,15.925,16.031,,,
95,2009/10/24 15:30,15.364,15.712,15.919,16.025,,,
96,2009/10/24 15:45,15.381,15.71,15.913,16.019,,,
97,2009/10/24 16:00,15.399,15.707,15.909,16.015,,,
98,2009/10/24 16:15,15.375,15.706,15.904,16.009,,,
