"Titre de tracé : t1_2022"
"#","Date Heure, GMT+01:00","Temp., °F (LGR S/N: 21065764, SEN S/N: 21065764, LBL: temp1)","Temp., °F (LGR S/N: 21065764, SEN S/N: 21065764, LBL: temp2)","Temp., °F (LGR S/N: 21065764, SEN S/N: 21065764, LBL: temp3)","Temp., °F (LGR S/N: 21065764, SEN S/N: 21065764, LBL: temp4)","Bouton Bas (LGR S/N: 21065764)","Bouton Haut (LGR S/N: 21065764)","Hôte connecté (LGR S/N: 21065764)","Arrêté (LGR S/N: 21065764)","Fin de fichier (LGR S/N: 21065764)"
1,03/02/22 03:00:00 PM,473.187,479.084,464.779,360.745,,,,,
2,03/02/22 03:06:15 PM,,,,,Enregistré,,,,
3,03/02/22 03:06:16 PM,,,,,,Enregistré,,,
4,03/02/22 03:15:00 PM,46.108,45.664,-53.334,45.768,,,,,
5,03/02/22 03:30:00 PM,46.168,45.685,-56.331,45.779,,,,,
6,03/02/22 03:45:00 PM,46.281,45.709,-57.233,45.783,,,,,
7,03/02/22 04:00:00 PM,46.278,45.802,-55.898,45.784,,,,,
8,03/02/22 04:15:00 PM,46.341,45.828,-56.963,45.790,,,,,
9,03/02/22 04:30:00 PM,46.396,45.849,-56.483,45.797,,,,,
10,03/02/22 04:45:00 PM,46.443,45.878,-56.846,45.799,,,,,
11,03/02/22 05:00:00 PM,46.495,45.903,-57.176,45.802,,,,,
12,03/02/22 05:15:00 PM,46.542,45.932,-57.469,45.804,,,,,
13,03/02/22 05:30:00 PM,46.593,45.959,-57.546,45.808,,,,,
14,03/02/22 05:45:00 PM,46.643,45.988,-57.843,45.810,,,,,
15,03/02/22 06:00:00 PM,46.693,46.017,-58.083,45.813,,,,,
16,03/02/22 06:15:00 PM,46.742,46.047,-58.484,45.817,,,,,
17,03/02/22 06:30:00 PM,46.783,46.076,-59.013,45.819,,,,,
18,03/02/22 06:45:00 PM,46.823,46.103,-59.510,45.822,,,,,
19,03/02/22 07:00:00 PM,46.859,46.132,-60.099,45.824,,,,,
20,03/02/22 07:15:00 PM,46.890,46.161,-60.804,45.829,,,,,
