"Titre de tracé : p2_2022"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 21065765, SEN S/N: 21065765, LBL: tension)","Temp., °F (LGR S/N: 21065765, SEN S/N: 21065765, LBL: temperature)","Temp., °F (LGR S/N: 21065765, SEN S/N: 21065765, LBL: remperature boite)","Hôte connecté (LGR S/N: 21065765)","Arrêté (LGR S/N: 21065765)","Fin de fichier (LGR S/N: 21065765)"
1,03/02/22 03:00:00 PM,0.00916,475.412,457.435,,,
2,03/02/22 03:15:00 PM,1.55066,53.121,271.449,,,
3,03/02/22 03:30:00 PM,1.53826,69.858,252.221,,,
4,03/02/22 03:45:00 PM,1.60235,52.831,56.403,,,
5,03/02/22 04:00:00 PM,1.55550,52.979,55.857,,,
6,03/02/22 04:15:00 PM,1.53689,47.421,53.613,,,
7,03/02/22 04:30:00 PM,1.54616,47.462,49.469,,,
8,03/02/22 04:45:00 PM,1.55123,47.527,48.504,,,
9,03/02/22 05:00:00 PM,1.55444,47.593,48.097,,,
10,03/02/22 05:15:00 PM,1.55547,47.664,47.919,,,
11,03/02/22 05:30:00 PM,1.55570,47.721,47.847,,,
12,03/02/22 05:45:00 PM,1.55627,47.770,47.826,,,
13,03/02/22 06:00:00 PM,1.55264,47.806,47.822,,,
14,03/02/22 06:15:00 PM,1.55180,47.842,47.833,,,
15,03/02/22 06:30:00 PM,1.54875,47.863,47.847,,,
16,03/02/22 06:45:00 PM,1.54707,47.872,47.853,,,
17,03/02/22 07:00:00 PM,1.54524,47.863,47.851,,,
18,03/02/22 07:15:00 PM,1.54383,47.844,47.836,,,
19,03/02/22 07:30:00 PM,1.54322,47.820,47.813,,,
20,03/02/22 07:45:00 PM,1.53929,47.782,47.786,,,
21,03/02/22 08:00:00 PM,1.53761,47.732,47.746,,,
22,03/02/22 08:15:00 PM,1.53582,47.691,47.701,,,
23,03/02/22 08:30:00 PM,1.53658,47.644,47.658,,,
24,03/02/22 08:45:00 PM,1.53315,47.595,47.610,,,
25,03/02/22 09:00:00 PM,1.53269,47.545,47.563,,,
