"Titre de tracé : t2_2022"
"#","Date Heure, GMT+01:00","Temp., °F (LGR S/N: 21065775, SEN S/N: 21065775, LBL: TM1)","Temp., °F (LGR S/N: 21065775, SEN S/N: 21065775, LBL: TM2)","Temp., °F (LGR S/N: 21065775, SEN S/N: 21065775, LBL: TM3)","Temp., °F (LGR S/N: 21065775, SEN S/N: 21065775, LBL: TM4)","Hôte connecté (LGR S/N: 21065775)","Arrêté (LGR S/N: 21065775)","Fin de fichier (LGR S/N: 21065775)"
1,03/02/22 04:00:00 PM,46.593,46.481,45.828,45.797,,,
2,03/02/22 04:15:00 PM,46.573,46.463,45.797,45.768,,,
3,03/02/22 04:30:00 PM,46.578,46.477,45.784,45.748,,,
4,03/02/22 04:45:00 PM,46.616,46.501,45.783,45.734,,,
5,03/02/22 05:00:00 PM,46.657,46.531,45.784,45.723,,,
6,03/02/22 05:15:00 PM,46.699,46.566,45.788,45.718,,,
7,03/02/22 05:30:00 PM,46.747,46.603,45.797,45.712,,,
8,03/02/22 05:45:00 PM,46.789,46.641,45.802,45.709,,,
9,03/02/22 06:00:00 PM,46.834,46.681,45.813,45.705,,,
10,03/02/22 06:15:00 PM,46.873,46.719,45.824,45.705,,,
11,03/02/22 06:30:00 PM,46.913,46.756,45.837,45.709,,,
12,03/02/22 06:45:00 PM,46.947,46.792,45.847,45.712,,,
13,03/02/22 07:00:00 PM,46.978,46.827,45.862,45.718,,,
14,03/02/22 07:15:00 PM,47.003,46.857,45.878,45.723,,,
15,03/02/22 07:30:00 PM,47.025,46.884,45.892,45.729,,,
16,03/02/22 07:45:00 PM,47.035,46.909,45.909,45.734,,,
17,03/02/22 08:00:00 PM,47.048,46.933,45.927,45.743,,,
18,03/02/22 08:15:00 PM,47.053,46.949,45.941,45.752,,,
19,03/02/22 08:30:00 PM,47.053,46.967,45.957,45.759,,,
20,03/02/22 08:45:00 PM,47.050,46.974,45.973,45.772,,,
21,03/02/22 09:00:00 PM,47.048,46.983,45.991,45.779,,,
22,03/02/22 09:15:00 PM,47.039,46.989,46.008,45.790,,,
23,03/02/22 09:30:00 PM,47.025,46.992,46.024,45.802,,,
24,03/02/22 09:45:00 PM,47.008,46.992,46.042,45.813,,,
25,03/02/22 10:00:00 PM,46.992,46.989,46.056,45.824,,,
26,03/02/22 10:15:00 PM,46.972,46.983,46.072,45.837,,,
27,03/02/22 10:30:00 PM,46.949,46.974,46.087,45.847,,,
28,03/02/22 10:45:00 PM,46.922,46.963,46.101,45.858,,,
29,03/02/22 11:00:00 PM,46.893,46.953,46.112,45.867,,,
30,03/02/22 11:15:00 PM,46.863,46.935,46.126,45.878,,,
31,03/02/22 11:30:00 PM,46.832,46.918,46.137,45.889,,,
32,03/02/22 11:45:00 PM,46.794,46.899,46.148,45.901,,,
33,03/03/22 12:00:00 AM,46.753,46.877,46.157,45.912,,,
34,03/03/22 12:15:00 AM,46.713,46.852,46.168,45.921,,,
35,03/03/22 12:30:00 AM,46.668,46.823,46.177,45.932,,,
36,03/03/22 12:45:00 AM,46.623,46.794,46.182,45.941,,,
37,03/03/22 01:00:00 AM,46.582,46.767,46.191,45.952,,,
38,03/03/22 01:15:00 AM,46.540,46.737,46.197,45.959,,,
39,03/03/22 01:30:00 AM,46.497,46.706,46.198,45.968,,,
40,03/03/22 01:45:00 AM,46.450,46.674,46.206,45.973,,,
41,03/03/22 02:00:00 AM,46.405,46.641,46.207,45.982,,,
42,03/03/22 02:15:00 AM,46.360,46.607,46.207,45.991,,,
43,03/03/22 02:30:00 AM,46.315,46.576,46.211,45.997,,,
44,03/03/22 02:45:00 AM,46.272,46.542,46.211,46.002,,,
45,03/03/22 03:00:00 AM,46.227,46.506,46.211,46.008,,,
46,03/03/22 03:15:00 AM,46.188,46.472,46.207,46.013,,,
47,03/03/22 03:30:00 AM,46.148,46.441,46.206,46.017,,,
48,03/03/22 03:45:00 AM,46.112,46.407,46.202,46.022,,,
49,03/03/22 04:00:00 AM,46.083,46.380,46.198,46.024,,,
50,03/03/22 04:15:00 AM,46.053,46.351,46.197,46.027,,,
51,03/03/22 04:30:00 AM,46.027,46.323,46.191,46.031,,,
52,03/03/22 04:45:00 AM,46.002,46.301,46.186,46.033,,,
53,03/03/22 05:00:00 AM,45.979,46.276,46.180,46.033,,,
54,03/03/22 05:15:00 AM,45.959,46.256,46.173,46.036,,,
55,03/03/22 05:30:00 AM,45.941,46.233,46.168,46.036,,,
56,03/03/22 05:45:00 AM,45.923,46.216,46.162,46.036,,,
57,03/03/22 06:00:00 AM,45.907,46.197,46.153,46.036,,,
