Plot Title: p13RG_2024,,,,,,,
#,"Date Heure, GMT+02:00","Tension, V (LGR S/N: 22065191, SEN S/N: 22065191, LBL: pression)","Temp., °C (LGR S/N: 22065191, SEN S/N: 22065191, LBL: temperatue)","Temp., °C (LGR S/N: 22065191, SEN S/N: 22065191, LBL: temperature_in)",Hôte connecté (LGR S/N: 22065191),Arrêté (LGR S/N: 22065191),Fin de fichier (LGR S/N: 22065191)
1,2010/7/24 12:24,1.51602,19.411,54.567,,,
2,2010/7/24 12:39,1.43782,18.418,18.66,,,
3,2010/7/24 12:54,1.50626,17.474,17.932,,,
4,2010/7/24 13:09,1.50729,17.797,18.293,,,
5,2010/7/24 13:24,1.50977,17.901,17.956,,,
6,2010/7/24 13:39,1.51118,18.861,18.317,,,
7,2010/7/24 13:54,1.56626,19.642,19.193,,,
8,2010/7/24 14:09,1.50591,14.032,14.992,,,
9,2010/7/24 14:24,1.47684,17.742,16.085,,,
10,2010/7/24 14:39,1.57065,14.098,14.759,,,
11,2010/7/24 14:54,1.4958,14.104,14.325,,,
12,2010/7/24 15:09,1.50156,14.125,14.217,,,
13,2010/7/24 15:24,2.49996,14.144,14.198,,,
14,2010/7/24 15:39,2.04627,14.162,14.195,,,
15,2010/7/24 15:54,1.65618,14.177,14.198,,,
16,2010/7/24 16:09,1.55894,14.182,14.197,,,
17,2010/7/24 16:24,1.5309,14.189,14.2,,,
18,2010/7/24 16:39,1.52071,14.207,14.211,,,
19,2010/7/24 16:54,1.51694,14.22,14.223,,,
20,2010/7/24 17:09,1.51526,14.229,14.231,,,
21,2010/7/24 17:24,1.51465,14.24,14.241,,,
22,2010/7/24 17:39,1.51514,14.244,14.247,,,
23,2010/7/24 17:54,1.51369,14.249,14.252,,,
24,2010/7/24 18:09,1.51465,14.255,14.256,,,
25,2010/7/24 18:24,1.51507,14.262,14.264,,,
26,2010/7/24 18:39,1.5153,14.274,14.274,,,
27,2010/7/24 18:54,1.51469,14.288,14.286,,,
28,2010/7/24 19:09,1.51614,14.303,14.3,,,
29,2010/7/24 19:24,1.51705,14.306,14.307,,,
30,2010/7/24 19:39,1.5164,14.307,14.31,,,
31,2010/7/24 19:54,1.51568,14.304,14.309,,,
32,2010/7/24 20:09,1.5116,14.304,14.307,,,
33,2010/7/24 20:24,1.51354,14.304,14.307,,,
34,2010/7/24 20:39,1.5172,14.306,14.309,,,
35,2010/7/24 20:54,1.51572,14.321,14.319,,,
36,2010/7/24 21:09,1.51194,14.339,14.336,,,
37,2010/7/24 21:24,1.51488,14.361,14.355,,,
38,2010/7/24 21:39,1.51713,14.387,14.379,,,
39,2010/7/24 21:54,1.51694,14.418,14.409,,,
40,2010/7/24 22:09,1.51312,14.453,14.441,,,
41,2010/7/24 22:24,1.50992,14.484,14.472,,,
42,2010/7/24 22:39,1.509,14.515,14.503,,,
43,2010/7/24 22:54,1.50561,14.536,14.527,,,
44,2010/7/24 23:09,1.50771,14.55,14.544,,,
45,2010/7/24 23:24,1.50855,14.56,14.556,,,
46,2010/7/24 23:39,1.50622,14.569,14.566,,,
47,2010/7/24 23:54,1.50607,14.58,14.575,,,
48,2010/8/24 0:09,1.50484,14.592,14.587,,,
49,2010/8/24 0:24,1.51099,14.61,14.604,,,
50,2010/8/24 0:39,1.50851,14.623,14.619,,,
51,2010/8/24 0:54,1.51122,14.637,14.632,,,
52,2010/8/24 1:09,1.50874,14.647,14.644,,,
53,2010/8/24 1:24,1.50977,14.656,14.653,,,
54,2010/8/24 1:39,1.51957,14.664,14.662,,,
55,2010/8/24 1:54,1.52483,14.668,14.668,,,
56,2010/8/24 2:09,1.50961,14.673,14.671,,,
57,2010/8/24 2:24,1.51778,14.668,14.671,,,
58,2010/8/24 2:39,1.50816,14.65,14.658,,,
59,2010/8/24 2:54,1.51247,14.632,14.641,,,
60,2010/8/24 3:09,1.50332,14.61,14.622,,,
61,2010/8/24 3:24,1.50347,14.604,14.61,,,
62,2010/8/24 3:39,1.49954,14.614,14.614,,,
63,2010/8/24 3:54,1.4958,14.617,14.619,,,
64,2010/8/24 4:09,1.50572,14.611,14.616,,,
65,2010/8/24 4:24,1.50034,14.584,14.595,,,
66,2010/8/24 4:39,1.49969,14.548,14.563,,,
67,2010/8/24 4:54,1.48737,14.515,14.532,,,
68,2010/8/24 5:09,1.4831,14.483,14.501,,,
69,2010/8/24 5:24,1.48623,14.451,14.468,,,
70,2010/8/24 5:39,1.4844,14.421,14.438,,,
71,2010/8/24 5:54,1.48211,14.391,14.408,,,
72,2010/8/24 6:09,1.49142,14.364,14.379,,,
73,2010/8/24 6:24,1.48772,14.337,14.352,,,
74,2010/8/24 6:39,1.49241,14.312,14.327,,,
75,2010/8/24 6:54,1.49786,14.286,14.3,,,
76,2010/8/24 7:09,1.49283,14.262,14.277,,,
77,2010/8/24 7:24,1.49321,14.24,14.253,,,
78,2010/8/24 7:39,1.49619,14.217,14.231,,,
79,2010/8/24 7:54,1.49245,14.195,14.207,,,
80,2010/8/24 8:09,1.49393,14.177,14.188,,,
81,2010/8/24 8:24,1.49107,14.159,14.17,,,
82,2010/8/24 8:39,1.49306,14.143,14.153,,,
83,2010/8/24 8:54,1.49176,14.128,14.137,,,
84,2010/8/24 9:09,1.49554,14.116,14.123,,,
85,2010/8/24 9:24,1.48997,14.105,14.111,,,
86,2010/8/24 9:39,1.48859,14.099,14.104,,,
87,2010/8/24 9:54,1.49287,14.095,14.099,,,
88,2010/8/24 10:09,1.49481,14.09,14.095,,,
89,2010/8/24 10:24,1.49592,14.083,14.087,,,
90,2010/8/24 10:39,1.49752,14.074,14.078,,,
91,2010/8/24 10:54,1.49596,14.071,14.075,,,
92,2010/8/24 11:09,1.49504,14.069,14.072,,,
93,2010/8/24 11:24,1.49298,14.071,14.072,,,
94,2010/8/24 11:39,1.49264,14.069,14.071,,,
95,2010/8/24 11:54,1.49172,14.071,14.071,,,
96,2010/8/24 12:09,1.49344,14.075,14.075,,,
97,2010/8/24 12:24,1.49683,14.084,14.083,,,
98,2010/8/24 12:39,1.49847,14.099,14.095,,,
99,2010/8/24 12:54,1.49538,14.114,14.108,,,
100,2010/8/24 13:09,1.49516,14.143,14.132,,,
101,2010/8/24 13:24,1.49439,14.165,14.156,,,
102,2010/8/24 13:39,1.49657,14.186,14.176,,,
103,2010/8/24 13:54,1.49802,14.206,14.195,,,
104,2010/8/24 14:09,1.49626,14.235,14.225,,,
105,2010/8/24 14:24,1.49306,14.241,14.235,,,
106,2010/8/24 14:39,1.49676,14.265,14.255,,,
107,2010/8/24 14:54,1.49222,14.309,14.292,,,
108,2010/8/24 15:09,1.49165,14.352,14.333,,,
109,2010/8/24 15:24,1.49001,14.406,14.384,,,
110,2010/8/24 15:39,1.49443,14.447,14.426,,,
111,2010/8/24 15:54,1.49378,14.465,14.451,,,
112,2010/8/24 16:09,1.49344,14.506,14.489,,,
113,2010/8/24 16:24,1.49279,14.526,14.514,,,
114,2010/8/24 16:39,1.49493,14.547,14.535,,,
115,2010/8/24 16:54,1.49302,14.569,14.557,,,
116,2010/8/24 17:09,1.49344,14.599,14.586,,,
117,2010/8/24 17:24,1.49447,14.617,14.607,,,
118,2010/8/24 17:39,1.49432,14.637,14.626,,,
119,2010/8/24 17:54,1.49557,14.655,14.644,,,
120,2010/8/24 18:09,1.49863,14.665,14.658,,,
121,2010/8/24 18:24,1.49371,14.679,14.673,,,
122,2010/8/24 18:39,1.491,14.689,14.683,,,
123,2010/8/24 18:54,1.49733,14.702,14.696,,,
124,2010/8/24 19:09,1.50023,14.717,14.711,,,
125,2010/8/24 19:24,1.49416,14.716,14.714,,,
126,2010/8/24 19:39,1.50675,14.725,14.72,,,
127,2010/8/24 19:54,1.51488,14.735,14.731,,,
128,2010/8/24 20:09,1.51335,14.735,14.732,,,
129,2010/8/24 20:24,1.51564,14.735,14.735,,,
130,2010/8/24 20:39,1.50767,14.732,14.731,,,
131,2010/8/24 20:54,1.50977,14.746,14.741,,,
132,2010/8/24 21:09,1.50767,14.753,14.749,,,
133,2010/8/24 21:24,1.51259,14.752,14.75,,,
134,2010/8/24 21:39,1.51278,14.746,14.746,,,
135,2010/8/24 21:54,1.51411,14.743,14.743,,,
136,2010/8/24 22:09,1.51244,14.74,14.741,,,
137,2010/8/24 22:24,1.50374,14.732,14.735,,,
138,2010/8/24 22:39,1.50725,14.71,14.719,,,
139,2010/8/24 22:54,1.50752,14.679,14.692,,,
140,2010/8/24 23:09,1.49805,14.647,14.664,,,
141,2010/8/24 23:24,1.50114,14.613,14.632,,,
142,2010/8/24 23:39,1.52571,14.58,14.598,,,
143,2010/8/24 23:54,1.5301,14.541,14.562,,,
144,2010/9/24 0:09,1.54417,14.49,14.515,,,
145,2010/9/24 0:24,1.54273,14.435,14.465,,,
146,2010/9/24 0:39,1.5383,14.372,14.405,,,
147,2010/9/24 0:54,1.50523,14.315,14.346,,,
148,2010/9/24 1:09,1.51312,14.274,14.3,,,
149,2010/9/24 1:24,1.51965,14.241,14.264,,,
150,2010/9/24 1:39,1.4976,14.225,14.24,,,
151,2010/9/24 1:54,1.50393,14.21,14.223,,,
152,2010/9/24 2:09,1.50484,14.198,14.208,,,
153,2010/9/24 2:24,1.50134,14.188,14.197,,,
154,2010/9/24 2:39,1.5061,14.177,14.185,,,
155,2010/9/24 2:54,1.48825,14.167,14.174,,,
156,2010/9/24 3:09,1.48512,14.159,14.165,,,
157,2010/9/24 3:24,1.49088,14.147,14.155,,,
158,2010/9/24 3:39,1.50317,14.138,14.146,,,
159,2010/9/24 3:54,1.49603,14.131,14.137,,,
160,2010/9/24 4:09,1.50423,14.123,14.129,,,
161,2010/9/24 4:24,1.5032,14.116,14.12,,,
162,2010/9/24 4:39,1.49523,14.105,14.111,,,
163,2010/9/24 4:54,1.49329,14.096,14.102,,,
164,2010/9/24 5:09,1.50072,14.089,14.093,,,
165,2010/9/24 5:24,1.50603,14.081,14.087,,,
166,2010/9/24 5:39,1.49931,14.077,14.081,,,
167,2010/9/24 5:54,1.48932,14.071,14.075,,,
168,2010/9/24 6:09,1.49458,14.065,14.069,,,
169,2010/9/24 6:24,1.49393,14.059,14.063,,,
170,2010/9/24 6:39,1.49443,14.053,14.057,,,
171,2010/9/24 6:54,1.49836,14.048,14.051,,,
172,2010/9/24 7:09,1.49859,14.045,14.048,,,
173,2010/9/24 7:24,1.49989,14.042,14.045,,,
174,2010/9/24 7:39,1.49462,14.038,14.041,,,
175,2010/9/24 7:54,1.4958,14.035,14.038,,,
176,2010/9/24 8:09,1.49889,14.033,14.035,,,
177,2010/9/24 8:24,1.49538,14.03,14.032,,,
178,2010/9/24 8:39,1.49672,14.027,14.03,,,
179,2010/9/24 8:54,1.49592,14.026,14.027,,,
180,2010/9/24 9:09,1.49248,14.023,14.024,,,
181,2010/9/24 9:24,1.49054,14.021,14.023,,,
182,2010/9/24 9:39,1.49001,14.02,14.021,,,
183,2010/9/24 9:54,1.48444,14.018,14.02,,,
184,2010/9/24 10:09,1.48821,14.021,14.021,,,
185,2010/9/24 10:24,1.48222,14.026,14.026,,,
186,2010/9/24 10:39,1.50839,14.03,14.029,,,
187,2010/9/24 10:54,1.51408,14.041,14.038,,,
188,2010/9/24 11:09,1.49237,14.051,14.047,,,
189,2010/9/24 11:24,1.50248,14.065,14.059,,,
190,2010/9/24 11:39,1.53193,14.081,14.074,,,
191,2010/9/24 11:54,1.50023,14.095,14.089,,,
192,2010/9/24 12:09,1.51637,14.113,14.105,,,
193,2010/9/24 12:24,0.00637,14.129,14.12,,,
194,2010/9/24 12:39,1.50973,14.147,14.138,,,
195,2010/9/24 12:54,1.51495,14.17,14.158,,,
196,2010/9/24 13:09,1.50633,14.198,14.185,,,
197,2010/9/24 13:24,1.4992,14.22,14.207,,,
198,2010/9/24 13:39,1.48386,14.246,14.232,,,
199,2010/9/24 13:54,1.50084,14.274,14.259,,,
200,2010/9/24 14:09,1.5132,14.306,14.289,,,
201,2010/9/24 14:24,1.49729,14.33,14.315,,,
202,2010/9/24 14:39,1.49977,14.349,14.337,,,
203,2010/9/24 14:54,1.51617,14.369,14.357,,,
204,2010/9/24 15:09,0.76043,14.391,14.378,,,
205,2010/9/24 15:24,1.49794,14.417,14.402,,,
206,2010/9/24 15:39,1.49969,14.439,14.426,,,
207,2010/9/24 15:54,1.4873,14.457,14.451,,,
208,2010/9/24 16:09,1.49649,14.484,14.477,,,
209,2010/9/24 16:24,1.47124,14.514,14.505,,,
210,2010/9/24 16:39,1.49172,14.562,14.538,,,
211,2010/9/24 16:54,1.53861,14.601,14.575,,,
212,2010/9/24 17:09,1.57122,14.644,14.619,,,
213,2010/9/24 17:24,1.56752,14.685,14.661,,,
214,2010/9/24 17:39,1.53765,14.708,14.691,,,
215,2010/9/24 17:54,0.00813,14.729,14.714,,,
216,2010/9/24 18:09,1.54982,14.747,14.737,,,
217,2010/9/24 18:24,1.55612,14.768,14.756,,,
218,2010/9/24 18:39,0.3159,14.797,14.782,,,
219,2010/9/24 18:54,0.00576,14.812,14.803,,,
220,2010/9/24 19:09,0.00679,14.825,14.819,,,
221,2010/9/24 19:24,0.00584,14.825,14.824,,,
222,2010/9/24 19:39,1.57694,14.834,14.834,,,
223,2010/9/24 19:54,0.01022,14.862,14.859,,,
224,2010/9/24 20:09,1.60784,14.892,14.888,,,
225,2010/9/24 20:24,1.54463,14.924,14.916,,,
226,2010/9/24 20:39,1.58972,14.955,14.943,,,
227,2010/9/24 20:54,0.00584,14.976,14.964,,,
228,2010/9/24 21:09,0.00587,14.994,14.985,,,
229,2010/9/24 21:24,0.00591,14.997,14.994,,,
230,2010/9/24 21:39,0.00591,14.987,14.991,,,
231,2010/9/24 21:54,0.00587,14.97,14.979,,,
232,2010/9/24 22:09,0.00698,14.948,14.96,,,
233,2010/9/24 22:24,0.00713,14.921,14.933,,,
234,2010/9/24 22:39,0.00755,14.888,14.901,,,
235,2010/9/24 22:54,0.59747,14.848,14.864,,,
236,2010/9/24 23:09,1.53178,14.807,14.822,,,
237,2010/9/24 23:24,0.01858,14.767,14.78,,,
238,2010/9/24 23:39,1.55425,14.723,14.735,,,
239,2010/9/24 23:54,1.46693,14.677,14.691,,,
240,2010/10/24 0:09,0.31903,14.632,14.647,,,
241,2010/10/24 0:24,1.55238,14.584,14.599,,,
242,2010/10/24 0:39,0.00778,14.542,14.554,,,
243,2010/10/24 0:54,0.51122,14.501,14.512,,,
244,2010/10/24 1:09,0.32876,14.459,14.469,,,
245,2010/10/24 1:24,1.08743,14.42,14.429,,,
246,2010/10/24 1:39,0.13603,14.381,14.391,,,
247,2010/10/24 1:54,1.56439,14.345,14.355,,,
248,2010/10/24 2:09,1.55406,14.31,14.321,,,
249,2010/10/24 2:24,1.55516,14.271,14.285,,,
250,2010/10/24 2:39,1.55665,14.237,14.249,,,
251,2010/10/24 2:54,1.55543,14.203,14.214,,,
252,2010/10/24 3:09,1.55612,14.165,14.179,,,
253,2010/10/24 3:24,1.5486,14.131,14.146,,,
254,2010/10/24 3:39,1.54849,14.102,14.114,,,
