Plot Title: hobo13,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10848910, SEN S/N: 10848910, LBL: Temperature1)","Temp., °C (LGR S/N: 10848910, SEN S/N: 10848910, LBL: Temperature2)","Temp., °C (LGR S/N: 10848910, SEN S/N: 10848910, LBL: Temperature3)","Temp., °C (LGR S/N: 10848910, SEN S/N: 10848910, LBL: Temperature4)",low battery (LGR S/N: 10848910),Arrêté (LGR S/N: 10848910),Fin de fichier (LGR S/N: 10848910)
1,2009/9/24 15:00,16.46,16.513,16.454,20.251,,,
2,2009/9/24 15:15,16.494,16.479,16.403,25.91,,,
3,2009/9/24 15:30,16.534,16.466,16.376,24.869,,,
4,2009/9/24 15:45,16.555,16.463,16.362,24.782,,,
5,2009/9/24 16:00,16.554,16.464,16.35,24.489,,,
6,2009/9/24 16:15,16.546,16.466,16.342,24.112,,,
7,2009/9/24 16:30,16.554,16.469,16.338,23.884,,,
8,2009/9/24 16:45,16.576,16.472,16.333,23.681,,,
9,2009/9/24 17:00,16.594,16.475,16.33,23.195,,,
10,2009/9/24 17:15,16.597,16.479,16.329,22.794,,,
11,2009/9/24 17:30,16.597,16.484,16.327,22.571,,,
12,2009/9/24 17:45,16.601,16.488,16.327,22.36,,,
13,2009/9/24 18:00,16.6,16.491,16.327,22.227,,,
14,2009/9/24 18:15,16.603,16.496,16.327,22.339,,,
15,2009/9/24 18:30,16.606,16.499,16.327,22.886,,,
16,2009/9/24 18:45,16.621,16.503,16.327,23.333,,,
17,2009/9/24 19:00,16.64,16.509,16.329,23.797,,,
18,2009/9/24 19:15,16.652,16.512,16.329,24.184,,,
19,2009/9/24 19:30,16.662,16.515,16.33,24.256,,,
20,2009/9/24 19:45,16.676,16.519,16.332,24.392,,,
21,2009/9/24 20:00,16.68,16.524,16.332,24.591,,,
22,2009/9/24 20:15,16.686,16.528,16.333,24.625,,,
23,2009/9/24 20:30,16.692,16.533,16.335,24.539,,,
24,2009/9/24 20:45,16.697,16.536,16.336,24.406,,,
25,2009/9/24 21:00,16.698,16.54,16.338,24.19,,,
26,2009/9/24 21:15,16.694,16.543,16.339,23.933,,,
27,2009/9/24 21:30,16.685,16.546,16.341,23.725,,,
28,2009/9/24 21:45,16.68,16.548,16.342,23.554,,,
29,2009/9/24 22:00,16.67,16.549,16.344,23.403,,,
30,2009/9/24 22:15,16.653,16.549,16.345,23.229,,,
31,2009/9/24 22:30,16.638,16.548,16.347,23.133,,,
32,2009/9/24 22:45,16.624,16.546,16.348,23.06,,,
33,2009/9/24 23:00,16.606,16.543,16.35,23.01,,,
34,2009/9/24 23:15,16.585,16.54,16.35,22.95,,,
35,2009/9/24 23:30,16.566,16.536,16.35,22.935,,,
36,2009/9/24 23:45,16.546,16.531,16.35,22.901,,,
37,2009/10/24 0:00,16.522,16.525,16.35,22.752,,,
38,2009/10/24 0:15,16.5,16.519,16.35,22.735,,,
39,2009/10/24 0:30,16.476,16.512,16.348,22.776,,,
40,2009/10/24 0:45,16.454,16.505,16.347,22.793,,,
41,2009/10/24 1:00,16.421,16.496,16.345,22.764,,,
42,2009/10/24 1:15,16.387,16.487,16.344,22.664,,,
43,2009/10/24 1:30,16.357,16.476,16.342,22.703,,,
44,2009/10/24 1:45,16.323,16.466,16.339,22.747,,,
45,2009/10/24 2:00,16.292,16.454,16.336,22.818,,,
46,2009/10/24 2:15,16.253,16.441,16.332,22.803,,,
47,2009/10/24 2:30,16.217,16.429,16.329,22.857,,,
48,2009/10/24 2:45,16.183,16.414,16.324,22.925,,,
49,2009/10/24 3:00,16.143,16.4,16.32,23.012,,,
50,2009/10/24 3:15,16.108,16.385,16.314,23.06,,,
51,2009/10/24 3:30,16.077,16.369,16.309,23.088,,,
52,2009/10/24 3:45,16.04,16.354,16.304,23.189,,,
53,2009/10/24 4:00,16.004,16.338,16.298,23.294,,,
54,2009/10/24 4:15,15.967,16.321,16.29,23.382,,,
55,2009/10/24 4:30,15.93,16.305,16.284,23.391,,,
56,2009/10/24 4:45,15.891,16.287,16.277,23.438,,,
57,2009/10/24 5:00,15.858,16.269,16.269,23.43,,,
58,2009/10/24 5:15,15.815,16.25,16.26,23.46,,,
59,2009/10/24 5:30,15.77,16.231,16.253,23.469,,,
60,2009/10/24 5:45,15.731,16.211,16.244,23.502,,,
61,2009/10/24 6:00,15.693,16.19,16.235,23.518,,,
62,2009/10/24 6:15,15.655,16.171,16.225,23.509,,,
63,2009/10/24 6:30,15.608,16.15,16.216,23.445,,,
64,2009/10/24 6:45,15.561,16.128,16.205,23.381,,,
65,2009/10/24 7:00,15.521,16.107,16.195,23.361,,,
66,2009/10/24 7:15,15.475,16.085,16.184,23.438,,,
67,2009/10/24 7:30,15.433,16.062,16.172,23.478,,,
68,2009/10/24 7:45,15.357,16.041,16.162,23.62,,,
69,2009/10/24 8:00,15.302,16.019,16.15,23.764,,,
70,2009/10/24 8:15,15.263,15.997,16.138,23.875,,,
71,2009/10/24 8:30,15.242,15.976,16.125,23.967,,,
72,2009/10/24 8:45,15.208,15.956,16.113,24.092,,,
73,2009/10/24 9:00,15.182,15.939,16.101,24.273,,,
74,2009/10/24 9:15,15.149,15.921,16.088,24.327,,,
75,2009/10/24 9:30,10.701,15.901,16.076,24.611,,,
76,2009/10/24 9:45,10.866,15.885,16.062,24.826,,,
77,2009/10/24 10:00,10.692,15.873,16.05,25.113,,,
78,2009/10/24 10:15,8.995,15.86,16.038,25.207,,,
79,2009/10/24 10:30,9.677,15.849,16.026,25.627,,,
80,2009/10/24 10:45,13.354,15.842,16.015,25.762,,,
81,2009/10/24 11:00,15.385,15.834,16.004,25.94,,,
82,2009/10/24 11:15,14.472,15.825,15.992,26.381,,,
83,2009/10/24 11:30,16.72,15.818,15.982,26.715,,,
84,2009/10/24 11:45,17.155,15.812,15.971,27.037,,,
85,2009/10/24 12:00,17.06,15.806,15.961,27.456,,,
86,2009/10/24 12:15,12.992,15.801,15.952,27.801,,,
87,2009/10/24 12:30,14.273,15.8,15.943,27.513,,,
88,2009/10/24 12:45,14.868,15.798,15.936,27.08,,,
89,2009/10/24 13:00,14.448,15.795,15.927,26.475,,,
