Plot Title: P11RG_2024_07102024,,,,,,,
#,"Date Heure, GMT+02:00","Tension, V (LGR S/N: 22065192, SEN S/N: 22065192, LBL: pression)","Temp., °C (LGR S/N: 22065192, SEN S/N: 22065192, LBL: temperature)","Temp., °C (LGR S/N: 22065192, SEN S/N: 22065192, LBL: temperature_in)",Hôte connecté (LGR S/N: 22065192),Arrêté (LGR S/N: 22065192),Fin de fichier (LGR S/N: 22065192)
1,2010/7/24 12:45,1.55356,18.137,156.118,,,
2,2010/7/24 13:00,1.54486,17.699,95.728,,,
3,2010/7/24 13:07,,,,,,
4,2010/7/24 13:07,,,,,,
5,2010/7/24 13:07,,,,,,
6,2010/7/24 13:07,,,,,,
7,2010/7/24 13:07,,,,,,
8,2010/7/24 13:07,,,,,,
9,2010/7/24 13:09,,,,,,
10,2010/7/24 13:09,,,,,,
11,2010/7/24 13:15,1.51648,16.725,18.386,,,
12,2010/7/24 13:30,1.5145,17.522,18.454,,,
13,2010/7/24 13:45,1.57904,19.656,19.386,,,
14,2010/7/24 13:46,,,,,,
15,2010/7/24 13:46,,,,,,
16,2010/7/24 13:48,,,,,,
17,2010/7/24 13:48,,,,,,
18,2010/7/24 13:48,,,,,,
19,2010/7/24 13:48,,,,,,
20,2010/7/24 13:48,,,,,,
21,2010/7/24 13:48,,,,,,
22,2010/7/24 13:48,,,,,,
23,2010/7/24 13:48,,,,,,
24,2010/7/24 13:49,,,,,,
25,2010/7/24 13:49,,,,,,
26,2010/7/24 13:49,,,,,,
27,2010/7/24 13:49,,,,,,
28,2010/7/24 13:49,,,,,,
29,2010/7/24 13:49,,,,,,
30,2010/7/24 13:52,,,,,,
31,2010/7/24 13:52,,,,,,
32,2010/7/24 13:53,,,,,,
33,2010/7/24 13:53,,,,,,
34,2010/7/24 13:53,,,,,,
35,2010/7/24 13:53,,,,,,
36,2010/7/24 13:53,,,,,,
37,2010/7/24 13:53,,,,,,
38,2010/7/24 13:53,,,,,,
39,2010/7/24 13:53,,,,,,
40,2010/7/24 13:53,,,,,,
41,2010/7/24 13:53,,,,,,
42,2010/7/24 13:54,,,,,,
43,2010/7/24 13:54,,,,,,
44,2010/7/24 14:00,1.51064,17.483,22.12,,,
45,2010/7/24 14:15,1.51282,18.047,19.39,,,
46,2010/7/24 14:30,1.51251,18.857,19.465,,,
47,2010/7/24 14:45,1.64694,14.108,17.336,,,
48,2010/7/24 15:00,1.62303,14.122,15.506,,,
49,2010/7/24 15:15,1.5988,14.135,14.88,,,
50,2010/7/24 15:30,1.59403,14.152,14.56,,,
51,2010/7/24 15:45,1.59216,14.171,14.381,,,
52,2010/7/24 16:00,1.58652,14.182,14.277,,,
53,2010/7/24 16:15,1.58541,14.186,14.214,,,
54,2010/7/24 16:30,1.58225,14.197,14.182,,,
55,2010/7/24 16:45,1.58152,14.222,14.174,,,
56,2010/7/24 17:00,1.58118,14.229,14.173,,,
57,2010/7/24 17:15,1.58209,14.237,14.173,,,
58,2010/7/24 17:30,1.58183,14.246,14.177,,,
59,2010/7/24 17:45,1.57942,14.25,14.182,,,
60,2010/7/24 18:00,1.58122,14.255,14.185,,,
61,2010/7/24 18:15,1.58209,14.264,14.191,,,
62,2010/7/24 18:30,1.58259,14.27,14.197,,,
63,2010/7/24 18:45,1.58019,14.282,14.204,,,
64,2010/7/24 19:00,1.57919,14.295,14.216,,,
65,2010/7/24 19:15,1.58396,14.312,14.228,,,
66,2010/7/24 19:30,1.58129,14.31,14.237,,,
67,2010/7/24 19:45,1.58076,14.312,14.241,,,
68,2010/7/24 20:00,1.58156,14.306,14.241,,,
69,2010/7/24 20:15,1.58183,14.306,14.24,,,
70,2010/7/24 20:30,1.579,14.306,14.241,,,
71,2010/7/24 20:45,1.57843,14.31,14.243,,,
72,2010/7/24 21:00,1.57717,14.327,14.252,,,
73,2010/7/24 21:15,1.58045,14.345,14.265,,,
74,2010/7/24 21:30,1.579,14.367,14.283,,,
75,2010/7/24 21:45,1.58103,14.4,14.306,,,
76,2010/7/24 22:00,1.57916,14.427,14.333,,,
77,2010/7/24 22:15,1.56882,14.462,14.363,,,
78,2010/7/24 22:30,1.58705,14.49,14.393,,,
79,2010/7/24 22:45,1.58122,14.52,14.423,,,
80,2010/7/24 23:00,1.57637,14.541,14.448,,,
81,2010/7/24 23:15,1.58282,14.551,14.468,,,
82,2010/7/24 23:30,1.57557,14.563,14.481,,,
83,2010/7/24 23:45,1.5808,14.569,14.493,,,
84,2010/8/24 0:00,1.58213,14.58,14.505,,,
85,2010/8/24 0:15,1.58053,14.595,14.517,,,
86,2010/8/24 0:30,1.57946,14.61,14.532,,,
87,2010/8/24 0:45,1.57595,14.625,14.545,,,
88,2010/8/24 1:00,1.57782,14.635,14.559,,,
89,2010/8/24 1:15,1.58091,14.649,14.572,,,
90,2010/8/24 1:30,1.58274,14.656,14.583,,,
91,2010/8/24 1:45,1.58442,14.664,14.592,,,
92,2010/8/24 2:00,1.57439,14.667,14.598,,,
93,2010/8/24 2:15,1.59407,14.671,14.602,,,
94,2010/8/24 2:30,1.60536,14.662,14.604,,,
95,2010/8/24 2:45,1.5779,14.644,14.592,,,
96,2010/8/24 3:00,1.58373,14.623,14.578,,,
97,2010/8/24 3:15,1.58244,14.605,14.56,,,
98,2010/8/24 3:30,1.60525,14.604,14.55,,,
99,2010/8/24 3:45,1.58431,14.613,14.55,,,
100,2010/8/24 4:00,1.58507,14.614,14.551,,,
101,2010/8/24 4:15,1.57507,14.602,14.547,,,
102,2010/8/24 4:30,1.57431,14.571,14.53,,,
103,2010/8/24 4:45,1.5848,14.536,14.503,,,
104,2010/8/24 5:00,1.58896,14.503,14.475,,,
105,2010/8/24 5:15,1.58377,14.472,14.445,,,
106,2010/8/24 5:30,1.58331,14.441,14.414,,,
107,2010/8/24 5:45,1.5903,14.411,14.384,,,
108,2010/8/24 6:00,1.58175,14.382,14.354,,,
109,2010/8/24 6:15,1.57687,14.355,14.325,,,
110,2010/8/24 6:30,1.58007,14.328,14.298,,,
111,2010/8/24 6:45,1.59564,14.303,14.271,,,
112,2010/8/24 7:00,1.58915,14.277,14.246,,,
113,2010/8/24 7:15,1.58534,14.255,14.22,,,
114,2010/8/24 7:30,1.57259,14.234,14.197,,,
115,2010/8/24 7:45,1.59007,14.211,14.174,,,
116,2010/8/24 8:00,1.59442,14.192,14.153,,,
117,2010/8/24 8:15,1.5811,14.171,14.132,,,
118,2010/8/24 8:30,1.56924,14.155,14.113,,,
119,2010/8/24 8:45,1.57759,14.14,14.095,,,
120,2010/8/24 9:00,1.57877,14.128,14.08,,,
121,2010/8/24 9:15,1.57202,14.116,14.066,,,
122,2010/8/24 9:30,1.58728,14.107,14.054,,,
123,2010/8/24 9:45,1.57599,14.102,14.047,,,
124,2010/8/24 10:00,1.57683,14.101,14.041,,,
125,2010/8/24 10:15,1.58644,14.095,14.036,,,
126,2010/8/24 10:30,1.58164,14.087,14.03,,,
127,2010/8/24 10:45,1.58587,14.078,14.021,,,
128,2010/8/24 11:00,1.57839,14.077,14.017,,,
129,2010/8/24 11:15,1.58297,14.075,14.014,,,
130,2010/8/24 11:30,1.58839,14.077,14.012,,,
131,2010/8/24 11:45,1.58618,14.075,14.011,,,
132,2010/8/24 12:00,1.58011,14.078,14.012,,,
133,2010/8/24 12:15,1.57504,14.084,14.015,,,
134,2010/8/24 12:30,1.575,14.095,14.021,,,
135,2010/8/24 12:45,1.58114,14.113,14.033,,,
136,2010/8/24 13:00,1.58568,14.131,14.047,,,
137,2010/8/24 13:15,1.575,14.156,14.068,,,
138,2010/8/24 13:30,1.57771,14.182,14.09,,,
139,2010/8/24 13:45,1.57965,14.2,14.111,,,
140,2010/8/24 14:00,1.57771,14.222,14.129,,,
141,2010/8/24 14:15,1.57889,14.246,14.155,,,
142,2010/8/24 14:30,1.58259,14.25,14.17,,,
143,2010/8/24 14:45,1.55425,14.28,14.188,,,
144,2010/8/24 15:00,1.57805,14.321,14.219,,,
