Plot Title: hobo11,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature1)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature2)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature3)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065777),Arrêté (LGR S/N: 21065777),Fin de fichier (LGR S/N: 21065777)
1,2009/9/24 17:00,16.397,16.198,16.219,16.159,,,
2,2009/9/24 17:15,16.403,16.205,16.217,16.161,,,
3,2009/9/24 17:30,16.414,16.208,16.219,16.155,,,
4,2009/9/24 17:45,16.423,16.208,16.219,16.153,,,
5,2009/9/24 18:00,16.429,16.211,16.22,16.152,,,
6,2009/9/24 18:15,16.436,16.216,16.22,16.15,,,
7,2009/9/24 18:30,16.441,16.223,16.22,16.15,,,
8,2009/9/24 18:45,16.446,16.223,16.222,16.149,,,
9,2009/9/24 19:00,16.449,16.223,16.223,16.149,,,
10,2009/9/24 19:15,16.452,16.228,16.223,16.147,,,
11,2009/9/24 19:30,16.457,16.229,16.225,16.147,,,
12,2009/9/24 19:45,16.461,16.232,16.226,16.147,,,
13,2009/9/24 20:00,16.466,16.234,16.229,16.147,,,
14,2009/9/24 20:15,16.472,16.237,16.231,16.146,,,
15,2009/9/24 20:30,16.476,16.238,16.232,16.147,,,
16,2009/9/24 20:45,16.482,16.241,16.234,16.147,,,
17,2009/9/24 21:00,16.485,16.245,16.234,16.147,,,
18,2009/9/24 21:15,16.49,16.248,16.235,16.146,,,
19,2009/9/24 21:30,16.494,16.25,16.237,16.146,,,
20,2009/9/24 21:45,16.497,16.253,16.237,16.146,,,
21,2009/9/24 22:00,16.5,16.257,16.238,16.146,,,
22,2009/9/24 22:15,16.502,16.259,16.239,16.146,,,
23,2009/9/24 22:30,16.502,16.26,16.241,16.147,,,
24,2009/9/24 22:45,16.502,16.262,16.242,16.147,,,
25,2009/9/24 23:00,16.5,16.266,16.244,16.147,,,
26,2009/9/24 23:15,16.497,16.266,16.245,16.147,,,
27,2009/9/24 23:30,16.494,16.268,16.247,16.149,,,
28,2009/9/24 23:45,16.49,16.269,16.247,16.149,,,
29,2009/10/24 0:00,16.484,16.269,16.248,16.149,,,
30,2009/10/24 0:15,16.478,16.268,16.25,16.149,,,
31,2009/10/24 0:30,16.47,16.269,16.25,16.149,,,
32,2009/10/24 0:45,16.463,16.268,16.251,16.15,,,
33,2009/10/24 1:00,16.455,16.268,16.251,16.15,,,
34,2009/10/24 1:15,16.446,16.265,16.251,16.15,,,
35,2009/10/24 1:30,16.436,16.265,16.25,16.15,,,
36,2009/10/24 1:45,16.424,16.262,16.251,16.15,,,
37,2009/10/24 2:00,16.412,16.259,16.251,16.15,,,
38,2009/10/24 2:15,16.399,16.256,16.25,16.15,,,
39,2009/10/24 2:30,16.385,16.251,16.25,16.15,,,
40,2009/10/24 2:45,16.371,16.247,16.248,16.15,,,
41,2009/10/24 3:00,16.354,16.242,16.247,16.15,,,
42,2009/10/24 3:15,16.339,16.237,16.245,16.15,,,
43,2009/10/24 3:30,16.321,16.232,16.244,16.149,,,
44,2009/10/24 3:45,16.305,16.225,16.242,16.149,,,
45,2009/10/24 4:00,16.287,16.219,16.239,16.149,,,
46,2009/10/24 4:15,16.269,16.211,16.237,16.147,,,
47,2009/10/24 4:30,16.251,16.204,16.234,16.146,,,
48,2009/10/24 4:45,16.234,16.196,16.231,16.146,,,
49,2009/10/24 5:00,16.213,16.186,16.225,16.144,,,
50,2009/10/24 5:15,16.193,16.177,16.223,16.143,,,
