Plot Title: Hobo8,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)",Hôte connecté (LGR S/N: 21101045),Arrêté (LGR S/N: 21101045),Fin de fichier (LGR S/N: 21101045)
1,08/28/24 03:00:00 PM,15.331,15.997,15.707,15.874,,,
2,08/28/24 03:15:00 PM,15.363,16.013,15.719,15.883,,,
3,08/28/24 03:30:00 PM,15.382,16.028,15.749,15.918,,,
4,08/28/24 03:45:00 PM,15.367,16.037,15.772,15.952,,,
5,08/28/24 04:00:00 PM,15.369,16.044,15.794,15.986,,,
6,08/28/24 04:15:00 PM,15.373,16.052,15.816,16.02,,,
7,08/28/24 04:15:46 PM,,,,,,,
8,08/28/24 04:15:54 PM,,,,,,,
9,08/28/24 04:19:01 PM,,,,,,,
10,08/28/24 04:19:02 PM,,,,,,,
11,08/28/24 04:19:15 PM,,,,,,,
12,08/28/24 04:19:16 PM,,,,,,,
13,08/28/24 04:30:00 PM,15.378,16.061,15.84,16.053,,,
14,08/28/24 04:32:45 PM,,,,,,,
15,08/28/24 04:33:07 PM,,,,,,,
16,08/28/24 04:45:00 PM,15.382,16.07,15.864,16.088,,,
17,08/28/24 04:50:19 PM,,,,,,,
18,08/28/24 04:50:50 PM,,,,,,,
19,08/28/24 04:51:04 PM,,,,,,,
20,08/28/24 04:51:06 PM,,,,,,,
21,08/28/24 04:58:35 PM,,,,,,,
22,08/28/24 04:58:41 PM,,,,,,,
23,08/28/24 04:59:15 PM,,,,,,,
24,08/28/24 04:59:16 PM,,,,,,,
25,08/28/24 04:59:58 PM,,,,,,,
26,08/28/24 04:59:59 PM,,,,,,,
27,08/28/24 05:00:00 PM,15.387,16.077,15.885,16.119,,,
28,08/28/24 05:03:00 PM,,,,,,,
29,08/28/24 05:03:10 PM,,,,,,,
30,08/28/24 05:03:11 PM,,,,,,,
31,08/28/24 05:03:12 PM,,,,,,,
32,08/28/24 05:03:21 PM,,,,,,,
33,08/28/24 05:03:22 PM,,,,,,,
34,08/28/24 05:15:00 PM,15.39,16.092,15.909,16.152,,,
35,08/28/24 05:30:00 PM,15.393,16.11,15.933,16.184,,,
36,08/28/24 05:45:00 PM,15.399,16.125,15.955,16.216,,,
37,08/28/24 06:00:00 PM,15.402,16.131,15.974,16.245,,,
38,08/28/24 06:15:00 PM,15.403,16.135,15.991,16.274,,,
