"Titre de tracé : p052"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 21065779, SEN S/N: 21065779, LBL: pression)","Temp., °C (LGR S/N: 21065779, SEN S/N: 21065779, LBL: temperature)","Hôte connecté (LGR S/N: 21065779)","Arrêté (LGR S/N: 21065779)","Fin de fichier (LGR S/N: 21065779)"
1,10/19/23 06:00:00 PM,2.11601,14.828,,,
2,10/19/23 06:15:00 PM,1.81380,14.782,,,
3,10/19/23 06:30:00 PM,1.67681,14.731,,,
4,10/19/23 06:45:00 PM,1.63451,14.688,,,
5,10/19/23 07:00:00 PM,1.61761,14.647,,,
6,10/19/23 07:15:00 PM,1.60945,14.605,,,
7,10/19/23 07:30:00 PM,1.60597,14.577,,,
8,10/19/23 07:45:00 PM,1.60334,14.548,,,
9,10/19/23 08:00:00 PM,1.60094,14.518,,,
10,10/19/23 08:15:00 PM,1.60117,14.496,,,
11,10/19/23 08:30:00 PM,1.59937,14.486,,,
12,10/19/23 08:45:00 PM,1.59823,14.475,,,
13,10/19/23 09:00:00 PM,1.59834,14.465,,,
14,10/19/23 09:15:00 PM,1.59773,14.445,,,
15,10/19/23 09:30:00 PM,1.59651,14.433,,,
16,10/19/23 09:45:00 PM,1.59522,14.423,,,
17,10/19/23 10:00:00 PM,1.59564,14.417,,,
18,10/19/23 10:15:00 PM,1.59724,14.412,,,
19,10/19/23 10:30:00 PM,1.59564,14.411,,,
20,10/19/23 10:45:00 PM,1.59705,14.405,,,
21,10/19/23 11:00:00 PM,1.59766,14.400,,,
22,10/19/23 11:15:00 PM,1.59705,14.396,,,
23,10/19/23 11:30:00 PM,1.59556,14.390,,,
24,10/19/23 11:45:00 PM,1.59461,14.385,,,
25,10/20/23 12:00:00 AM,1.59442,14.385,,,
26,10/20/23 12:15:00 AM,1.59861,14.387,,,
27,10/20/23 12:30:00 AM,1.59384,14.390,,,
28,10/20/23 12:45:00 AM,1.59396,14.388,,,
29,10/20/23 01:00:00 AM,1.59243,14.390,,,
30,10/20/23 01:15:00 AM,1.59213,14.391,,,
31,10/20/23 01:30:00 AM,1.59007,14.390,,,
32,10/20/23 01:45:00 AM,1.59163,14.390,,,
33,10/20/23 02:00:00 AM,1.59113,14.391,,,
34,10/20/23 02:15:00 AM,1.59106,14.391,,,
35,10/20/23 02:30:00 AM,1.58965,14.390,,,
36,10/20/23 02:45:00 AM,1.58915,14.387,,,
37,10/20/23 03:00:00 AM,1.58568,14.385,,,
38,10/20/23 03:15:00 AM,1.58488,14.381,,,
39,10/20/23 03:30:00 AM,1.58438,14.382,,,
40,10/20/23 03:45:00 AM,1.58339,14.379,,,
41,10/20/23 04:00:00 AM,1.58396,14.379,,,
42,10/20/23 04:15:00 AM,1.58446,14.379,,,
43,10/20/23 04:30:00 AM,1.58583,14.379,,,
44,10/20/23 04:45:00 AM,1.58507,14.381,,,
45,10/20/23 05:00:00 AM,1.58515,14.384,,,
46,10/20/23 05:15:00 AM,1.58286,14.379,,,
47,10/20/23 05:30:00 AM,1.58350,14.370,,,
48,10/20/23 05:45:00 AM,1.58179,14.364,,,
49,10/20/23 06:00:00 AM,1.58244,14.361,,,
50,10/20/23 06:15:00 AM,1.58301,14.357,,,
51,10/20/23 06:30:00 AM,1.58274,14.351,,,
52,10/20/23 06:45:00 AM,1.58198,14.345,,,
53,10/20/23 07:00:00 AM,1.58289,14.339,,,
54,10/20/23 07:15:00 AM,1.58331,14.330,,,
55,10/20/23 07:30:00 AM,1.58396,14.321,,,
56,10/20/23 07:45:00 AM,1.58309,14.307,,,
57,10/20/23 08:00:00 AM,1.58297,14.291,,,
58,10/20/23 08:15:00 AM,1.58335,14.273,,,
59,10/20/23 08:30:00 AM,1.58312,14.256,,,
60,10/20/23 08:45:00 AM,1.58442,14.241,,,
61,10/20/23 09:00:00 AM,1.58248,14.228,,,
62,10/20/23 09:15:00 AM,1.58679,14.217,,,
63,10/20/23 09:30:00 AM,1.58469,14.211,,,
64,10/20/23 09:45:00 AM,1.58705,14.206,,,
65,10/20/23 10:00:00 AM,1.58698,14.198,,,
66,10/20/23 10:15:00 AM,1.58484,14.185,,,
67,10/20/23 10:30:00 AM,1.58526,14.171,,,
68,10/20/23 10:45:00 AM,1.58511,14.164,,,
69,10/20/23 11:00:00 AM,1.58457,14.153,,,
70,10/20/23 11:15:00 AM,1.58450,14.155,,,
71,10/20/23 11:30:00 AM,1.58679,14.149,,,
72,10/20/23 11:45:00 AM,1.58591,14.137,,,
73,10/20/23 12:00:00 PM,1.58618,14.146,,,
74,10/20/23 12:15:00 PM,1.58518,14.164,,,
75,10/20/23 12:30:00 PM,1.58434,14.164,,,
76,10/20/23 12:45:00 PM,1.58274,14.162,,,
77,10/20/23 01:00:00 PM,1.58366,14.171,,,
78,10/20/23 01:15:00 PM,1.58785,14.207,,,
79,10/20/23 01:30:00 PM,1.58591,14.208,,,
80,10/20/23 01:45:00 PM,1.58663,14.225,,,
81,10/20/23 02:00:00 PM,1.58675,14.255,,,
82,10/20/23 02:15:00 PM,1.58545,14.304,,,
83,10/20/23 02:30:00 PM,1.58644,14.336,,,
84,10/20/23 02:45:00 PM,1.58667,14.337,,,
85,10/20/23 03:00:00 PM,1.58602,14.348,,,
86,10/20/23 03:15:00 PM,1.58663,14.378,,,
87,10/20/23 03:30:00 PM,1.58637,14.426,,,
88,10/20/23 03:45:00 PM,1.58686,14.430,,,
89,10/20/23 04:00:00 PM,1.58583,14.454,,,
90,10/20/23 04:15:00 PM,1.58618,14.477,,,
91,10/20/23 04:30:00 PM,1.58812,14.518,,,
92,10/20/23 04:45:00 PM,1.58671,14.551,,,
93,10/20/23 05:00:00 PM,1.58701,14.574,,,
94,10/20/23 05:15:00 PM,1.58648,14.605,,,
95,10/20/23 05:30:00 PM,1.58751,14.613,,,
96,10/20/23 05:45:00 PM,1.58518,14.601,,,
97,10/20/23 06:00:00 PM,1.58614,14.572,,,
98,10/20/23 06:15:00 PM,1.58785,14.541,,,
99,10/20/23 06:30:00 PM,1.58633,14.506,,,
100,10/20/23 06:45:00 PM,1.58675,14.477,,,
101,10/20/23 07:00:00 PM,1.58774,14.451,,,
102,10/20/23 07:15:00 PM,1.58919,14.433,,,
103,10/20/23 07:30:00 PM,1.58717,14.403,,,
104,10/20/23 07:45:00 PM,1.58598,14.381,,,
105,10/20/23 08:00:00 PM,1.58446,14.363,,,
106,10/20/23 08:15:00 PM,1.58396,14.345,,,
107,10/20/23 08:30:00 PM,1.58892,14.324,,,
108,10/20/23 08:45:00 PM,1.57797,14.301,,,
109,10/20/23 09:00:00 PM,1.57912,14.282,,,
110,10/20/23 09:15:00 PM,1.57721,14.259,,,
111,10/20/23 09:30:00 PM,1.57420,14.243,,,
112,10/20/23 09:45:00 PM,1.57645,14.232,,,
113,10/20/23 10:00:00 PM,1.57717,14.222,,,
114,10/20/23 10:15:00 PM,1.58118,14.210,,,
115,10/20/23 10:30:00 PM,1.57687,14.201,,,
116,10/20/23 10:45:00 PM,1.57820,14.194,,,
117,10/20/23 11:00:00 PM,1.57401,14.197,,,
118,10/20/23 11:15:00 PM,1.57267,14.204,,,
119,10/20/23 11:30:00 PM,1.57172,14.214,,,
120,10/20/23 11:45:00 PM,1.57015,14.225,,,
121,10/21/23 12:00:00 AM,1.57530,14.234,,,
122,10/21/23 12:15:00 AM,1.57427,14.238,,,
123,10/21/23 12:30:00 AM,1.57355,14.235,,,
124,10/21/23 12:45:00 AM,1.57214,14.226,,,
125,10/21/23 01:00:00 AM,1.57137,14.210,,,
126,10/21/23 01:15:00 AM,1.57458,14.194,,,
127,10/21/23 01:30:00 AM,1.57420,14.176,,,
128,10/21/23 01:45:00 AM,1.57393,14.158,,,
129,10/21/23 02:00:00 AM,1.57584,14.140,,,
130,10/21/23 02:15:00 AM,1.57588,14.125,,,
131,10/21/23 02:30:00 AM,1.57603,14.114,,,
132,10/21/23 02:45:00 AM,1.57549,14.102,,,
133,10/21/23 03:00:00 AM,1.57954,14.086,,,
134,10/21/23 03:15:00 AM,1.58110,14.068,,,
135,10/21/23 03:30:00 AM,1.58015,14.045,,,
136,10/21/23 03:45:00 AM,1.58019,14.012,,,
137,10/21/23 04:00:00 AM,1.57939,13.990,,,
138,10/21/23 04:15:00 AM,1.58015,13.964,,,
139,10/21/23 04:30:00 AM,1.58309,13.933,,,
140,10/21/23 04:45:00 AM,1.58099,13.903,,,
