dates,tension,temperature_stream,dH
14-04-2018 13:45,1.01682,13.778,-0.2680925482938646
14-04-2018 14:00,1.04383,13.66,-0.2426816158164765
14-04-2018 14:15,1.03117,13.595,-0.2567106674479241
14-04-2018 14:30,1.0412,13.538,-0.2483375826423674
14-04-2018 14:45,1.02647,13.401,-0.2643379043624631
14-04-2018 15:00,1.06188,13.29,-0.23078488289803112
14-04-2018 15:15,1.06546,13.186,-0.22877953384886815
14-04-2018 15:30,1.06676,13.028,-0.2289261281317125
14-04-2018 15:45,1.07824,12.877,-0.21901485366673035
14-04-2018 16:00,1.05875,12.705,-0.23971511390189165
14-04-2018 16:15,1.07443,12.591,-0.22571328969342225
14-04-2018 16:30,1.08988,12.542,-0.21206293102972543
14-04-2018 16:45,1.09033,12.535,-0.213328362492807
14-04-2018 17:00,1.08511,12.532,-0.22018222746158805
14-04-2018 17:15,1.08362,12.535,-0.22331552617558928
14-04-2018 17:30,1.07961,12.527,-0.22887139269803813
14-04-2018 17:45,1.07774,12.499,-0.23220978559186
14-04-2018 18:00,1.06359,12.456,-0.24761074190406984
14-04-2018 18:15,1.06523,12.425,-0.2473376060358125
14-04-2018 18:30,1.07958,12.455,-0.23454065636487828
14-04-2018 18:45,1.09602,12.57,-0.2197804253480562
14-04-2018 19:00,1.0782,12.728,-0.23894614170873482
14-04-2018 19:15,1.06619,12.867,-0.2522278741092685
14-04-2018 19:30,1.07088,13.001,-0.24887053868223055
14-04-2018 19:45,1.05207,13.106,-0.26861545775091467
14-04-2018 20:00,1.05329,13.209,-0.2684232554783577
14-04-2018 20:15,1.0198,13.285,-0.30242857145044505
14-04-2018 20:30,1.03311,13.386,-0.2900474486090943
14-04-2018 20:45,1.04913,13.503,-0.2749069834757704
14-04-2018 21:00,1.02747,13.631,-0.29698051645932794
14-04-2018 21:15,1.04494,13.775,-0.2802357647727097
14-04-2018 21:30,1.03204,13.879,-0.2933544199986596
14-04-2018 21:45,1.0312,13.963,-0.29437422441336875
14-04-2018 22:00,1.02968,14.015,-0.2958817326877968
14-04-2018 22:15,1.02129,14.068,-0.3040779385374551
14-04-2018 22:30,1.03216,14.092,-0.2930297347445192
14-04-2018 22:45,1.03792,14.107,-0.28690887868044207
14-04-2018 23:00,1.02399,14.092,-0.3001058337759594
14-04-2018 23:15,1.02827,14.063,-0.2951372745240871
14-04-2018 23:30,0.99123,14.036,-0.33097603879711895
14-04-2018 23:45,1.03445,14.011,-0.2872615191673549
15-04-2018 00:00,1.04414,13.984,-0.2766410886347645
15-04-2018 00:15,1.03899,13.966,-0.2806401474476067
15-04-2018 00:30,1.01102,13.942,-0.3071309181639694
15-04-2018 00:45,1.04791,13.928,-0.26935040558252776
15-04-2018 01:00,1.05112,13.948,-0.26491125944088334
15-04-2018 01:15,1.04837,13.969,-0.2663043746000574
15-04-2018 01:30,1.0288,13.966,-0.28423264134409576
15-04-2018 01:45,1.03262,13.964,-0.2789492885507629
15-04-2018 02:00,1.02251,13.958,-0.28739686315264085
15-04-2018 02:15,1.0433,13.96,-0.26522680905980284
15-04-2018 02:30,1.02522,13.97,-0.28151849976127996
15-04-2018 02:45,1.02941,13.966,-0.275702436680172
15-04-2018 03:00,1.02186,13.946,-0.28145148347302423
15-04-2018 03:15,1.03696,13.918,-0.2647444621691341
15-04-2018 03:30,1.02716,13.894,-0.27268959395383363
15-04-2018 03:45,1.0441,13.882,-0.2541882698544033
15-04-2018 04:00,1.05165,13.867,-0.24498385499101816
15-04-2018 04:15,1.02918,13.847,-0.2655031026454046
15-04-2018 04:30,1.056,13.819,-0.23722989972270742
15-04-2018 04:45,1.03304,13.795,-0.2582770285525911
15-04-2018 05:00,1.04162,13.768,-0.24812946986717554
15-04-2018 05:15,1.05062,13.727,-0.23757887828689464
15-04-2018 05:30,1.04517,13.688,-0.24138826270542274
15-04-2018 05:45,1.04715,13.655,-0.2379116500132086
15-04-2018 06:00,1.05165,13.625,-0.23200959307844038
15-04-2018 06:15,1.05444,13.598,-0.2278757181215183
15-04-2018 06:30,1.01793,13.575,-0.26273192405979
15-04-2018 06:45,1.02708,13.548,-0.25245558706288707
15-04-2018 07:00,1.06008,13.515,-0.2186391453763877
15-04-2018 07:15,1.06302,13.466,-0.21463615638709174
15-04-2018 07:30,1.05951,13.421,-0.2171205992781189
15-04-2018 07:45,1.02262,13.394,-0.2527875104942991
15-04-2018 08:00,1.0618,13.365,-0.21324092462387292
15-04-2018 08:15,1.061,13.38,-0.21347379292622895
15-04-2018 08:30,1.06123,13.386,-0.21277266097433464
15-04-2018 08:45,1.05749,13.404,-0.21613537169547728
15-04-2018 09:00,1.03006,13.434,-0.24308615810465162
15-04-2018 09:15,1.03227,13.479,-0.24083583626536414
15-04-2018 09:30,1.04528,13.539,-0.2280364758294648
15-04-2018 09:45,1.0589,13.613,-0.2147739749611778
15-04-2018 10:00,1.0473,13.699,-0.22661516112537688
15-04-2018 10:15,1.056,13.795,-0.2184898829812821
15-04-2018 10:30,1.00332,13.877,-0.2712073906794281
15-04-2018 10:45,1.03849,13.972,-0.23708712666423334
15-04-2018 11:00,1.01869,14.077,-0.25751195041578834
15-04-2018 11:15,1.00023,14.167,-0.2766774560055515
15-04-2018 11:30,1.02407,14.258,-0.2540649868429597
15-04-2018 11:45,1.02449,14.34,-0.2547117956767571
15-04-2018 12:00,0.9966,14.417,-0.2834636589820085
15-04-2018 12:15,1.02075,14.486,-0.26076306128393517
15-04-2018 12:30,1.01919,14.518,-0.2635142519819035
15-04-2018 12:45,0.99004,14.46,-0.2934573454451254
15-04-2018 13:00,1.00832,14.376,-0.27645706392507186
15-04-2018 13:15,1.02056,14.345,-0.2656157473403582
15-04-2018 13:30,0.99981,14.345,-0.28755974629063474
15-04-2018 13:45,1.00374,14.352,-0.2851369998175032
15-04-2018 14:00,1.01061,14.355,-0.27983957165675666
15-04-2018 14:15,1.00046,14.312,-0.2913293359330236
15-04-2018 14:30,1.0407,14.247,-0.25291608314141517
15-04-2018 14:45,1.01534,14.198,-0.2795061030893182
15-04-2018 15:00,1.03346,14.119,-0.2630025590113276
15-04-2018 15:15,1.03304,14.051,-0.26488785350617094
15-04-2018 15:30,1.0285,14.032,-0.2709621998125145
15-04-2018 15:45,1.02579,14.021,-0.27523831153232875
15-04-2018 16:00,1.028,13.997,-0.27460408373225753
15-04-2018 16:15,1.00809,13.961,-0.29582429823084183
15-04-2018 16:30,1.0441,13.867,-0.26153182744570086
15-04-2018 16:45,1.06382,13.772,-0.243332466626784
15-04-2018 17:00,1.05558,13.702,-0.252829758481019
15-04-2018 17:15,1.07145,13.629,-0.23840671236441016
15-04-2018 17:30,1.06966,13.562,-0.24142908071212524
15-04-2018 17:45,1.04887,13.49,-0.2631934075972766
15-04-2018 18:00,1.06889,13.404,-0.24446237694521947
15-04-2018 18:15,1.06439,13.306,-0.24991162068693817
15-04-2018 18:30,1.05989,13.23,-0.25533557986497746
15-04-2018 18:45,1.07576,13.195,-0.24060471852114068
15-04-2018 19:00,1.07221,13.213,-0.2451329420935224
15-04-2018 19:15,1.02502,13.288,-0.2929027297678235
15-04-2018 19:30,1.06138,13.419,-0.2579901155076107
15-04-2018 19:45,1.04227,13.559,-0.27791881493551934
15-04-2018 20:00,1.03792,13.708,-0.2831582712255397
15-04-2018 20:15,1.02319,13.823,-0.2985005986963072
15-04-2018 20:30,1.05154,13.934,-0.27108403011812554
15-04-2018 20:45,1.02777,14.02,-0.29510908690334636
15-04-2018 21:00,1.04234,14.105,-0.2810717773587757
15-04-2018 21:15,1.03517,14.188,-0.28844847942333635
15-04-2018 21:30,1.0267,14.259,-0.2969815436296768
15-04-2018 21:45,1.01492,14.331,-0.30868958717171463
15-04-2018 22:00,1.01732,14.412,-0.306275745726391
15-04-2018 22:15,0.99229,14.49,-0.33090885737862624
15-04-2018 22:30,1.00614,14.568,-0.3169502167526864
15-04-2018 22:45,1.01392,14.623,-0.3088520813206014
15-04-2018 23:00,0.99283,14.664,-0.3292086307834751
15-04-2018 23:15,1.0219,14.696,-0.29979401083438767
15-04-2018 23:30,1.02766,14.719,-0.2933468283285946
15-04-2018 23:45,1.03582,14.735,-0.28442225104055535
16-04-2018 00:00,0.99176,14.758,-0.3271287616444318
16-04-2018 00:15,1.00263,14.783,-0.31538133396789547
16-04-2018 00:30,1.01102,14.806,-0.3060118555182572
16-04-2018 00:45,1.0209,14.831,-0.29510382077779895
16-04-2018 01:00,1.0135,14.851,-0.30122954703678056
16-04-2018 01:15,1.00332,14.871,-0.3100505607054567
16-04-2018 01:30,0.99069,14.877,-0.32121536294420977
16-04-2018 01:45,0.98867,14.885,-0.3218355851895079
16-04-2018 02:00,1.00389,14.888,-0.30533843118875487
16-04-2018 02:15,1.01881,14.883,-0.28908830811251823
16-04-2018 02:30,1.00031,14.883,-0.3059089468590351
16-04-2018 02:45,0.97723,14.876,-0.3272290921463312
16-04-2018 03:00,1.00278,14.87,-0.3003950046042306
16-04-2018 03:15,1.01682,14.865,-0.28495198301513514
16-04-2018 03:30,0.96368,14.856,-0.33600909870456
16-04-2018 03:45,1.02003,14.846,-0.27867630528509413
16-04-2018 04:00,1.02399,14.834,-0.27321925268877184
16-04-2018 04:15,0.99313,14.822,-0.30225457733782785
16-04-2018 04:30,1.01137,14.803,-0.28269262352012353
16-04-2018 04:45,1.03544,14.779,-0.2573813853120989
16-04-2018 05:00,1.02346,14.755,-0.2677991568965003
16-04-2018 05:15,1.00332,14.732,-0.2863429954185326
16-04-2018 05:30,1.01545,14.707,-0.27298639452578516
16-04-2018 05:45,1.04116,14.679,-0.2462357829399584
16-04-2018 06:00,0.99832,14.644,-0.2873963640207814
16-04-2018 06:15,1.0314,14.61,-0.2534653082519391
16-04-2018 06:30,1.0407,14.569,-0.24313277900508048
16-04-2018 06:45,0.98707,14.53,-0.2951813006421603
16-04-2018 07:00,1.03807,14.493,-0.24373047083249386
16-04-2018 07:15,1.03937,14.457,-0.241568435308067
16-04-2018 07:30,1.03021,14.43,-0.24986835410683608
16-04-2018 07:45,1.02174,14.415,-0.2576011618866132
16-04-2018 08:00,1.0425,14.406,-0.23650160756716196
16-04-2018 08:15,1.00923,14.402,-0.26899696592558464
16-04-2018 08:30,0.99737,14.414,-0.2804273451940467
16-04-2018 08:45,1.04406,14.447,-0.23403630542767284
16-04-2018 09:00,0.99607,14.498,-0.28151577735076794
16-04-2018 09:15,1.0222,14.563,-0.2557453790617781
16-04-2018 09:30,1.02548,14.628,-0.25269472073486965
16-04-2018 09:45,1.01926,14.713,-0.2591905559001385
16-04-2018 10:00,0.98505,14.792,-0.2934801929249406
16-04-2018 10:15,1.01583,14.867,-0.26351646781937527
16-04-2018 10:30,1.005,14.955,-0.27486881089592613
16-04-2018 10:45,0.99897,15.054,-0.2815847900127905
16-04-2018 11:00,1.00782,15.145,-0.2736410931175364
16-04-2018 11:15,1.01389,15.228,-0.2685181860113719
16-04-2018 11:30,1.01129,15.309,-0.2720569909550032
16-04-2018 11:45,0.98547,15.376,-0.298632104882345
16-04-2018 12:00,0.99805,15.424,-0.2872248018812075
16-04-2018 12:15,1.00042,15.484,-0.28602248265548147
16-04-2018 12:30,0.96792,15.496,-0.3193026998865885
16-04-2018 12:45,0.99813,15.528,-0.290605115140035
16-04-2018 13:00,1.00889,15.546,-0.2811886209585058
16-04-2018 13:15,1.01213,15.557,-0.2792524622167385
16-04-2018 13:30,0.97265,15.558,-0.31963250218308087
16-04-2018 13:45,1.01694,15.563,-0.27712850952896867
16-04-2018 14:00,0.99878,15.578,-0.296505493388248
16-04-2018 14:15,0.99004,15.597,-0.3065929872472582
16-04-2018 14:30,0.97784,15.605,-0.3201032334409978
16-04-2018 14:45,1.01595,15.6,-0.28379333467860557
