dates,Temp_profondeur_10,Temp_profondeur_20,Temp_profondeur_30,Temp_profondeur_40
14-04-2018 13:45,13.124,12.467,12.022,11.821
14-04-2018 14:00,13.081,12.388,11.91,11.686
14-04-2018 14:15,13.064,12.37,11.874,11.637
14-04-2018 14:30,13.052,12.37,11.862,11.616
14-04-2018 14:45,13.038,12.378,11.859,11.605
14-04-2018 15:00,13.014,12.387,11.863,11.602
14-04-2018 15:15,12.978,12.394,11.869,11.604
14-04-2018 15:30,12.939,12.4,11.878,11.607
14-04-2018 15:45,12.888,12.403,11.886,11.611
14-04-2018 16:00,12.826,12.402,11.895,11.619
14-04-2018 16:15,12.76,12.397,11.903,11.625
14-04-2018 16:30,12.69,12.39,11.91,11.633
14-04-2018 16:45,12.637,12.378,11.916,11.64
14-04-2018 17:00,12.595,12.363,11.921,11.646
14-04-2018 17:15,12.564,12.346,11.924,11.654
14-04-2018 17:30,12.538,12.331,11.924,11.66
14-04-2018 17:45,12.515,12.316,11.925,11.666
14-04-2018 18:00,12.493,12.302,11.924,11.671
14-04-2018 18:15,12.467,12.289,11.922,11.675
14-04-2018 18:30,12.443,12.276,11.921,11.68
14-04-2018 18:45,12.435,12.264,11.918,11.683
14-04-2018 19:00,12.447,12.252,11.915,11.686
14-04-2018 19:15,12.477,12.243,11.912,11.689
14-04-2018 19:30,12.52,12.236,11.909,11.69
14-04-2018 19:45,12.567,12.234,11.906,11.692
14-04-2018 20:00,12.634,12.236,11.903,11.693
14-04-2018 20:15,12.699,12.243,11.901,11.695
14-04-2018 20:30,12.745,12.254,11.901,11.695
14-04-2018 20:45,12.797,12.267,11.901,11.696
14-04-2018 21:00,12.855,12.283,11.904,11.698
14-04-2018 21:15,12.918,12.301,11.907,11.699
14-04-2018 21:30,12.98,12.322,11.913,11.702
14-04-2018 21:45,13.044,12.344,11.919,11.705
14-04-2018 22:00,13.12,12.372,11.927,11.709
14-04-2018 22:15,13.18,12.4,11.936,11.712
14-04-2018 22:30,13.24,12.432,11.948,11.718
14-04-2018 22:45,13.293,12.464,11.96,11.722
14-04-2018 23:00,13.323,12.493,11.974,11.728
14-04-2018 23:15,13.351,12.523,11.987,11.736
14-04-2018 23:30,13.377,12.551,12.004,11.743
14-04-2018 23:45,13.391,12.579,12.019,11.751
15-04-2018 00:00,13.406,12.603,12.036,11.76
15-04-2018 00:15,13.413,12.625,12.051,11.769
15-04-2018 00:30,13.419,12.647,12.068,11.778
15-04-2018 00:45,13.418,12.663,12.083,11.789
15-04-2018 01:00,13.416,12.68,12.098,11.8
15-04-2018 01:15,13.424,12.695,12.113,11.81
15-04-2018 01:30,13.433,12.707,12.128,11.821
15-04-2018 01:45,13.434,12.72,12.142,11.831
15-04-2018 02:00,13.439,12.733,12.155,11.842
15-04-2018 02:15,13.445,12.743,12.168,11.853
15-04-2018 02:30,13.452,12.755,12.18,11.862
15-04-2018 02:45,13.458,12.767,12.192,11.872
15-04-2018 03:00,13.455,12.776,12.204,11.883
15-04-2018 03:15,13.451,12.784,12.214,11.892
15-04-2018 03:30,13.446,12.793,12.225,11.903
15-04-2018 03:45,13.442,12.8,12.236,11.912
15-04-2018 04:00,13.434,12.808,12.246,11.921
15-04-2018 04:15,13.43,12.814,12.257,11.931
15-04-2018 04:30,13.43,12.821,12.266,11.94
15-04-2018 04:45,13.425,12.828,12.275,11.95
15-04-2018 05:00,13.418,12.832,12.284,11.959
15-04-2018 05:15,13.403,12.835,12.293,11.968
15-04-2018 05:30,13.389,12.84,12.301,11.975
15-04-2018 05:45,13.377,12.843,12.308,11.984
15-04-2018 06:00,13.364,12.846,12.316,11.993
15-04-2018 06:15,13.344,12.847,12.323,12.001
15-04-2018 06:30,13.327,12.846,12.329,12.009
15-04-2018 06:45,13.314,12.844,12.334,12.016
15-04-2018 07:00,13.299,12.844,12.34,12.024
15-04-2018 07:15,13.282,12.843,12.344,12.03
15-04-2018 07:30,13.26,12.838,12.349,12.037
15-04-2018 07:45,13.239,12.835,12.352,12.043
15-04-2018 08:00,13.218,12.831,12.355,12.05
15-04-2018 08:15,13.201,12.826,12.358,12.054
15-04-2018 08:30,13.188,12.82,12.361,12.06
15-04-2018 08:45,13.181,12.814,12.363,12.066
15-04-2018 09:00,13.178,12.809,12.364,12.071
15-04-2018 09:15,13.18,12.805,12.366,12.075
15-04-2018 09:30,13.188,12.8,12.366,12.08
15-04-2018 09:45,13.204,12.799,12.367,12.083
15-04-2018 10:00,13.225,12.797,12.367,12.087
15-04-2018 10:15,13.255,12.799,12.369,12.09
15-04-2018 10:30,13.293,12.803,12.369,12.093
15-04-2018 10:45,13.329,12.809,12.372,12.096
15-04-2018 11:00,13.377,12.818,12.373,12.099
15-04-2018 11:15,13.433,12.831,12.376,12.102
15-04-2018 11:30,13.49,12.844,12.381,12.107
15-04-2018 11:45,13.539,12.861,12.387,12.11
15-04-2018 12:00,13.592,12.88,12.393,12.115
15-04-2018 12:15,13.646,12.901,12.4,12.119
15-04-2018 12:30,13.693,12.924,12.409,12.124
15-04-2018 12:45,13.735,12.948,12.419,12.13
15-04-2018 13:00,13.756,12.972,12.429,12.136
15-04-2018 13:15,13.76,12.996,12.441,12.142
15-04-2018 13:30,13.759,13.017,12.453,12.148
15-04-2018 13:45,13.757,13.035,12.467,12.155
15-04-2018 14:00,13.762,13.052,12.479,12.165
15-04-2018 14:15,13.772,13.069,12.493,12.172
15-04-2018 14:30,13.783,13.084,12.505,12.181
15-04-2018 14:45,13.775,13.097,12.517,12.19
15-04-2018 15:00,13.76,13.111,12.529,12.199
15-04-2018 15:15,13.741,13.121,12.541,12.208
15-04-2018 15:30,13.718,13.127,12.551,12.217
15-04-2018 15:45,13.7,13.132,12.562,12.227
15-04-2018 16:00,13.684,13.135,12.573,12.236
15-04-2018 16:15,13.67,13.136,12.58,12.243
15-04-2018 16:30,13.652,13.138,12.589,12.252
15-04-2018 16:45,13.626,13.138,12.597,12.261
15-04-2018 17:00,13.593,13.136,12.603,12.269
15-04-2018 17:15,13.557,13.133,12.609,12.276
15-04-2018 17:30,13.521,13.127,12.613,12.284
15-04-2018 17:45,13.484,13.12,12.618,12.292
15-04-2018 18:00,13.445,13.112,12.621,12.298
15-04-2018 18:15,13.403,13.1,12.624,12.304
15-04-2018 18:30,13.354,13.088,12.625,12.31
15-04-2018 18:45,13.308,13.075,12.625,12.314
15-04-2018 19:00,13.267,13.06,12.625,12.319
15-04-2018 19:15,13.237,13.041,12.624,12.323
15-04-2018 19:30,13.227,13.025,12.621,12.326
15-04-2018 19:45,13.236,13.01,12.618,12.329
15-04-2018 20:00,13.261,12.996,12.613,12.332
15-04-2018 20:15,13.3,12.987,12.609,12.334
15-04-2018 20:30,13.347,12.984,12.606,12.335
15-04-2018 20:45,13.395,12.984,12.601,12.337
15-04-2018 21:00,13.442,12.99,12.6,12.338
15-04-2018 21:15,13.487,12.998,12.598,12.338
15-04-2018 21:30,13.536,13.01,12.598,12.338
15-04-2018 21:45,13.589,13.025,12.6,12.34
15-04-2018 22:00,13.637,13.041,12.601,12.341
15-04-2018 22:15,13.685,13.058,12.606,12.343
15-04-2018 22:30,13.733,13.078,12.612,12.346
15-04-2018 22:45,13.781,13.099,12.618,12.349
15-04-2018 23:00,13.828,13.12,12.625,12.352
15-04-2018 23:15,13.871,13.144,12.634,12.357
15-04-2018 23:30,13.907,13.166,12.644,12.361
15-04-2018 23:45,13.939,13.191,12.654,12.366
16-04-2018 00:00,13.969,13.215,12.666,12.372
16-04-2018 00:15,13.996,13.236,12.678,12.378
16-04-2018 00:30,14.023,13.258,12.69,12.384
16-04-2018 00:45,14.05,13.281,12.704,12.391
16-04-2018 01:00,14.075,13.3,12.717,12.399
16-04-2018 01:15,14.099,13.321,12.73,12.408
16-04-2018 01:30,14.12,13.341,12.743,12.416
16-04-2018 01:45,14.14,13.36,12.757,12.425
16-04-2018 02:00,14.158,13.38,12.772,12.434
16-04-2018 02:15,14.174,13.4,12.785,12.443
16-04-2018 02:30,14.189,13.418,12.799,12.452
16-04-2018 02:45,14.201,13.436,12.812,12.462
16-04-2018 03:00,14.211,13.452,12.826,12.471
16-04-2018 03:15,14.219,13.467,12.84,12.482
16-04-2018 03:30,14.225,13.481,12.853,12.491
