dates,Temp_profondeur_10,Temp_profondeur_20,Temp_profondeur_30,Temp_profondeur_40
13-07-2016 00:00,16.82,16.558,16.106,424.791
13-07-2016 01:15,16.63,16.487,16.106,424.791
13-07-2016 04:15,16.153,16.249,16.058,424.791
13-07-2016 20:15,16.177,15.915,15.676,424.791
13-07-2016 21:45,16.058,15.915,15.676,424.791
13-07-2016 22:15,16.01,15.891,15.676,424.791
13-07-2016 22:45,15.963,15.891,15.676,424.791
13-07-2016 23:15,15.891,15.867,15.676,424.791
17-07-2016 20:45,18.247,16.796,15.772,424.791
17-07-2016 21:00,18.247,16.844,15.772,424.791
17-07-2016 21:15,18.247,16.868,15.819,424.791
17-07-2016 21:30,18.247,16.892,15.843,424.791
17-07-2016 21:45,18.247,16.915,15.867,424.791
17-07-2016 22:00,18.247,16.939,15.891,424.791
17-07-2016 22:30,18.2,16.987,15.915,424.791
17-07-2016 22:45,18.176,16.987,15.939,424.791
17-07-2016 23:00,18.152,17.011,15.963,424.791
17-07-2016 23:15,18.105,17.011,15.963,424.791
17-07-2016 23:30,18.081,17.011,15.986,424.791
17-07-2016 23:45,18.057,17.034,16.01,424.791
18-07-2016 00:45,17.891,17.034,16.058,424.791
18-07-2016 01:00,17.867,17.034,16.082,424.791
18-07-2016 01:15,17.819,17.034,16.082,424.791
18-07-2016 01:30,17.772,17.011,16.106,424.791
18-07-2016 03:15,17.486,16.939,16.153,424.791
18-07-2016 03:30,17.439,16.915,16.153,424.791
18-07-2016 04:00,17.368,16.892,16.153,424.791
18-07-2016 04:15,17.296,16.868,16.153,424.791
18-07-2016 04:45,17.225,16.844,16.177,424.791
18-07-2016 05:00,17.177,16.82,16.177,424.791
18-07-2016 05:15,17.13,16.796,16.177,424.791
18-07-2016 05:45,17.011,16.749,16.153,424.791
18-07-2016 06:00,16.963,16.725,16.153,424.791
18-07-2016 06:30,16.868,16.701,16.153,424.791
18-07-2016 07:00,16.796,16.654,16.153,424.791
18-07-2016 07:15,16.749,16.63,16.153,424.791
18-07-2016 07:30,16.725,16.606,16.129,424.791
18-07-2016 15:30,17.677,16.654,16.034,424.791
18-07-2016 15:45,17.748,16.677,16.058,424.791
18-07-2016 16:00,17.819,16.725,16.058,424.791
18-07-2016 16:15,17.915,16.749,16.058,424.791
18-07-2016 17:00,18.152,16.844,16.082,424.791
18-07-2016 17:15,18.224,16.892,16.106,424.791
18-07-2016 17:45,18.39,16.963,16.129,424.791
18-07-2016 18:00,18.461,17.011,16.129,424.791
18-07-2016 18:15,18.533,17.058,16.153,424.791
18-07-2016 18:30,18.604,17.106,16.177,424.791
18-07-2016 18:45,18.652,17.153,16.177,424.791
18-07-2016 19:00,18.723,17.201,16.201,424.791
18-07-2016 19:15,18.771,17.225,16.225,424.791
18-07-2016 19:30,18.818,17.272,16.225,424.791
18-07-2016 19:45,18.889,17.32,16.249,424.791
18-07-2016 20:00,18.913,17.344,16.272,424.791
18-07-2016 20:15,18.937,17.391,16.296,424.791
18-07-2016 20:30,18.985,17.439,16.32,424.791
18-07-2016 20:45,18.985,17.463,16.344,424.791
18-07-2016 21:00,18.985,17.51,16.344,424.791
18-07-2016 21:15,18.985,17.534,16.368,424.791
18-07-2016 21:30,19.008,17.558,16.392,424.791
18-07-2016 21:45,18.985,17.582,16.415,424.791
18-07-2016 22:00,18.961,17.582,16.439,424.791
18-07-2016 22:15,18.961,17.629,16.463,424.791
18-07-2016 22:30,18.937,17.629,16.463,424.791
18-07-2016 22:45,18.913,17.653,16.487,424.791
18-07-2016 23:00,18.866,17.653,16.511,424.791
18-07-2016 23:15,18.842,17.677,16.534,424.791
18-07-2016 23:30,18.794,17.677,16.534,424.791
18-07-2016 23:45,18.771,17.677,16.558,424.791
19-07-2016 00:00,18.723,17.677,16.582,424.791
19-07-2016 00:15,18.675,17.677,16.582,424.791
19-07-2016 00:30,18.652,17.677,16.606,424.791
19-07-2016 00:45,18.604,17.677,16.606,424.791
19-07-2016 01:00,18.557,17.677,16.63,424.791
19-07-2016 01:15,18.509,17.653,16.63,424.791
19-07-2016 01:30,18.461,17.653,16.654,424.791
19-07-2016 01:45,18.414,17.653,16.654,424.791
19-07-2016 02:00,18.366,17.629,16.654,424.791
19-07-2016 02:15,18.319,17.629,16.677,424.791
19-07-2016 02:30,18.271,17.605,16.677,424.791
19-07-2016 02:45,18.224,17.582,16.677,424.791
19-07-2016 03:00,18.176,17.582,16.701,424.791
19-07-2016 03:15,18.129,17.558,16.701,424.791
19-07-2016 03:30,18.081,17.558,16.701,424.791
19-07-2016 03:45,18.033,17.534,16.701,424.791
19-07-2016 04:00,17.986,17.51,16.701,424.791
19-07-2016 04:15,17.938,17.486,16.701,424.791
19-07-2016 04:30,17.891,17.463,16.701,424.791
19-07-2016 04:45,17.843,17.439,16.701,424.791
19-07-2016 05:00,17.796,17.415,16.701,424.791
19-07-2016 05:15,17.724,17.391,16.701,424.791
19-07-2016 05:30,17.677,17.368,16.701,424.791
19-07-2016 05:45,17.629,17.344,16.701,424.791
19-07-2016 06:00,17.582,17.32,16.677,424.791
19-07-2016 06:15,17.534,17.296,16.677,424.791
19-07-2016 06:30,17.486,17.272,16.677,424.791
19-07-2016 06:45,17.439,17.249,16.677,424.791
19-07-2016 07:00,17.391,17.225,16.677,424.791
19-07-2016 07:15,17.344,17.201,16.677,424.791
19-07-2016 07:30,17.296,17.177,16.654,424.791
19-07-2016 07:45,17.272,17.153,16.654,424.791
19-07-2016 08:00,17.249,17.106,16.654,424.791
19-07-2016 08:15,17.225,17.082,16.63,424.791
19-07-2016 08:30,17.201,17.082,16.63,424.791
19-07-2016 08:45,17.177,17.058,16.63,424.791
19-07-2016 09:00,17.177,17.034,16.606,424.791
19-07-2016 09:15,17.177,17.011,16.606,424.791
19-07-2016 09:30,17.201,16.987,16.606,424.791
19-07-2016 09:45,17.201,16.987,16.582,424.791
19-07-2016 10:00,17.225,16.963,16.582,424.791
19-07-2016 10:15,17.249,16.963,16.558,424.791
19-07-2016 10:30,17.249,16.963,16.558,424.791
19-07-2016 10:45,17.272,16.939,16.534,424.791
19-07-2016 11:00,17.296,16.939,16.534,424.791
19-07-2016 11:15,17.344,16.939,16.534,424.791
19-07-2016 11:30,17.368,16.939,16.534,424.791
19-07-2016 11:45,17.415,16.939,16.534,424.791
19-07-2016 12:00,17.439,16.939,16.511,424.791
19-07-2016 12:15,17.486,16.939,16.511,424.791
19-07-2016 12:30,17.51,16.963,16.511,424.791
19-07-2016 12:45,17.558,16.963,16.487,424.791
19-07-2016 13:00,17.629,16.963,16.487,424.791
19-07-2016 13:15,17.677,16.987,16.487,424.791
19-07-2016 13:30,17.724,16.987,16.487,424.791
19-07-2016 13:45,17.772,17.011,16.487,424.791
19-07-2016 14:00,17.819,17.011,16.487,424.791
19-07-2016 14:15,17.891,17.034,16.487,424.791
19-07-2016 14:30,17.962,17.058,16.487,424.791
19-07-2016 14:45,18.033,17.082,16.487,424.791
19-07-2016 15:00,18.105,17.106,16.487,424.791
19-07-2016 15:15,18.176,17.13,16.487,424.791
19-07-2016 20:15,19.651,17.962,16.773,424.791
19-07-2016 20:30,19.674,18.01,16.773,424.791
19-07-2016 20:45,19.698,18.033,16.796,424.791
19-07-2016 21:00,19.698,18.081,16.82,424.791
19-07-2016 21:15,19.722,18.105,16.844,424.791
19-07-2016 21:30,19.722,18.129,16.868,424.791
19-07-2016 21:45,19.698,18.176,16.892,424.791
19-07-2016 22:00,19.674,18.2,16.915,424.791
19-07-2016 22:15,19.674,18.224,16.939,424.791
19-07-2016 22:30,19.651,18.224,16.963,424.791
19-07-2016 22:45,19.627,18.247,16.963,424.791
19-07-2016 23:00,19.579,18.247,16.987,424.791
19-07-2016 23:15,19.555,18.271,17.011,424.791
19-07-2016 23:30,19.532,18.271,17.034,424.791
19-07-2016 23:45,19.484,18.271,17.058,424.791
20-07-2016 00:00,19.436,18.271,17.058,424.791
20-07-2016 00:15,19.389,18.295,17.082,424.791
20-07-2016 00:30,19.365,18.271,17.082,424.791
20-07-2016 00:45,19.318,18.271,17.106,424.791
20-07-2016 01:00,19.27,18.271,17.13,424.791
20-07-2016 01:15,19.222,18.271,17.13,424.791
20-07-2016 01:30,19.175,18.271,17.13,424.791
20-07-2016 01:45,19.151,18.247,17.153,424.791
20-07-2016 02:00,19.103,18.247,17.153,424.791
20-07-2016 02:15,19.056,18.224,17.153,424.791
20-07-2016 02:30,19.008,18.224,17.177,424.791
20-07-2016 02:45,18.961,18.2,17.177,424.791
20-07-2016 03:00,18.913,18.176,17.201,424.791
20-07-2016 03:15,18.866,18.176,17.201,424.791
20-07-2016 03:30,18.818,18.152,17.201,424.791
20-07-2016 03:45,18.771,18.129,17.201,424.791
20-07-2016 04:00,18.723,18.129,17.201,424.791
20-07-2016 04:15,18.675,18.105,17.201,424.791
20-07-2016 04:30,18.604,18.081,17.201,424.791
20-07-2016 04:45,18.58,18.057,17.201,424.791
