dates,temperature_stream,dH
17-06-2019 12:00,14.957,-0.032237881132228564
17-06-2019 12:15,14.925,-0.03343904490453883
17-06-2019 12:30,14.874,-0.03455659927878287
17-06-2019 12:45,14.75,-0.03697244305381422
17-06-2019 13:00,14.628,-0.03941236925175673
17-06-2019 13:15,14.508,-0.03964861938018845
17-06-2019 13:30,14.352,-0.040646944664910804
17-06-2019 13:45,14.217,-0.041561455632334696
17-06-2019 14:00,14.101,-0.04059684922439284
17-06-2019 14:15,14.017,-0.03998901822841937
17-06-2019 14:30,13.951,-0.038446651849750976
17-06-2019 14:45,13.895,-0.03832311062543444
17-06-2019 15:00,13.85,-0.0382666300145701
17-06-2019 15:15,13.795,-0.037477559176519966
17-06-2019 15:30,13.73,-0.03732454160718022
17-06-2019 15:45,13.676,-0.036851094933306586
17-06-2019 16:00,13.62,-0.03579797532891381
17-06-2019 16:15,13.56,-0.03624328143067308
17-06-2019 16:30,13.493,-0.0354925687344529
17-06-2019 16:45,13.415,-0.03508130036203524
17-06-2019 17:00,13.345,-0.03369376345036383
17-06-2019 17:15,13.276,-0.03137665271761843
17-06-2019 17:30,13.21,-0.03153153579359576
17-06-2019 17:45,13.141,-0.03091142304616265
17-06-2019 18:00,13.072,-0.030443315553485138
17-06-2019 18:15,12.983,-0.030824026584692864
17-06-2019 18:30,12.904,-0.03044639834432026
17-06-2019 18:45,12.832,-0.03139055011272517
17-06-2019 19:00,12.77,-0.03135787591939011
17-06-2019 19:15,12.719,-0.03256221919755854
17-06-2019 19:30,12.671,-0.032099572942342995
17-06-2019 19:45,12.624,-0.03267259444176909
17-06-2019 20:00,12.58,-0.03331850106821291
17-06-2019 20:15,12.536,-0.03254472870089281
17-06-2019 20:30,12.493,-0.034975832464269864
17-06-2019 20:45,12.447,-0.034370145741639796
17-06-2019 21:00,12.402,-0.0349298550658676
17-06-2019 21:15,12.372,-0.035086956413328714
17-06-2019 21:30,12.334,-0.036128865650361656
17-06-2019 21:45,12.295,-0.03512649108921259
17-06-2019 22:00,12.251,-0.03543754814501975
17-06-2019 22:15,12.213,-0.03583466310655176
17-06-2019 22:30,12.169,-0.034634034067915924
17-06-2019 22:45,12.145,-0.03477603399621188
17-06-2019 23:00,12.121,-0.03482836839244394
17-06-2019 23:15,12.08,-0.035721311722449606
17-06-2019 23:30,12.031,-0.03594233016441901
17-06-2019 23:45,11.989,-0.03596972609905144
18-06-2019 00:00,11.951,-0.034755951946531215
18-06-2019 00:15,11.921,-0.035738950819401635
18-06-2019 00:30,11.897,-0.037830489806642734
18-06-2019 00:45,11.88,-0.04016349603288877
18-06-2019 01:00,11.869,-0.041683154373553244
18-06-2019 01:15,11.865,-0.03988806363171213
18-06-2019 01:30,11.865,-0.04070485620212138
18-06-2019 01:45,11.883,-0.039964095029976526
18-06-2019 02:00,11.915,-0.04000169077569891
18-06-2019 02:15,11.975,-0.03910552685206256
18-06-2019 02:30,12.045,-0.03851962200074451
18-06-2019 02:45,12.133,-0.037552223897802904
18-06-2019 03:00,12.233,-0.03722418549923017
18-06-2019 03:15,12.313,-0.03709472182541132
18-06-2019 03:30,12.431,-0.03420311839729543
18-06-2019 03:45,12.523,-0.03402130343473417
18-06-2019 04:00,12.5,-0.033981555033727476
18-06-2019 04:15,12.628,-0.031488852454988635
18-06-2019 04:30,12.68,-0.03289931960915687
18-06-2019 04:45,12.767,-0.033052240317672094
18-06-2019 05:00,12.999,-0.03143020518129268
18-06-2019 05:15,13.186,-0.030043848157028895
18-06-2019 05:30,13.263,-0.030278814131217417
18-06-2019 05:45,13.351,-0.025787174807112467
18-06-2019 06:00,13.557,-0.0253124497593355
18-06-2019 06:15,13.608,-0.02594266680789412
18-06-2019 06:30,13.69,-0.02489022478228556
18-06-2019 06:45,13.78,-0.023953199050646367
18-06-2019 07:00,13.952,-0.023747464784692245
18-06-2019 07:15,14.12,-0.02193383231386762
18-06-2019 07:30,14.211,-0.022033097083533456
18-06-2019 07:45,14.22,-0.020964364457535734
18-06-2019 08:00,14.384,-0.020549784016935888
18-06-2019 08:15,14.442,-0.019908485986580803
18-06-2019 08:30,14.58,-0.02072651490942674
18-06-2019 08:45,14.722,-0.01858807191705601
18-06-2019 09:00,14.8,-0.018362686409562252
18-06-2019 09:15,14.856,-0.018212033814434224
18-06-2019 09:30,14.918,-0.01656718267172359
18-06-2019 09:45,14.916,-0.01830876425263393
18-06-2019 10:00,14.861,-0.0174382417176922
18-06-2019 10:15,14.782,-0.016406379088017876
18-06-2019 10:30,14.725,-0.015891612194046285
18-06-2019 10:45,14.74,-0.015851793206790733
18-06-2019 11:00,14.81,-0.015652120386024156
18-06-2019 11:15,14.768,-0.016116843105245315
18-06-2019 11:30,14.671,-0.01571361878589126
18-06-2019 11:45,14.563,-0.016934046951789274
18-06-2019 12:00,14.49,-0.018069353378365204
18-06-2019 12:15,14.426,-0.018148863763372963
18-06-2019 12:30,14.403,-0.017847310027168776
18-06-2019 12:45,14.37,-0.01820218797560755
18-06-2019 13:00,14.288,-0.018623667392147655
18-06-2019 13:15,14.204,-0.01912141437351571
18-06-2019 13:30,14.129,-0.019929836199575838
18-06-2019 13:45,14.065,-0.019750059963538503
18-06-2019 14:00,14.005,-0.020079539112431304
18-06-2019 14:15,13.931,-0.020207140044237598
18-06-2019 14:30,13.852,-0.021802198519536877
18-06-2019 14:45,13.774,-0.021659565447668543
18-06-2019 15:00,13.694,-0.021784860050138726
18-06-2019 15:15,13.631,-0.022383453561986063
18-06-2019 15:30,13.559,-0.022441898599340215
18-06-2019 15:45,13.494,-0.023032709695788106
18-06-2019 16:00,13.433,-0.02269011652235642
18-06-2019 16:15,13.373,-0.022901086839244425
18-06-2019 16:30,13.318,-0.023190501763585922
18-06-2019 16:45,13.279,-0.023352269000664647
18-06-2019 17:00,13.254,-0.023424650944639865
18-06-2019 17:15,13.228,-0.022644926516755003
18-06-2019 17:30,13.198,-0.02361967279708646
18-06-2019 17:45,13.156,-0.024844987364887487
