dates,Temperature 1,Temperature 2,Temperature 3,Temperature 4
07-10-2024 15:15,13.823,13.511,12.71,13.922
07-10-2024 15:30,13.838,13.523,12.717,13.928
07-10-2024 19:30,14.011,13.699,12.865,14.011
07-10-2024 19:45,14.018,13.708,12.876,14.017
07-10-2024 20:00,14.024,13.717,12.882,14.032
07-10-2024 20:15,14.032,13.726,12.889,14.039
07-10-2024 20:30,14.041,13.735,12.898,14.042
07-10-2024 20:45,14.05,13.742,12.907,14.05
07-10-2024 21:00,14.062,13.751,12.913,14.05
07-10-2024 21:15,14.077,13.76,12.919,14.053
07-10-2024 21:30,14.092,13.769,12.93,14.06
07-10-2024 21:45,14.108,13.778,12.939,14.065
07-10-2024 22:00,14.126,13.789,12.947,14.068
07-10-2024 22:15,14.143,13.799,12.957,14.071
07-10-2024 22:30,14.159,13.811,12.966,14.074
07-10-2024 22:45,14.176,13.822,12.975,14.078
07-10-2024 23:00,14.191,13.834,12.984,14.083
07-10-2024 23:15,14.204,13.846,12.993,14.092
07-10-2024 23:30,14.217,13.858,13.002,14.072
07-10-2024 23:45,14.231,13.868,13.014,14.077
08-10-2024 00:00,14.244,13.88,13.023,14.081
08-10-2024 00:15,14.256,13.892,13.032,14.084
08-10-2024 00:30,14.27,13.903,13.043,14.089
08-10-2024 00:45,14.282,13.915,13.054,14.093
08-10-2024 01:00,14.295,13.927,13.063,14.098
08-10-2024 01:15,14.306,13.937,13.07,14.101
08-10-2024 01:30,14.316,13.949,13.081,14.105
08-10-2024 01:45,14.324,13.96,13.093,14.111
08-10-2024 02:00,14.33,13.97,13.102,14.116
08-10-2024 02:15,14.334,13.979,13.118,14.119
08-10-2024 02:30,14.336,13.99,13.124,14.122
08-10-2024 02:45,14.337,13.997,13.135,14.126
08-10-2024 03:00,14.339,14.006,13.142,14.131
08-10-2024 03:15,14.342,14.014,13.151,14.135
08-10-2024 03:30,14.345,14.021,13.163,14.143
08-10-2024 03:45,14.345,14.027,13.171,14.147
08-10-2024 04:00,14.34,14.033,13.177,14.152
08-10-2024 04:15,14.334,14.039,13.184,14.156
08-10-2024 04:30,14.327,14.044,13.192,14.158
08-10-2024 04:45,14.316,14.048,13.201,14.164
08-10-2024 05:00,14.306,14.05,13.207,14.168
08-10-2024 05:15,14.294,14.053,13.215,14.171
08-10-2024 05:30,14.282,14.053,13.221,14.132
08-10-2024 05:45,14.268,14.054,13.228,14.132
08-10-2024 06:00,14.256,14.053,13.234,14.134
08-10-2024 06:15,14.243,14.051,13.24,14.135
08-10-2024 06:30,14.229,14.05,13.246,14.137
08-10-2024 06:45,14.216,14.047,13.245,14.135
08-10-2024 07:00,14.203,14.045,13.243,14.132
08-10-2024 07:15,14.189,14.041,13.246,14.132
08-10-2024 07:30,14.176,14.038,13.251,14.135
08-10-2024 07:45,14.164,14.033,13.254,14.146
08-10-2024 08:00,14.152,14.029,13.254,14.144
08-10-2024 08:15,14.14,14.024,13.249,14.138
08-10-2024 08:30,14.128,14.02,13.252,14.138
08-10-2024 08:45,14.117,14.015,13.252,14.137
08-10-2024 09:00,14.108,14.009,13.246,14.132
08-10-2024 09:15,14.099,14.005,13.249,14.131
08-10-2024 09:30,14.092,14.0,13.246,14.129
08-10-2024 09:45,14.086,13.996,13.252,14.132
08-10-2024 10:00,14.078,13.991,13.254,14.135
08-10-2024 10:15,14.072,13.987,13.254,14.137
08-10-2024 10:30,14.066,13.982,13.252,14.137
08-10-2024 10:45,14.062,13.979,13.251,14.135
08-10-2024 11:00,14.057,13.975,13.248,14.134
08-10-2024 11:15,14.054,13.972,13.246,14.128
08-10-2024 11:30,14.051,13.969,13.243,14.131
08-10-2024 11:45,14.05,13.966,13.242,14.128
08-10-2024 12:00,14.05,13.963,13.237,14.126
08-10-2024 12:15,14.053,13.961,13.24,14.123
08-10-2024 12:30,14.057,13.96,13.239,14.122
08-10-2024 12:45,14.063,13.958,13.237,14.107
08-10-2024 13:00,14.071,13.958,13.239,14.123
08-10-2024 13:15,14.078,13.958,13.24,14.134
08-10-2024 13:30,14.087,13.96,13.239,14.141
08-10-2024 13:45,14.096,13.961,13.24,14.14
08-10-2024 14:00,14.105,13.963,13.239,14.141
08-10-2024 14:15,14.117,13.966,13.239,14.143
08-10-2024 14:30,14.132,13.969,13.239,14.149
08-10-2024 14:45,14.15,13.973,13.239,14.153
08-10-2024 15:00,14.17,13.979,13.243,14.158
08-10-2024 15:15,14.189,13.985,13.245,14.159
08-10-2024 15:30,14.207,13.993,13.249,14.17
08-10-2024 15:45,14.226,14.0,13.257,14.174
08-10-2024 16:00,14.244,14.008,13.261,14.177
08-10-2024 16:15,14.261,14.017,13.264,14.177
08-10-2024 16:30,14.279,14.027,13.266,14.179
08-10-2024 16:45,14.297,14.036,13.273,14.18
08-10-2024 17:00,14.313,14.047,13.279,14.182
08-10-2024 17:15,14.328,14.056,13.285,14.186
08-10-2024 17:30,14.343,14.066,13.291,14.195
08-10-2024 17:45,14.358,14.077,13.297,14.194
08-10-2024 18:00,14.372,14.087,13.305,14.195
08-10-2024 18:15,14.385,14.098,13.314,14.198
08-10-2024 18:30,14.399,14.108,13.32,14.2
08-10-2024 18:45,14.411,14.117,13.323,14.197
08-10-2024 19:00,14.421,14.128,13.333,14.198
08-10-2024 19:15,14.433,14.137,13.341,14.198
08-10-2024 19:30,14.442,14.147,13.347,14.194
08-10-2024 19:45,14.451,14.156,13.353,14.197
08-10-2024 20:00,14.459,14.165,13.36,14.2
08-10-2024 20:15,14.466,14.174,13.368,14.203
08-10-2024 20:30,14.475,14.182,13.376,14.206
08-10-2024 20:45,14.481,14.191,13.38,14.208
08-10-2024 21:00,14.487,14.198,13.391,14.211
08-10-2024 21:15,14.492,14.206,13.398,14.216
08-10-2024 21:30,14.496,14.213,13.404,14.217
08-10-2024 21:45,14.499,14.22,13.412,14.22
08-10-2024 22:00,14.499,14.226,13.418,14.222
08-10-2024 22:15,14.496,14.232,13.424,14.225
08-10-2024 22:30,14.492,14.238,13.428,14.228
08-10-2024 22:45,14.486,14.243,13.436,14.229
08-10-2024 23:00,14.477,14.246,13.44,14.231
08-10-2024 23:15,14.465,14.249,13.446,14.234
08-10-2024 23:30,14.451,14.25,13.451,14.237
08-10-2024 23:45,14.433,14.252,13.454,14.244
09-10-2024 00:00,14.412,14.25,13.461,14.247
09-10-2024 00:15,14.39,14.249,13.466,14.25
09-10-2024 00:30,14.366,14.244,13.47,14.252
09-10-2024 00:45,14.343,14.24,13.473,14.256
09-10-2024 01:00,14.322,14.234,13.476,14.259
09-10-2024 01:15,14.303,14.226,13.478,14.262
09-10-2024 01:30,14.286,14.219,13.478,14.267
09-10-2024 01:45,14.27,14.211,13.479,14.267
09-10-2024 02:00,14.256,14.204,13.479,14.268
09-10-2024 02:15,14.243,14.197,13.476,14.27
09-10-2024 02:30,14.231,14.189,13.475,14.27
09-10-2024 02:45,14.22,14.182,13.473,14.225
09-10-2024 03:00,14.21,14.174,13.47,14.217
09-10-2024 03:15,14.2,14.167,13.469,14.214
09-10-2024 03:30,14.191,14.161,13.467,14.213
09-10-2024 03:45,14.182,14.153,13.464,14.21
09-10-2024 04:00,14.173,14.147,13.463,14.208
09-10-2024 04:15,14.164,14.141,13.455,14.207
09-10-2024 04:30,14.155,14.135,13.458,14.204
09-10-2024 04:45,14.147,14.129,13.457,14.2
09-10-2024 05:00,14.14,14.123,13.454,14.197
09-10-2024 05:15,14.132,14.117,13.452,14.195
09-10-2024 05:30,14.125,14.111,13.448,14.191
09-10-2024 05:45,14.119,14.107,13.445,14.188
09-10-2024 06:00,14.113,14.101,13.443,14.183
09-10-2024 06:15,14.107,14.096,13.44,14.18
09-10-2024 06:30,14.101,14.09,13.439,14.176
09-10-2024 06:45,14.095,14.086,13.434,14.17
09-10-2024 07:00,14.09,14.081,13.433,14.165
09-10-2024 07:15,14.086,14.077,13.43,14.161
09-10-2024 07:30,14.081,14.072,13.428,14.161
09-10-2024 07:45,14.077,14.069,13.428,14.135
09-10-2024 08:00,14.072,14.065,13.425,14.131
09-10-2024 08:15,14.069,14.06,13.424,14.123
09-10-2024 08:30,14.065,14.057,13.421,14.117
09-10-2024 08:45,14.062,14.053,13.419,14.111
09-10-2024 09:00,14.059,14.05,13.416,14.108
09-10-2024 09:15,14.056,14.047,13.415,14.105
09-10-2024 09:30,14.053,14.044,13.412,14.101
09-10-2024 09:45,14.051,14.041,13.407,14.096
09-10-2024 10:00,14.05,14.038,13.403,14.09
09-10-2024 10:15,14.05,14.035,13.4,14.083
09-10-2024 10:30,14.051,14.032,13.398,14.074
09-10-2024 10:45,14.054,14.03,13.395,14.068
09-10-2024 11:00,14.059,14.029,13.392,14.063
09-10-2024 11:15,14.065,14.027,13.382,14.063
09-10-2024 11:30,14.069,14.027,13.391,14.063
09-10-2024 11:45,14.075,14.027,13.385,14.062
09-10-2024 12:00,14.081,14.027,13.388,14.06
09-10-2024 12:15,14.089,14.029,13.389,14.053
09-10-2024 12:30,14.099,14.029,13.385,14.051
09-10-2024 12:45,14.11,14.032,13.383,13.979
09-10-2024 13:00,14.122,14.033,13.386,13.978
09-10-2024 13:15,14.135,14.038,13.385,13.973
09-10-2024 13:30,14.147,14.041,13.385,13.969
09-10-2024 13:45,14.159,14.045,13.385,13.963
09-10-2024 14:00,14.174,14.051,13.388,13.958
09-10-2024 14:15,14.189,14.056,13.388,13.955
09-10-2024 14:30,14.206,14.062,13.389,13.952
09-10-2024 14:45,14.223,14.069,13.391,13.951
09-10-2024 15:00,14.241,14.077,13.386,13.949
09-10-2024 15:15,14.259,14.084,13.392,13.945
09-10-2024 15:30,14.279,14.093,13.38,13.942
09-10-2024 15:45,14.298,14.102,13.394,13.94
09-10-2024 16:00,14.322,14.113,13.401,13.939
09-10-2024 16:15,14.346,14.122,13.403,13.939
09-10-2024 16:30,14.372,14.134,13.404,13.937
