"Titre de tracé : tHobo31"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161)","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161)","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161)","Temp., °C (LGR S/N: 10117161, SEN S/N: 10117161)"
1,07/23/15 02:00:00 PM,26.207,27.554,26.378,28.097
2,07/23/15 02:15:00 PM,28.147,27.087,26.867,29.265
3,07/23/15 02:30:00 PM,28.419,28.543,27.431,29.615
4,07/23/15 02:45:00 PM,18.390,21.223,18.319,19.555
5,07/23/15 03:00:00 PM,18.509,21.318,18.461,19.413
6,07/23/15 03:15:00 PM,18.105,20.817,17.891,19.318
7,07/23/15 03:30:00 PM,17.938,20.650,17.748,19.199
8,07/23/15 03:45:00 PM,17.867,20.460,17.677,19.056
9,07/23/15 04:00:00 PM,17.843,20.579,17.629,19.246
10,07/23/15 04:15:00 PM,17.819,20.627,17.605,19.389
11,07/23/15 04:30:00 PM,17.819,20.770,17.582,19.674
12,07/23/15 04:45:00 PM,17.796,20.984,17.558,19.722
13,07/23/15 05:00:00 PM,17.772,21.008,17.558,19.651
14,07/23/15 05:15:00 PM,17.772,21.008,17.558,19.318
15,07/23/15 05:30:00 PM,17.772,21.032,17.534,18.485
16,07/23/15 05:45:00 PM,17.772,21.056,17.534,17.653
17,07/23/15 06:00:00 PM,17.772,20.603,17.534,17.701
18,07/23/15 06:15:00 PM,17.772,20.579,17.534,17.772
19,07/23/15 06:30:00 PM,17.772,20.484,17.534,17.558
20,07/23/15 06:45:00 PM,17.772,20.293,17.510,17.463
21,07/23/15 07:00:00 PM,17.772,20.222,17.510,17.391
22,07/23/15 07:15:00 PM,17.772,19.746,17.510,17.106
23,07/23/15 07:30:00 PM,17.772,18.913,17.510,16.939
24,07/23/15 07:45:00 PM,17.748,18.580,17.510,16.773
25,07/23/15 08:00:00 PM,17.748,18.533,17.510,16.558
26,07/23/15 08:15:00 PM,17.772,18.485,17.510,16.392
27,07/23/15 08:30:00 PM,17.772,18.414,17.510,16.368
28,07/23/15 08:45:00 PM,17.772,18.414,17.510,16.249
29,07/23/15 09:00:00 PM,17.748,18.533,17.510,16.010
30,07/23/15 09:15:00 PM,17.748,18.580,17.510,15.843
31,07/23/15 09:30:00 PM,17.748,18.604,17.510,15.700
32,07/23/15 09:45:00 PM,17.748,18.604,17.510,16.058
33,07/23/15 10:00:00 PM,17.748,18.533,17.510,15.963
34,07/23/15 10:15:00 PM,17.748,18.509,17.510,15.867
35,07/23/15 10:30:00 PM,17.748,18.604,17.510,15.843
36,07/23/15 10:45:00 PM,17.748,18.699,17.486,15.796
37,07/23/15 11:00:00 PM,17.724,18.652,17.486,15.629
38,07/23/15 11:15:00 PM,17.724,18.509,17.486,15.533
39,07/23/15 11:30:00 PM,17.724,18.390,17.486,15.390
40,07/23/15 11:45:00 PM,17.701,18.295,17.486,15.318
41,07/24/15 12:00:00 AM,17.701,18.152,17.486,15.270
42,07/24/15 12:15:00 AM,17.701,18.105,17.486,16.582
43,07/24/15 12:30:00 AM,17.701,18.081,17.486,16.630
44,07/24/15 12:45:00 AM,17.677,18.010,17.463,16.654
45,07/24/15 01:00:00 AM,17.677,17.962,17.463,16.534
46,07/24/15 01:15:00 AM,17.653,17.938,17.463,18.057
47,07/24/15 01:30:00 AM,17.653,17.915,17.463,18.081
48,07/24/15 01:45:00 AM,17.629,17.891,17.463,18.152
49,07/24/15 02:00:00 AM,17.629,17.819,17.463,18.224
50,07/24/15 02:15:00 AM,17.629,17.796,17.439,18.295
51,07/24/15 02:30:00 AM,17.605,17.724,17.439,18.343
52,07/24/15 02:45:00 AM,17.605,17.296,17.439,18.366
53,07/24/15 03:00:00 AM,17.582,17.249,17.439,18.366
54,07/24/15 03:15:00 AM,17.582,17.201,17.415,16.082
55,07/24/15 03:30:00 AM,17.558,17.130,17.415,16.082
56,07/24/15 03:45:00 AM,17.558,17.106,17.415,16.058
57,07/24/15 04:00:00 AM,17.534,17.058,17.391,16.010
58,07/24/15 04:15:00 AM,17.510,17.034,17.391,16.034
59,07/24/15 04:30:00 AM,17.510,16.987,17.391,15.867
60,07/24/15 04:45:00 AM,17.486,16.939,17.368,15.867
61,07/24/15 05:00:00 AM,17.463,16.892,17.368,15.843
62,07/24/15 05:15:00 AM,17.463,16.844,17.368,15.819
63,07/24/15 05:30:00 AM,17.439,16.796,17.344,15.796
64,07/24/15 05:45:00 AM,17.415,17.011,17.344,15.772
65,07/24/15 06:00:00 AM,17.391,16.963,17.320,15.748
66,07/24/15 06:15:00 AM,17.391,16.915,17.320,15.748
67,07/24/15 06:30:00 AM,17.368,16.892,17.296,15.700
68,07/24/15 06:45:00 AM,17.344,16.844,17.296,15.700
69,07/24/15 07:00:00 AM,17.320,16.796,17.272,15.676
70,07/24/15 07:15:00 AM,17.296,16.773,17.272,15.700
71,07/24/15 07:30:00 AM,17.272,16.749,17.272,15.676
72,07/24/15 07:45:00 AM,17.272,16.725,17.249,15.676
73,07/24/15 08:00:00 AM,17.249,16.677,17.249,15.700
74,07/24/15 08:15:00 AM,17.249,16.654,17.534,15.796
