"Titre de tracé : t504"
"#","Date Heure, GMT+02:00","Temp. °C (LGR S/N: 10445474, SEN S/N: 10445474)","Temp. °C (LGR S/N: 10445474 SEN S/N: 10445474)","Temp. °C (LGR S/N: 10445474 SEN S/N: 10445474)","Temp. °C (LGR S/N: 10445474 SEN S/N: 10445474)"
1,07/23/15 02:00:00 PM,28.320,27.899,26.426,28.642
2,07/23/15 02:15:00 PM,27.333,26.720,25.404,27.087
3,07/23/15 02:30:00 PM,27.505,26.842,25.453,27.801
4,07/23/15 02:45:00 PM,27.949,27.751,26.304,27.998
5,07/23/15 03:00:00 PM,26.671,27.087,26.402,33.235
6,07/23/15 03:15:00 PM,28.221,27.186,27.431,27.998
7,07/23/15 03:30:00 PM,24.653,24.895,23.593,24.581
8,07/23/15 03:45:00 PM,21.151,21.700,21.008,22.011
9,07/23/15 04:00:00 PM,20.817,21.270,20.793,21.628
10,07/23/15 04:15:00 PM,19.627,18.604,18.224,19.746
11,07/23/15 04:30:00 PM,19.436,18.224,17.605,18.866
12,07/23/15 04:45:00 PM,19.365,18.129,17.510,18.747
13,07/23/15 05:00:00 PM,19.246,18.105,17.463,18.675
14,07/23/15 05:15:00 PM,19.199,18.081,17.415,18.628
15,07/23/15 05:30:00 PM,19.175,18.057,17.368,18.580
16,07/23/15 05:45:00 PM,19.127,18.033,17.344,18.557
17,07/23/15 06:00:00 PM,19.008,18.033,17.320,18.533
18,07/23/15 06:15:00 PM,19.008,18.010,17.320,18.509
19,07/23/15 06:30:00 PM,18.961,18.010,17.296,18.485
20,07/23/15 06:45:00 PM,18.961,18.010,17.272,18.485
21,07/23/15 07:00:00 PM,18.937,17.986,17.272,18.461
22,07/23/15 07:15:00 PM,18.913,17.986,17.272,18.438
23,07/23/15 07:30:00 PM,18.913,17.986,17.249,18.438
24,07/23/15 07:45:00 PM,18.889,17.986,17.249,18.438
25,07/23/15 08:00:00 PM,18.889,17.986,17.249,18.414
26,07/23/15 08:15:00 PM,18.866,17.986,17.249,18.414
27,07/23/15 08:30:00 PM,18.842,17.986,17.249,18.414
28,07/23/15 08:45:00 PM,18.842,17.962,17.249,18.390
29,07/23/15 09:00:00 PM,18.818,17.986,17.249,18.390
30,07/23/15 09:15:00 PM,18.794,17.962,17.249,18.390
31,07/23/15 09:30:00 PM,18.771,17.962,17.225,18.390
32,07/23/15 09:45:00 PM,18.747,17.962,17.249,18.390
33,07/23/15 10:00:00 PM,18.747,17.962,17.225,18.366
34,07/23/15 10:15:00 PM,18.723,17.962,17.225,18.390
35,07/23/15 10:30:00 PM,18.675,17.962,17.225,18.366
36,07/23/15 10:45:00 PM,18.652,17.962,17.225,18.366
37,07/23/15 11:00:00 PM,18.628,17.938,17.225,18.366
38,07/23/15 11:15:00 PM,18.628,17.938,17.225,18.366
39,07/23/15 11:30:00 PM,18.604,17.938,17.225,18.366
40,07/23/15 11:45:00 PM,18.557,17.915,17.225,18.366
41,07/24/15 12:00:00 AM,18.557,17.915,17.225,18.366
42,07/24/15 12:15:00 AM,18.533,17.915,17.225,18.366
43,07/24/15 12:30:00 AM,18.509,17.915,17.225,18.366
44,07/24/15 12:45:00 AM,18.485,17.891,17.225,18.366
45,07/24/15 01:00:00 AM,18.461,17.891,17.201,18.366
46,07/24/15 01:15:00 AM,18.414,17.867,17.201,18.366
47,07/24/15 01:30:00 AM,18.390,17.867,17.201,18.366
48,07/24/15 01:45:00 AM,18.366,17.867,17.201,18.366
49,07/24/15 02:00:00 AM,18.343,17.843,17.201,18.366
50,07/24/15 02:15:00 AM,18.295,17.843,17.177,18.366
51,07/24/15 02:30:00 AM,18.271,17.819,17.177,18.366
52,07/24/15 02:45:00 AM,18.224,17.819,17.177,18.366
53,07/24/15 03:00:00 AM,18.200,17.796,17.177,18.366
54,07/24/15 03:15:00 AM,18.176,17.796,17.177,18.343
55,07/24/15 03:30:00 AM,18.129,17.772,17.177,18.343
56,07/24/15 03:45:00 AM,18.105,17.748,17.153,18.343
57,07/24/15 04:00:00 AM,18.057,17.748,17.153,18.343
58,07/24/15 04:15:00 AM,18.010,17.724,17.153,18.343
59,07/24/15 04:30:00 AM,17.986,17.724,17.153,18.343
60,07/24/15 04:45:00 AM,17.962,17.701,17.153,18.319
61,07/24/15 05:00:00 AM,17.915,17.677,17.130,18.319
62,07/24/15 05:15:00 AM,17.891,17.677,17.130,18.319
63,07/24/15 05:30:00 AM,17.843,17.653,17.130,18.319
64,07/24/15 05:45:00 AM,17.819,17.629,17.106,18.319
65,07/24/15 06:00:00 AM,17.772,17.629,17.106,18.295
66,07/24/15 06:15:00 AM,17.748,17.605,17.106,18.319
67,07/24/15 06:30:00 AM,17.724,17.582,17.082,18.319
68,07/24/15 06:45:00 AM,17.677,17.558,17.082,18.295
69,07/24/15 07:00:00 AM,17.653,17.534,17.082,18.295
70,07/24/15 07:15:00 AM,17.629,17.510,17.082,18.295
71,07/24/15 07:30:00 AM,17.582,17.510,17.058,18.295
72,07/24/15 07:45:00 AM,17.558,17.486,17.058,18.295
73,07/24/15 08:00:00 AM,17.534,17.463,17.034,18.271
74,07/24/15 08:15:00 AM,17.510,17.439,17.034,18.271
75,07/24/15 08:30:00 AM,17.486,17.415,17.034,18.271
76,07/24/15 08:45:00 AM,17.463,17.415,17.011,18.271
77,07/24/15 09:00:00 AM,17.463,17.391,17.011,18.271
78,07/24/15 09:15:00 AM,17.439,17.368,17.011,18.271
79,07/24/15 09:30:00 AM,17.439,17.344,16.987,18.271
80,07/24/15 09:45:00 AM,17.439,17.344,16.987,18.271
