Titre de tracé : point_montberneux,,,,,,
#,"Date Heure, GMT+01:00","Tension, V (LGR S/N: 10831978, SEN S/N: 10831978, LBL: dh)","Temp., °C (LGR S/N: 10831978, SEN S/N: 10831978, LBL: T°C)",Hôte connecté (LGR S/N: 10831978),Arrêté (LGR S/N: 10831978),Fin de fichier (LGR S/N: 10831978)
1,06/27/16 12:00:00 PM,1.26787,18.342,,,
2,06/27/16 12:15:00 PM,1.0663,13.898,,,
3,06/27/16 12:30:00 PM,1.20661,13.915,,,
4,06/27/16 12:45:00 PM,1.24533,13.939,,,
5,06/27/16 01:00:00 PM,1.24437,13.967,,,
6,06/27/16 01:15:00 PM,1.24105,13.985,,,
7,06/27/16 01:30:00 PM,1.23953,14.021,,,
8,06/27/16 01:45:00 PM,1.23854,14.062,,,
9,06/27/16 02:00:00 PM,1.23789,14.095,,,
10,06/27/16 02:15:00 PM,1.23873,14.137,,,
11,06/27/16 02:30:00 PM,1.23877,14.177,,,
12,06/27/16 02:45:00 PM,1.23884,14.204,,,
13,06/27/16 03:00:00 PM,1.23812,14.259,,,
14,06/27/16 03:15:00 PM,1.23785,14.312,,,
15,06/27/16 03:30:00 PM,1.23812,14.378,,,
16,06/27/16 03:45:00 PM,1.23838,14.414,,,
17,06/27/16 04:00:00 PM,1.23789,14.489,,,
18,06/27/16 04:15:00 PM,1.23842,14.521,,,
19,06/27/16 04:30:00 PM,1.23865,14.575,,,
20,06/27/16 04:45:00 PM,1.23842,14.647,,,
21,06/27/16 05:00:00 PM,1.2393,14.717,,,
22,06/27/16 05:15:00 PM,1.23892,14.767,,,
23,06/27/16 05:30:00 PM,1.23903,14.818,,,
24,06/27/16 05:45:00 PM,1.23842,14.855,,,
25,06/27/16 06:00:00 PM,1.23854,14.88,,,
26,06/27/16 06:15:00 PM,1.23842,14.91,,,
27,06/27/16 06:30:00 PM,1.23911,14.94,,,
28,06/27/16 06:45:00 PM,1.23896,14.957,,,
29,06/27/16 07:00:00 PM,1.23938,14.978,,,
30,06/27/16 07:15:00 PM,1.23941,14.995,,,
