"Titre de tracé : p508"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445475, SEN S/N: 10445475, LBL: température)","Temp., °C (LGR S/N: 10445475, SEN S/N: 10445475, LBL: Température)","Hôte connecté (LGR S/N: 10445475)","Arrêté (LGR S/N: 10445475)","Fin de fichier (LGR S/N: 10445475)"
1,07/12/16 02:00:00 PM,1.31685,25.258,,,
2,07/12/16 02:15:00 PM,1.26007,39.318,,,
3,07/12/16 02:30:00 PM,1.31624,18.247,,,
4,07/12/16 02:45:00 PM,1.21917,18.366,,,
5,07/12/16 03:00:00 PM,1.25946,18.438,,,
6,07/12/16 03:15:00 PM,1.26313,18.271,,,
7,07/12/16 03:30:00 PM,1.26190,18.033,,,
8,07/12/16 03:45:00 PM,1.26068,17.962,,,
9,07/12/16 04:00:00 PM,1.26129,17.962,,,
10,07/12/16 04:15:00 PM,1.25946,17.986,,,
11,07/12/16 04:30:00 PM,1.25885,18.390,,,
12,07/12/16 04:45:00 PM,1.25824,18.604,,,
13,07/12/16 05:00:00 PM,1.25763,18.675,,,
14,07/12/16 05:15:00 PM,1.25763,18.699,,,
15,07/12/16 05:30:00 PM,1.25763,18.461,,,
16,07/12/16 05:45:00 PM,1.25763,18.390,,,
17,07/12/16 06:00:00 PM,1.25641,18.414,,,
18,07/12/16 06:15:00 PM,1.25641,18.485,,,
19,07/12/16 06:30:00 PM,1.25580,18.485,,,
20,07/12/16 06:45:00 PM,1.25580,18.414,,,
21,07/12/16 07:00:00 PM,1.25641,18.319,,,
22,07/12/16 07:15:00 PM,1.25641,18.200,,,
23,07/12/16 07:30:00 PM,1.25641,18.081,,,
24,07/12/16 07:45:00 PM,1.25641,17.986,,,
25,07/12/16 08:00:00 PM,1.25641,17.891,,,
26,07/12/16 08:15:00 PM,1.25641,17.843,,,
27,07/12/16 08:30:00 PM,1.25641,17.748,,,
28,07/12/16 08:45:00 PM,1.25702,17.629,,,
29,07/12/16 09:00:00 PM,1.25763,17.510,,,
30,07/12/16 09:15:00 PM,1.25641,17.368,,,
31,07/12/16 09:30:00 PM,1.25641,17.272,,,
32,07/12/16 09:45:00 PM,1.25641,17.153,,,
33,07/12/16 10:00:00 PM,1.25702,17.082,,,
34,07/12/16 10:15:00 PM,1.25641,17.011,,,
35,07/12/16 10:30:00 PM,1.25580,16.915,,,
36,07/12/16 10:45:00 PM,1.25519,16.820,,,
37,07/12/16 11:00:00 PM,1.25519,16.749,,,
38,07/12/16 11:15:00 PM,1.25702,16.654,,,
39,07/12/16 11:30:00 PM,1.25519,16.558,,,
40,07/12/16 11:45:00 PM,1.25519,16.439,,,
41,07/13/16 12:00:00 AM,1.25458,16.320,,,
42,07/13/16 12:15:00 AM,1.25580,16.225,,,
43,07/13/16 12:30:00 AM,1.25519,16.129,,,
44,07/13/16 12:45:00 AM,1.25519,16.058,,,
45,07/13/16 01:00:00 AM,1.25519,15.963,,,
46,07/13/16 01:15:00 AM,1.25458,15.891,,,
47,07/13/16 01:30:00 AM,1.25519,15.819,,,
48,07/13/16 01:45:00 AM,1.25519,15.772,,,
49,07/13/16 02:00:00 AM,1.25580,15.724,,,
50,07/13/16 02:15:00 AM,1.25458,15.652,,,
51,07/13/16 02:30:00 AM,1.25519,15.605,,,
52,07/13/16 02:45:00 AM,1.25580,15.557,,,
53,07/13/16 03:00:00 AM,1.25519,15.509,,,
54,07/13/16 03:15:00 AM,1.25458,15.461,,,
55,07/13/16 03:30:00 AM,1.25519,15.414,,,
56,07/13/16 03:45:00 AM,1.25397,15.366,,,
57,07/13/16 04:00:00 AM,1.25458,15.318,,,
58,07/13/16 04:15:00 AM,1.25458,15.247,,,
59,07/13/16 04:30:00 AM,1.25397,15.175,,,
60,07/13/16 04:45:00 AM,1.25397,15.127,,,
61,07/13/16 05:00:00 AM,1.25458,15.055,,,
62,07/13/16 05:15:00 AM,1.25397,15.008,,,
63,07/13/16 05:30:00 AM,1.25397,14.984,,,
64,07/13/16 05:45:00 AM,1.25458,14.984,,,
65,07/13/16 06:00:00 AM,1.25397,14.960,,,
66,07/13/16 06:15:00 AM,1.25397,14.936,,,
67,07/13/16 06:30:00 AM,1.25397,14.912,,,
68,07/13/16 06:45:00 AM,1.25336,14.912,,,
69,07/13/16 07:00:00 AM,1.25458,14.912,,,
70,07/13/16 07:15:00 AM,1.25336,14.936,,,
71,07/13/16 07:30:00 AM,1.25336,14.912,,,
72,07/13/16 07:45:00 AM,1.25336,14.960,,,
73,07/13/16 08:00:00 AM,1.25275,14.960,,,
74,07/13/16 08:15:00 AM,1.25275,14.960,,,
75,07/13/16 08:30:00 AM,1.26190,15.031,,,
76,07/13/16 08:45:00 AM,1.26252,15.103,,,
77,07/13/16 09:00:00 AM,1.26313,15.151,,,
78,07/13/16 09:15:00 AM,1.26374,15.247,,,
79,07/13/16 09:30:00 AM,1.26374,15.414,,,
80,07/13/16 09:45:00 AM,1.26374,15.533,,,
81,07/13/16 10:00:00 AM,1.26374,15.414,,,
82,07/13/16 10:15:00 AM,1.26374,15.724,,,
83,07/13/16 10:30:00 AM,1.26435,16.034,,,
84,07/13/16 10:45:00 AM,1.26435,16.106,,,
85,07/13/16 11:00:00 AM,1.26496,16.249,,,
