Titre de trace : point_46,,,,,,,,,,,,,,,
#,"Date Heure, GMT+01:00","Tension, V (LGR S/N: 10831978, SEN S/N: 10831978, LBL: dh)","Temp., °C (LGR S/N: 10831978, SEN S/N: 10831978, LBL: T°C)",Hôte connecté (LGR S/N: 10831978),Arrêté (LGR S/N: 10831978),Fin de fichier (LGR S/N: 10831978),,,,,,,,,
1,17/06/2019 12:00,1.280078149,14.957,,,,,,,,,,,,
2,17/06/2019 12:15,1.281610577,14.925,,,,,,,,,,,,
3,17/06/2019 12:30,1.282990957,14.874,,,,,,,,,,,,
4,17/06/2019 12:45,1.286161721,14.75,,,,,,,,,,,,
5,17/06/2019 13:00,1.289370407,14.628,,,,,,,,,,,,
6,17/06/2019 13:15,1.289359744,14.508,,,,,,,,,,,,
7,17/06/2019 13:30,1.290412054,14.352,,,,,,,,,,,,
8,17/06/2019 13:45,1.291374816,14.217,,,,,,,,,,,,
9,17/06/2019 14:00,1.289620261,14.101,,,,,,,,,,,,
10,17/06/2019 14:15,1.28843824,14.017,,,,,,,,,,,,
11,17/06/2019 14:30,1.285920397,13.951,,,,,,,,,,,,
12,17/06/2019 14:45,1.285497471,13.895,,,,,,,,,,,,
13,17/06/2019 15:00,1.285194699,13.85,,,,,,,,,,,,
14,17/06/2019 15:15,1.283812412,13.795,,,,,,,,,,,,
15,17/06/2019 15:30,1.28335289,13.73,,,,,,,,,,,,
16,17/06/2019 15:45,1.282448777,13.676,,,,,,,,,,,,
17,17/06/2019 16:00,1.280702406,13.62,,,,,,,,,,,,
18,17/06/2019 16:15,1.281150582,13.56,,,,,,,,,,,,
19,17/06/2019 16:30,1.279848803,13.493,,,,,,,,,,,,
20,17/06/2019 16:45,1.279037252,13.415,,,,,,,,,,,,
21,17/06/2019 17:00,1.276820061,13.345,,,,,,,,,,,,
22,17/06/2019 17:15,1.273255603,13.276,,,,,,,,,,,,
23,17/06/2019 17:30,1.273321901,13.21,,,,,,,,,,,,
24,17/06/2019 17:45,1.27226172,13.141,,,,,,,,,,,,
25,17/06/2019 18:00,1.271435424,13.072,,,,,,,,,,,,
26,17/06/2019 18:15,1.271832868,12.983,,,,,,,,,,,,
27,17/06/2019 18:30,1.27114782,12.904,,,,,,,,,,,,
28,17/06/2019 18:45,1.272418091,12.832,,,,,,,,,,,,
29,17/06/2019 19:00,1.272286417,12.77,,,,,,,,,,,,
30,17/06/2019 19:15,1.273991953,12.719,,,,,,,,,,,,
31,17/06/2019 19:30,1.273275766,12.671,,,,,,,,,,,,
32,17/06/2019 19:45,1.274087381,12.624,,,,,,,,,,,,
33,17/06/2019 20:00,1.275021482,12.58,,,,,,,,,,,,
34,17/06/2019 20:15,1.273890552,12.536,,,,,,,,,,,,
35,17/06/2019 20:30,1.27745913,12.493,,,,,,,,,,,,
36,17/06/2019 20:45,1.276592616,12.447,,,,,,,,,,,,
37,17/06/2019 21:00,1.277442154,12.402,,,,,,,,,,,,
38,17/06/2019 21:15,1.277734697,12.372,,,,,,,,,,,,
39,17/06/2019 21:30,1.279318788,12.334,,,,,,,,,,,,
40,17/06/2019 21:45,1.277920429,12.295,,,,,,,,,,,,
