Titre de tracé : point_46,,,,,,,,,,,,,
#,"Date Heure, GMT+01:00","Tension, V (LGR S/N: 10831978, SEN S/N: 10831978, LBL: dh)","Temp., °C (LGR S/N: 10831978, SEN S/N: 10831978, LBL: T°C)",Hôte connecté (LGR S/N: 10831978),Arrêté (LGR S/N: 10831978),Fin de fichier (LGR S/N: 10831978),,,,,,,
1,27/08/2019 14:00,1.1758897,25.154,,,,,,,,,,
2,27/08/2019 14:15,1.173473137,25.122,,,,,,,,,,
3,27/08/2019 14:30,1.171214633,25.071,,,,,,,,,,
4,27/08/2019 14:45,1.166001548,24.947,,,,,,,,,,
5,27/08/2019 15:00,1.160738947,24.825,,,,,,,,,,
6,27/08/2019 15:15,1.160312742,24.705,,,,,,,,,,
7,27/08/2019 15:30,1.158159417,24.549,,,,,,,,,,
8,27/08/2019 15:45,1.1562178,24.414,,,,,,,,,,
9,27/08/2019 16:00,1.158422172,24.298,,,,,,,,,,
10,27/08/2019 16:15,1.159885663,24.214,,,,,,,,,,
11,27/08/2019 16:30,1.163419218,24.148,,,,,,,,,,
12,27/08/2019 16:45,1.163847247,24.092,,,,,,,,,,
13,27/08/2019 17:00,1.164135579,24.047,,,,,,,,,,
14,27/08/2019 17:15,1.166006335,23.992,,,,,,,,,,
15,27/08/2019 17:30,1.166456093,23.927,,,,,,,,,,
16,27/08/2019 17:45,1.167613272,23.873,,,,,,,,,,
17,27/08/2019 18:00,1.17002647,23.817,,,,,,,,,,
18,27/08/2019 18:15,1.169133105,23.757,,,,,,,,,,
19,27/08/2019 18:30,1.170838877,23.69,,,,,,,,,,
20,27/08/2019 18:45,1.171768775,23.612,,,,,,,,,,
21,27/08/2019 19:00,1.174836611,23.542,,,,,,,,,,
22,27/08/2019 19:15,1.179929032,23.473,,,,,,,,,,
23,27/08/2019 19:30,1.179586378,23.407,,,,,,,,,,
24,27/08/2019 19:45,1.180922384,23.338,,,,,,,,,,
25,27/08/2019 20:00,1.181907562,23.269,,,,,,,,,,
