"Titre de tracé : t529"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10848911, SEN S/N: 10848911, LBL: Temperature1)","Temp., °C (LGR S/N: 10848911, SEN S/N: 10848911, LBL: Temperature2)","Temp., °C (LGR S/N: 10848911, SEN S/N: 10848911, LBL: Temperature3)","Temp., °C (LGR S/N: 10848911, SEN S/N: 10848911, LBL: Temperature4)","Bouton Bas (LGR S/N: 10848911)","Bouton Haut (LGR S/N: 10848911)","Hôte connecté (LGR S/N: 10848911)","Arrêté (LGR S/N: 10848911)","Fin de fichier (LGR S/N: 10848911)"
1,10/13/23 01:45:00 PM,236.147,242.483,230.143,172.614,,,,,
2,10/13/23 01:50:39 PM,,,,,Enregistré,,,,
3,10/13/23 01:50:40 PM,,,,,,Enregistré,,,
4,10/13/23 01:50:42 PM,,,,,Enregistré,,,,
5,10/13/23 01:50:44 PM,,,,,,Enregistré,,,
6,10/13/23 01:50:46 PM,,,,,Enregistré,,,,
7,10/13/23 01:50:47 PM,,,,,,Enregistré,,,
8,10/13/23 01:50:51 PM,,,,,Enregistré,,,,
9,10/13/23 01:50:52 PM,,,,,,Enregistré,,,
10,10/13/23 01:50:53 PM,,,,,Enregistré,,,,
11,10/13/23 01:50:54 PM,,,,,,Enregistré,,,
12,10/13/23 01:50:55 PM,,,,,Enregistré,,,,
13,10/13/23 01:50:56 PM,,,,,,Enregistré,,,
14,10/13/23 02:00:00 PM,196.731,204.330,191.093,168.797,,,,,
15,10/13/23 02:14:08 PM,,,,,Enregistré,,,,
16,10/13/23 02:14:10 PM,,,,,,Enregistré,,,
17,10/13/23 02:14:24 PM,,,,,Enregistré,,,,
18,10/13/23 02:14:25 PM,,,,,,Enregistré,,,
19,10/13/23 02:15:00 PM,15.727,14.628,14.301,14.197,,,,,
20,10/13/23 02:30:00 PM,15.813,14.640,14.304,14.195,,,,,
21,10/13/23 02:45:00 PM,15.892,14.664,14.313,14.197,,,,,
22,10/13/23 03:00:00 PM,15.894,14.689,14.322,14.200,,,,,
23,10/13/23 03:15:00 PM,15.964,14.711,14.333,14.203,,,,,
24,10/13/23 03:30:00 PM,15.988,14.735,14.345,14.207,,,,,
25,10/13/23 03:45:00 PM,15.998,14.759,14.358,14.213,,,,,
26,10/13/23 04:00:00 PM,16.032,14.783,14.372,14.219,,,,,
27,10/13/23 04:15:00 PM,16.067,14.807,14.385,14.226,,,,,
28,10/13/23 04:30:00 PM,16.079,14.831,14.400,14.234,,,,,
29,10/13/23 04:45:00 PM,16.110,14.853,14.415,14.241,,,,,
30,10/13/23 05:00:00 PM,16.128,14.876,14.430,14.250,,,,,
31,10/13/23 05:15:00 PM,16.140,14.898,14.447,14.259,,,,,
32,10/13/23 05:30:00 PM,16.137,14.921,14.462,14.268,,,,,
33,10/13/23 05:45:00 PM,16.131,14.940,14.478,14.279,,,,,
34,10/13/23 06:00:00 PM,16.143,14.961,14.493,14.288,,,,,
35,10/13/23 06:15:00 PM,16.122,14.981,14.509,14.298,,,,,
36,10/13/23 06:30:00 PM,16.116,14.998,14.524,14.309,,,,,
37,10/13/23 06:45:00 PM,16.119,15.015,14.539,14.319,,,,,
38,10/13/23 07:00:00 PM,16.126,15.031,14.556,14.331,,,,,
39,10/13/23 07:15:00 PM,16.125,15.048,14.571,14.342,,,,,
40,10/13/23 07:30:00 PM,16.119,15.063,14.586,14.352,,,,,
41,10/13/23 07:45:00 PM,16.123,15.076,14.599,14.363,,,,,
42,10/13/23 08:00:00 PM,16.132,15.090,14.614,14.375,,,,,
43,10/13/23 08:15:00 PM,16.134,15.103,14.628,14.385,,,,,
44,10/13/23 08:30:00 PM,16.099,15.116,14.641,14.396,,,,,
45,10/13/23 08:45:00 PM,16.086,15.128,14.655,14.408,,,,,
46,10/13/23 09:00:00 PM,16.102,15.139,14.668,14.418,,,,,
47,10/13/23 09:15:00 PM,16.095,15.151,14.680,14.429,,,,,
48,10/13/23 09:30:00 PM,16.082,15.161,14.692,14.439,,,,,
49,10/13/23 09:45:00 PM,16.079,15.172,14.705,14.450,,,,,
50,10/13/23 10:00:00 PM,16.058,15.182,14.716,14.460,,,,,
51,10/13/23 10:15:00 PM,16.053,15.191,14.728,14.471,,,,,
52,10/13/23 10:30:00 PM,16.041,15.199,14.740,14.481,,,,,
53,10/13/23 10:45:00 PM,16.029,15.208,14.750,14.492,,,,,
54,10/13/23 11:00:00 PM,16.019,15.215,14.761,14.501,,,,,
55,10/13/23 11:15:00 PM,16.010,15.221,14.771,14.511,,,,,
56,10/13/23 11:30:00 PM,15.994,15.228,14.782,14.521,,,,,
