"Titre de tracé : p053"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 21065769, SEN S/N: 21065769, LBL: tension)","Temp., °C (LGR S/N: 21065769, SEN S/N: 21065769, LBL: temperature)","Hôte connecté (LGR S/N: 21065769)","Arrêté (LGR S/N: 21065769)","Fin de fichier (LGR S/N: 21065769)"
1,10/13/23 12:45:00 PM,1.55264,24.459,,,
2,10/13/23 01:00:00 PM,1.64973,15.602,,,
3,10/13/23 01:15:00 PM,1.64954,15.675,,,
4,10/13/23 01:30:00 PM,1.66194,15.748,,,
5,10/13/23 01:45:00 PM,1.66579,15.837,,,
6,10/13/23 02:00:00 PM,1.64473,15.897,,,
7,10/13/23 02:15:00 PM,1.66178,15.922,,,
8,10/13/23 02:30:00 PM,1.66300,15.982,,,
9,10/13/23 02:45:00 PM,1.65843,16.026,,,
10,10/13/23 03:00:00 PM,1.65572,16.055,,,
11,10/13/23 03:15:00 PM,1.65061,16.134,,,
12,10/13/23 03:30:00 PM,1.65042,16.149,,,
13,10/13/23 03:45:00 PM,1.65156,16.172,,,
14,10/13/23 04:00:00 PM,1.64820,16.187,,,
15,10/13/23 04:15:00 PM,1.64904,16.204,,,
16,10/13/23 04:30:00 PM,1.64649,16.220,,,
17,10/13/23 04:45:00 PM,1.64771,16.244,,,
18,10/13/23 05:00:00 PM,1.64652,16.266,,,
19,10/13/23 05:15:00 PM,1.64485,16.274,,,
20,10/13/23 05:30:00 PM,1.64420,16.277,,,
21,10/13/23 05:45:00 PM,1.64164,16.277,,,
22,10/13/23 06:00:00 PM,1.64065,16.272,,,
23,10/13/23 06:15:00 PM,1.63836,16.268,,,
24,10/13/23 06:30:00 PM,1.64084,16.262,,,
25,10/13/23 06:45:00 PM,1.64069,16.260,,,
26,10/13/23 07:00:00 PM,1.63790,16.263,,,
27,10/13/23 07:15:00 PM,1.63691,16.266,,,
28,10/13/23 07:30:00 PM,1.63508,16.269,,,
29,10/13/23 07:45:00 PM,1.63294,16.272,,,
30,10/13/23 08:00:00 PM,1.63146,16.277,,,
31,10/13/23 08:15:00 PM,1.62867,16.281,,,
32,10/13/23 08:30:00 PM,1.62711,16.283,,,
33,10/13/23 08:45:00 PM,1.62711,16.283,,,
34,10/13/23 09:00:00 PM,1.62799,16.274,,,
35,10/13/23 09:15:00 PM,1.62730,16.257,,,
36,10/13/23 09:30:00 PM,1.62642,16.247,,,
37,10/13/23 09:45:00 PM,1.62470,16.235,,,
38,10/13/23 10:00:00 PM,1.62417,16.217,,,
39,10/13/23 10:15:00 PM,1.62524,16.214,,,
40,10/13/23 10:30:00 PM,1.62421,16.204,,,
41,10/13/23 10:45:00 PM,1.62470,16.193,,,
42,10/13/23 11:00:00 PM,1.62383,16.183,,,
43,10/13/23 11:15:00 PM,1.62310,16.171,,,
44,10/13/23 11:30:00 PM,1.62306,16.153,,,
45,10/13/23 11:45:00 PM,1.62230,16.143,,,
46,10/14/23 12:00:00 AM,1.62322,16.131,,,
47,10/14/23 12:15:00 AM,1.62333,16.119,,,
48,10/14/23 12:30:00 AM,1.61589,16.107,,,
49,10/14/23 12:45:00 AM,1.62119,16.093,,,
50,10/14/23 01:00:00 AM,1.62238,16.070,,,
51,10/14/23 01:15:00 AM,1.62173,16.064,,,
52,10/14/23 01:30:00 AM,1.62261,16.056,,,
53,10/14/23 01:45:00 AM,1.62249,16.046,,,
54,10/14/23 02:00:00 AM,1.62200,16.032,,,
55,10/14/23 02:15:00 AM,1.62215,16.026,,,
56,10/14/23 02:30:00 AM,1.62352,16.018,,,
57,10/14/23 02:45:00 AM,1.62303,16.007,,,
58,10/14/23 03:00:00 AM,1.62200,15.992,,,
59,10/14/23 03:15:00 AM,1.62238,15.973,,,
60,10/14/23 03:30:00 AM,1.62207,15.944,,,
61,10/14/23 03:45:00 AM,1.62268,15.906,,,
62,10/14/23 04:00:00 AM,1.62303,15.843,,,
63,10/14/23 04:15:00 AM,1.62299,15.782,,,
64,10/14/23 04:30:00 AM,1.62242,15.697,,,
65,10/14/23 04:45:00 AM,1.62341,15.621,,,
66,10/14/23 05:00:00 AM,1.62364,15.552,,,
67,10/14/23 05:15:00 AM,1.62444,15.496,,,
68,10/14/23 05:30:00 AM,1.62432,15.437,,,
69,10/14/23 05:45:00 AM,1.62459,15.388,,,
70,10/14/23 06:00:00 AM,1.62535,15.337,,,
71,10/14/23 06:15:00 AM,1.62463,15.288,,,
72,10/14/23 06:30:00 AM,1.62501,15.223,,,
73,10/14/23 06:45:00 AM,1.62470,15.149,,,
74,10/14/23 07:00:00 AM,1.62631,15.078,,,
75,10/14/23 07:15:00 AM,1.62684,15.007,,,
76,10/14/23 07:30:00 AM,1.62730,14.954,,,
77,10/14/23 07:45:00 AM,1.62730,14.933,,,
78,10/14/23 08:00:00 AM,1.62684,14.904,,,
79,10/14/23 08:15:00 AM,1.62749,14.873,,,
80,10/14/23 08:30:00 AM,1.62810,14.795,,,
81,10/14/23 08:45:00 AM,1.62867,14.809,,,
82,10/14/23 09:00:00 AM,1.62894,14.824,,,
83,10/14/23 09:15:00 AM,1.62879,14.849,,,
84,10/14/23 09:30:00 AM,1.62814,14.865,,,
85,10/14/23 09:45:00 AM,1.62818,14.894,,,
86,10/14/23 10:00:00 AM,1.62833,14.901,,,
87,10/14/23 10:15:00 AM,1.62852,14.886,,,
88,10/14/23 10:30:00 AM,1.62905,14.891,,,
89,10/14/23 10:45:00 AM,1.62898,14.861,,,
90,10/14/23 11:00:00 AM,1.62970,14.840,,,
91,10/14/23 11:15:00 AM,1.63066,14.867,,,
92,10/14/23 11:30:00 AM,1.63107,14.816,,,
93,10/14/23 11:45:00 AM,1.63012,14.836,,,
94,10/14/23 12:00:00 PM,1.63107,14.776,,,
95,10/14/23 12:15:00 PM,1.63001,14.699,,,
96,10/14/23 12:30:00 PM,1.63046,14.705,,,
97,10/14/23 12:45:00 PM,1.63039,14.673,,,
98,10/14/23 01:00:00 PM,1.63016,14.671,,,
99,10/14/23 01:15:00 PM,1.63088,14.667,,,
100,10/14/23 01:30:00 PM,1.63088,14.656,,,
101,10/14/23 01:45:00 PM,1.62943,14.650,,,
102,10/14/23 02:00:00 PM,1.62882,14.628,,,
103,10/14/23 02:15:00 PM,1.63107,14.613,,,
104,10/14/23 02:30:00 PM,1.63146,14.595,,,
105,10/14/23 02:45:00 PM,1.63001,14.596,,,
106,10/14/23 03:00:00 PM,1.62985,14.571,,,
107,10/14/23 03:15:00 PM,1.63062,14.580,,,
108,10/14/23 03:30:00 PM,1.63146,14.566,,,
109,10/14/23 03:45:00 PM,1.63230,14.532,,,
110,10/14/23 04:00:00 PM,1.63317,14.505,,,
111,10/14/23 04:15:00 PM,1.63336,14.475,,,
112,10/14/23 04:30:00 PM,1.63188,14.423,,,
113,10/14/23 04:45:00 PM,1.63180,14.378,,,
114,10/14/23 05:00:00 PM,1.63069,14.333,,,
115,10/14/23 05:15:00 PM,1.63031,14.301,,,
116,10/14/23 05:30:00 PM,1.63115,14.259,,,
117,10/14/23 05:45:00 PM,1.63031,14.226,,,
118,10/14/23 06:00:00 PM,1.63130,14.200,,,
119,10/14/23 06:15:00 PM,1.63256,14.168,,,
120,10/14/23 06:30:00 PM,1.63291,14.119,,,
121,10/14/23 06:45:00 PM,1.63340,14.081,,,
122,10/14/23 07:00:00 PM,1.63264,14.057,,,
123,10/14/23 07:15:00 PM,1.63390,14.023,,,
124,10/14/23 07:30:00 PM,1.63283,13.994,,,
125,10/14/23 07:45:00 PM,1.63375,13.966,,,
126,10/14/23 08:00:00 PM,1.63329,13.937,,,
127,10/14/23 08:15:00 PM,1.63432,13.900,,,
128,10/14/23 08:30:00 PM,1.63375,13.874,,,
129,10/14/23 08:45:00 PM,1.63348,13.837,,,
130,10/14/23 09:00:00 PM,1.63355,13.805,,,
131,10/14/23 09:15:00 PM,1.63367,13.769,,,
132,10/14/23 09:30:00 PM,1.63439,13.724,,,
133,10/14/23 09:45:00 PM,1.63470,13.693,,,
134,10/14/23 10:00:00 PM,1.63478,13.661,,,
135,10/14/23 10:15:00 PM,1.63455,13.625,,,
136,10/14/23 10:30:00 PM,1.63474,13.592,,,
137,10/14/23 10:45:00 PM,1.63455,13.556,,,
138,10/14/23 11:00:00 PM,1.63436,13.524,,,
139,10/14/23 11:15:00 PM,1.63478,13.482,,,
140,10/14/23 11:30:00 PM,1.63527,13.425,,,
141,10/14/23 11:45:00 PM,1.63428,13.374,,,
142,10/15/23 12:00:00 AM,1.63668,13.317,,,
143,10/15/23 12:15:00 AM,1.63722,13.258,,,
144,10/15/23 12:30:00 AM,1.63684,13.200,,,
145,10/15/23 12:45:00 AM,1.63630,13.147,,,
