Jour;Temperature mini;Temperature maxi;Temperature moy.;Precipitations;Ensoleillement;
	Dimanche 01;12.8;27.4;20.0;0.0;9h12
Lundi 02;14.5;28.6;21.5;0.0;10h18
Mardi 03;16.7;20.4;18.5;1.0;4h48
Mercredi 04;10.6;18.3;14.0;0.0;6h54
Jeudi 05;11.6;20.1;15.5;0.0;5h18
Vendredi 06;9.5;22.0;15.5;0.0;10h06
Samedi 07;10.8;24.1;17.0;0.0;10h30
Dimanche 08;12.7;27.3;20.0;0.2;10h24
Lundi 09;14.0;26.6;20.0;0.0;9h00
Mardi 10;12.4;28.0;20.0;0.0;7h48
Mercredi 11;12.8;25.7;19.0;0.0;9h42
Jeudi 12;16.5;22.6;19.5;3.9;1h06
Vendredi 13;17.3;25.6;21.0;2.0;2h30
Samedi 14;12.0;15.0;13.5;0.1;3h24
Dimanche 15;8.9;13.6;11.0;0.0;7h06
Lundi 16;5.6;13.9;9.5;0.0;6h24
Mardi 17;5.9;16.7;11.0;0.4;6h48
Mercredi 18;11.2;18.6;14.5;5.6;1h06
Jeudi 19;15.3;22.6;18.5;7.1;3h18
Vendredi 20;13.8;18.5;16.0;4.2;2h30
Samedi 21;12.2;15.9;14.0;4.8;0h48
Dimanche 22;11.8;16.6;14.0;0.2;3h06
Lundi 23;8.5;12.1;10.0;7.7;0h00
Mardi 24;11.1;16.8;13.5;5.4;6h18
Mercredi 25;11.4;15.3;13.0;5.6;1h18
Jeudi 26;10.4;15.4;12.5;19.4;0h12
Vendredi 27;10.9;15.4;13.0;1.8;2h48
Samedi 28;10.2;14.7;12.0;9.0;0h00
Dimanche 29;11.5;16.9;14.0;3.2;3h42
Lundi 30;10.0;13.6;11.5;7.5;0h18
Mardi 31;8.4;15.7;12.0;0.2;1h48
