dates,Temp_profondeur_10,Temp_profondeur_20,Temp_profondeur_30,Temp_profondeur_40
15-10-2023 11:15,12.251,13.102,13.617,14.018
15-10-2023 11:30,12.251,13.094,13.601,14.005
15-10-2023 11:45,12.263,13.087,13.586,13.99
15-10-2023 12:00,12.252,13.079,13.571,13.976
15-10-2023 12:15,12.245,13.072,13.557,13.963
15-10-2023 12:30,12.239,13.066,13.544,13.949
15-10-2023 12:45,12.23,13.058,13.532,13.936
15-10-2023 13:00,12.221,13.049,13.52,13.922
15-10-2023 13:15,12.228,13.041,13.508,13.91
15-10-2023 13:30,12.233,13.032,13.497,13.898
15-10-2023 13:45,12.246,13.023,13.485,13.886
15-10-2023 14:00,12.272,13.016,13.475,13.874
15-10-2023 14:15,12.292,13.008,13.464,13.864
15-10-2023 14:30,12.31,13.002,13.454,13.852
15-10-2023 14:45,12.331,12.996,13.443,13.841
15-10-2023 15:00,12.351,12.993,13.433,13.831
15-10-2023 15:15,12.37,12.99,13.424,13.82
15-10-2023 15:30,12.391,12.987,13.415,13.81
15-10-2023 15:45,12.406,12.986,13.406,13.799
15-10-2023 16:00,12.423,12.984,13.398,13.79
15-10-2023 16:15,12.425,12.984,13.391,13.781
15-10-2023 16:30,12.429,12.984,13.383,13.771
15-10-2023 16:45,12.426,12.984,13.377,13.762
15-10-2023 17:00,12.417,12.983,13.371,13.754
15-10-2023 17:15,12.397,12.981,13.365,13.745
15-10-2023 17:30,12.373,12.98,13.359,13.736
15-10-2023 17:45,12.338,12.977,13.353,13.729
15-10-2023 18:00,12.298,12.972,13.348,13.721
15-10-2023 18:15,12.249,12.966,13.342,13.714
15-10-2023 18:30,12.201,12.959,13.336,13.706
15-10-2023 18:45,12.155,12.95,13.33,13.699
15-10-2023 19:00,12.112,12.938,13.324,13.693
15-10-2023 19:15,12.074,12.925,13.318,13.685
15-10-2023 19:30,12.036,12.91,13.311,13.678
15-10-2023 19:45,11.981,12.895,13.302,13.672
15-10-2023 20:00,11.928,12.879,13.294,13.664
15-10-2023 20:15,11.875,12.861,13.285,13.657
15-10-2023 20:30,11.822,12.843,13.275,13.649
15-10-2023 20:45,11.772,12.821,13.264,13.642
15-10-2023 21:00,11.721,12.802,13.254,13.634
15-10-2023 21:15,11.678,12.779,13.242,13.626
15-10-2023 21:30,11.617,12.757,13.23,13.617
15-10-2023 21:45,11.567,12.734,13.218,13.608
15-10-2023 22:00,11.513,12.71,13.204,13.601
15-10-2023 22:15,11.447,12.684,13.191,13.592
15-10-2023 22:30,11.385,12.659,13.175,13.581
15-10-2023 22:45,11.321,12.633,13.16,13.572
15-10-2023 23:00,11.253,12.604,13.145,13.562
15-10-2023 23:15,11.198,12.576,13.129,13.553
15-10-2023 23:30,11.128,12.547,13.112,13.542
15-10-2023 23:45,11.088,12.517,13.096,13.53
16-10-2023 00:00,11.027,12.487,13.078,13.52
16-10-2023 00:15,10.959,12.456,13.06,13.508
16-10-2023 00:30,10.904,12.425,13.04,13.496
16-10-2023 00:45,10.858,12.393,13.02,13.484
16-10-2023 01:00,10.788,12.361,13.001,13.472
16-10-2023 01:15,10.731,12.329,12.981,13.46
16-10-2023 01:30,10.675,12.296,12.96,13.446
16-10-2023 01:45,10.621,12.263,12.939,13.433
16-10-2023 02:00,10.579,12.23,12.918,13.419
16-10-2023 02:15,10.531,12.196,12.895,13.404
16-10-2023 02:30,10.476,12.162,12.874,13.391
16-10-2023 02:45,10.424,12.128,12.852,13.376
16-10-2023 03:00,10.368,12.093,12.829,13.36
16-10-2023 03:15,10.311,12.059,12.805,13.345
16-10-2023 03:30,10.217,12.022,12.782,13.329
16-10-2023 03:45,10.196,11.987,12.758,13.314
16-10-2023 04:00,10.164,11.953,12.734,13.297
16-10-2023 04:15,10.116,11.918,12.71,13.281
16-10-2023 04:30,10.058,11.881,12.684,13.264
16-10-2023 04:45,10.006,11.847,12.66,13.248
16-10-2023 05:00,9.967,11.812,12.634,13.23
16-10-2023 05:15,9.891,11.777,12.61,13.213
16-10-2023 05:30,9.831,11.74,12.585,13.195
16-10-2023 05:45,9.752,11.705,12.559,13.177
16-10-2023 06:00,9.694,11.669,12.533,13.159
16-10-2023 06:15,9.666,11.633,12.506,13.141
16-10-2023 06:30,9.617,11.596,12.48,13.123
16-10-2023 06:45,9.566,11.56,12.455,13.105
16-10-2023 07:00,9.537,11.525,12.428,13.085
16-10-2023 07:15,9.486,11.488,12.402,13.066
16-10-2023 07:30,9.472,11.453,12.375,13.048
16-10-2023 07:45,9.43,11.42,12.348,13.028
16-10-2023 08:00,9.409,11.385,12.32,13.008
16-10-2023 08:15,9.373,11.352,12.295,12.989
16-10-2023 08:30,9.376,11.318,12.267,12.968
16-10-2023 08:45,9.376,11.286,12.24,12.948
16-10-2023 09:00,9.381,11.256,12.213,12.929
16-10-2023 09:15,9.392,11.225,12.187,12.907
16-10-2023 09:30,9.401,11.196,12.16,12.888
16-10-2023 09:45,9.416,11.171,12.134,12.867
16-10-2023 10:00,9.423,11.145,12.109,12.847
16-10-2023 10:15,9.435,11.122,12.083,12.826
16-10-2023 10:30,9.444,11.1,12.059,12.806
16-10-2023 10:45,9.447,11.079,12.034,12.785
16-10-2023 11:00,9.466,11.061,12.012,12.766
16-10-2023 11:15,9.492,11.043,11.987,12.745
16-10-2023 11:30,9.506,11.027,11.966,12.725
