dates,Temp_profondeur_10,Temp_profondeur_20,Temp_profondeur_30,Temp_profondeur_40
12-07-2016 13:45,15.151,14.05,14.122,14.17
12-07-2016 14:00,15.151,14.026,14.074,14.122
12-07-2016 14:15,15.199,14.002,14.05,14.098
12-07-2016 14:30,15.223,14.002,14.026,14.074
12-07-2016 14:45,15.27,14.002,14.002,14.074
12-07-2016 15:00,15.318,13.978,13.978,14.05
12-07-2016 15:15,15.318,13.978,13.954,14.026
12-07-2016 15:30,15.366,13.978,13.93,14.002
12-07-2016 15:45,15.485,14.098,13.906,14.002
12-07-2016 16:00,15.557,14.337,13.906,14.026
12-07-2016 16:15,15.581,14.337,13.882,14.242
12-07-2016 16:30,15.605,14.337,13.882,14.242
12-07-2016 16:45,15.605,14.337,13.858,14.242
12-07-2016 17:00,15.605,14.314,13.858,14.242
12-07-2016 17:15,15.605,14.314,13.834,14.194
12-07-2016 17:30,15.581,14.314,13.834,14.194
12-07-2016 17:45,15.605,14.314,13.834,14.194
12-07-2016 18:00,15.652,14.314,13.81,14.194
12-07-2016 18:15,15.676,14.314,13.81,14.17
12-07-2016 18:30,15.7,14.337,13.81,14.17
12-07-2016 18:45,15.7,14.337,13.786,14.17
12-07-2016 19:00,15.676,14.361,13.786,14.17
12-07-2016 19:15,15.652,14.361,13.786,14.146
12-07-2016 19:30,15.629,14.337,13.762,14.146
12-07-2016 19:45,15.629,14.337,13.762,14.146
12-07-2016 20:00,15.581,14.337,13.762,14.146
12-07-2016 20:15,15.557,14.337,13.762,14.146
12-07-2016 20:30,15.533,14.385,13.762,14.122
12-07-2016 20:45,15.509,14.409,13.762,14.122
12-07-2016 21:00,15.461,14.433,13.762,14.098
12-07-2016 21:15,15.438,14.409,13.738,14.05
12-07-2016 21:30,15.39,14.385,13.738,14.026
12-07-2016 21:45,15.39,14.385,13.738,14.026
12-07-2016 22:00,15.342,14.385,13.738,14.026
12-07-2016 22:15,15.342,14.361,13.738,14.026
12-07-2016 22:30,15.318,14.361,13.738,14.026
12-07-2016 22:45,15.27,14.361,13.738,14.026
12-07-2016 23:00,15.247,14.361,13.738,14.05
12-07-2016 23:15,15.223,14.337,13.738,14.05
12-07-2016 23:30,15.175,14.337,13.738,14.026
12-07-2016 23:45,15.127,14.314,13.738,14.002
13-07-2016 00:00,15.103,14.314,13.738,14.002
13-07-2016 00:15,15.055,14.29,13.738,14.002
13-07-2016 00:30,15.031,14.29,13.738,14.002
13-07-2016 00:45,15.008,14.266,13.738,14.002
13-07-2016 01:00,14.96,14.242,13.738,13.978
13-07-2016 01:15,14.936,14.242,13.714,13.978
13-07-2016 01:30,14.912,14.218,13.738,13.954
13-07-2016 01:45,14.888,14.218,13.714,13.954
13-07-2016 02:00,14.84,14.194,13.714,13.954
13-07-2016 02:15,14.816,14.17,13.714,13.954
13-07-2016 02:30,14.768,14.17,13.714,13.954
13-07-2016 02:45,14.745,14.146,13.714,13.93
13-07-2016 03:00,14.721,14.146,13.714,13.954
13-07-2016 03:15,14.697,14.146,13.714,13.93
13-07-2016 03:30,14.673,14.122,13.714,13.954
13-07-2016 03:45,14.649,14.146,13.714,13.93
13-07-2016 04:00,14.625,14.122,13.714,13.93
13-07-2016 04:15,14.601,14.098,13.714,13.954
13-07-2016 04:30,14.601,14.098,13.714,13.954
13-07-2016 04:45,14.577,14.074,13.714,13.954
13-07-2016 05:00,14.553,14.074,13.69,13.93
13-07-2016 05:15,14.529,14.05,13.69,13.954
13-07-2016 05:30,14.529,14.026,13.69,13.93
13-07-2016 05:45,14.505,14.026,13.69,13.93
13-07-2016 06:00,14.481,14.002,13.69,13.93
