dates,Temp_profondeur_10,Temp_profondeur_20,Temp_profondeur_30
12-07-2016 15:00,16.749,16.272,16.058
12-07-2016 15:15,16.773,16.272,16.034
12-07-2016 15:30,16.82,16.296,16.034
12-07-2016 15:45,16.82,16.296,16.034
12-07-2016 16:00,16.868,16.32,16.01
12-07-2016 16:15,16.868,16.344,16.01
12-07-2016 16:30,16.868,16.344,16.034
12-07-2016 16:45,16.892,16.368,16.01
12-07-2016 17:00,16.915,16.368,16.01
12-07-2016 17:15,16.939,16.368,16.01
12-07-2016 17:30,16.987,16.392,16.01
12-07-2016 17:45,17.011,16.415,16.01
12-07-2016 18:00,17.034,16.415,16.01
12-07-2016 18:15,17.058,16.439,16.034
12-07-2016 18:30,17.082,16.439,16.01
12-07-2016 18:45,17.106,16.463,16.034
12-07-2016 19:00,17.106,16.487,16.034
12-07-2016 19:15,17.13,16.487,16.034
12-07-2016 19:30,17.153,16.511,16.034
12-07-2016 19:45,17.153,16.511,16.034
12-07-2016 20:00,17.153,16.534,16.058
12-07-2016 20:15,17.153,16.534,16.058
12-07-2016 20:30,17.153,16.558,16.058
12-07-2016 20:45,17.153,16.558,16.058
12-07-2016 21:00,17.13,16.582,16.082
12-07-2016 21:15,17.13,16.582,16.082
12-07-2016 21:30,17.106,16.582,16.082
12-07-2016 21:45,17.082,16.582,16.082
12-07-2016 22:00,17.058,16.582,16.082
12-07-2016 22:15,17.034,16.582,16.106
12-07-2016 22:30,17.011,16.582,16.106
12-07-2016 22:45,16.963,16.582,16.106
12-07-2016 23:00,16.939,16.582,16.106
12-07-2016 23:15,16.915,16.582,16.106
12-07-2016 23:30,16.868,16.558,16.106
12-07-2016 23:45,16.844,16.558,16.106
13-07-2016 00:00,16.82,16.558,16.106
13-07-2016 00:15,16.773,16.534,16.106
13-07-2016 00:30,16.749,16.511,16.106
13-07-2016 00:45,16.701,16.511,16.106
13-07-2016 01:00,16.654,16.487,16.129
13-07-2016 01:15,16.63,16.487,16.106
13-07-2016 01:30,16.582,16.463,16.106
13-07-2016 01:45,16.534,16.439,16.106
13-07-2016 02:00,16.487,16.439,16.106
13-07-2016 02:15,16.463,16.415,16.106
13-07-2016 02:30,16.415,16.392,16.106
13-07-2016 02:45,16.368,16.368,16.106
13-07-2016 03:00,16.344,16.344,16.106
13-07-2016 03:15,16.296,16.344,16.082
13-07-2016 03:30,16.272,16.32,16.082
13-07-2016 03:45,16.225,16.296,16.082
13-07-2016 04:00,16.201,16.272,16.058
13-07-2016 04:15,16.153,16.249,16.058
13-07-2016 04:30,16.129,16.225,16.058
13-07-2016 04:45,16.082,16.201,16.058
13-07-2016 05:00,16.058,16.201,16.034
13-07-2016 05:15,16.034,16.177,16.034
13-07-2016 05:30,15.986,16.153,16.01
13-07-2016 05:45,15.963,16.129,16.01
13-07-2016 06:00,15.915,16.106,16.01
13-07-2016 06:15,15.867,16.082,15.986
13-07-2016 06:30,15.843,16.058,15.986
13-07-2016 06:45,15.819,16.034,15.986
13-07-2016 07:00,15.796,16.01,15.963
13-07-2016 07:15,15.748,15.986,15.963
13-07-2016 07:30,15.724,15.986,15.939
13-07-2016 07:45,15.7,15.963,15.939
13-07-2016 08:00,15.676,15.939,15.915
13-07-2016 08:15,15.652,15.915,15.915
13-07-2016 19:45,16.177,15.891,15.676
13-07-2016 20:15,16.177,15.915,15.676
13-07-2016 20:30,16.153,15.915,15.652
13-07-2016 20:45,16.153,15.915,15.676
13-07-2016 21:00,16.129,15.915,15.676
13-07-2016 21:15,16.106,15.915,15.652
13-07-2016 21:30,16.082,15.915,15.676
13-07-2016 21:45,16.058,15.915,15.676
13-07-2016 22:00,16.034,15.891,15.676
13-07-2016 22:15,16.01,15.891,15.676
13-07-2016 22:30,15.986,15.891,15.676
13-07-2016 22:45,15.963,15.891,15.676
13-07-2016 23:00,15.915,15.891,15.676
13-07-2016 23:15,15.891,15.867,15.676
13-07-2016 23:30,15.867,15.843,15.676
13-07-2016 23:45,15.819,15.843,15.652
14-07-2016 00:00,15.772,15.819,15.652
14-07-2016 00:15,15.748,15.796,15.652
14-07-2016 00:30,15.7,15.772,15.652
14-07-2016 00:45,15.652,15.772,15.652
14-07-2016 01:00,15.629,15.748,15.652
14-07-2016 01:15,15.581,15.724,15.629
14-07-2016 01:30,15.533,15.724,15.629
14-07-2016 01:45,15.485,15.7,15.629
14-07-2016 02:00,15.438,15.676,15.629
17-07-2016 20:45,18.247,16.796,15.772
17-07-2016 21:00,18.247,16.844,15.772
17-07-2016 21:15,18.247,16.868,15.819
17-07-2016 21:30,18.247,16.892,15.843
17-07-2016 21:45,18.247,16.915,15.867
17-07-2016 22:00,18.247,16.939,15.891
17-07-2016 22:15,18.224,16.963,15.891
17-07-2016 22:30,18.2,16.987,15.915
17-07-2016 22:45,18.176,16.987,15.939
17-07-2016 23:00,18.152,17.011,15.963
17-07-2016 23:15,18.105,17.011,15.963
17-07-2016 23:30,18.081,17.011,15.986
17-07-2016 23:45,18.057,17.034,16.01
18-07-2016 00:00,18.01,17.034,16.01
18-07-2016 00:15,17.986,17.034,16.034
18-07-2016 00:30,17.938,17.034,16.058
18-07-2016 00:45,17.891,17.034,16.058
18-07-2016 01:00,17.867,17.034,16.082
18-07-2016 01:15,17.819,17.034,16.082
18-07-2016 01:30,17.772,17.011,16.106
