"Titre de tracé : Hobo33"
"#","Date Heure, GMT+02:00","Tension, V (LGR S/N: 10117169, SEN S/N: 10117169)","Temp., °C (LGR S/N: 10117169, SEN S/N: 10117169)"
1,07/23/15 02:00:00 PM,0.58181,18.129
2,07/23/15 02:15:00 PM,0.58059,18.081
3,07/23/15 02:30:00 PM,0.57937,18.033
4,07/23/15 02:45:00 PM,0.57937,18.224
5,07/23/15 03:00:00 PM,0.57937,18.247
6,07/23/15 03:15:00 PM,0.57998,18.271
7,07/23/15 03:30:00 PM,0.57998,18.224
8,07/23/15 03:45:00 PM,0.57998,18.081
9,07/23/15 04:00:00 PM,0.58059,18.057
10,07/23/15 04:15:00 PM,0.58059,18.057
11,07/23/15 04:30:00 PM,0.58120,18.176
12,07/23/15 04:45:00 PM,0.58120,18.176
13,07/23/15 05:00:00 PM,0.58120,18.200
14,07/23/15 05:15:00 PM,0.58120,18.224
15,07/23/15 05:30:00 PM,0.58120,18.200
16,07/23/15 05:45:00 PM,0.58120,18.224
17,07/23/15 06:00:00 PM,0.58120,18.200
18,07/23/15 06:15:00 PM,0.58120,18.176
19,07/23/15 06:30:00 PM,0.58120,18.176
20,07/23/15 06:45:00 PM,0.58120,18.152
21,07/23/15 07:00:00 PM,0.58120,18.176
22,07/23/15 07:15:00 PM,0.58120,18.152
23,07/23/15 07:30:00 PM,0.58120,18.129
24,07/23/15 07:45:00 PM,0.58120,18.105
25,07/23/15 08:00:00 PM,0.58120,18.081
26,07/23/15 08:15:00 PM,0.58120,18.057
27,07/23/15 08:30:00 PM,0.58120,18.010
28,07/23/15 08:45:00 PM,0.58120,17.962
29,07/23/15 09:00:00 PM,0.58120,17.915
30,07/23/15 09:15:00 PM,0.58120,17.891
31,07/23/15 09:30:00 PM,0.58120,17.843
32,07/23/15 09:45:00 PM,0.58120,17.796
33,07/23/15 10:00:00 PM,0.58120,17.772
34,07/23/15 10:15:00 PM,0.58120,17.724
35,07/23/15 10:30:00 PM,0.58120,17.677
36,07/23/15 10:45:00 PM,0.58120,17.629
37,07/23/15 11:00:00 PM,0.58120,17.605
38,07/23/15 11:15:00 PM,0.58120,17.558
39,07/23/15 11:30:00 PM,0.58120,17.534
40,07/23/15 11:45:00 PM,0.58059,17.486
41,07/24/15 12:00:00 AM,0.58059,17.439
42,07/24/15 12:15:00 AM,0.58059,17.415
43,07/24/15 12:30:00 AM,0.58059,17.368
44,07/24/15 12:45:00 AM,0.58059,17.320
45,07/24/15 01:00:00 AM,0.58059,17.296
46,07/24/15 01:15:00 AM,0.58059,17.249
47,07/24/15 01:30:00 AM,0.58059,17.201
48,07/24/15 01:45:00 AM,0.58059,17.153
49,07/24/15 02:00:00 AM,0.58059,17.106
50,07/24/15 02:15:00 AM,0.58059,17.058
51,07/24/15 02:30:00 AM,0.58059,17.011
52,07/24/15 02:45:00 AM,0.58059,16.963
53,07/24/15 03:00:00 AM,0.58120,16.915
54,07/24/15 03:15:00 AM,0.58120,16.868
55,07/24/15 03:30:00 AM,0.58059,16.820
56,07/24/15 03:45:00 AM,0.58059,16.773
57,07/24/15 04:00:00 AM,0.58059,16.725
58,07/24/15 04:15:00 AM,0.58059,16.677
59,07/24/15 04:30:00 AM,0.58059,16.630
60,07/24/15 04:45:00 AM,0.58059,16.582
61,07/24/15 05:00:00 AM,0.58120,16.534
62,07/24/15 05:15:00 AM,0.58120,16.487
63,07/24/15 05:30:00 AM,0.58120,16.439
64,07/24/15 05:45:00 AM,0.58120,16.415
65,07/24/15 06:00:00 AM,0.58120,16.368
66,07/24/15 06:15:00 AM,0.58120,16.344
67,07/24/15 06:30:00 AM,0.58120,16.320
68,07/24/15 06:45:00 AM,0.58120,16.296
69,07/24/15 07:00:00 AM,0.58120,16.272
70,07/24/15 07:15:00 AM,0.58120,16.249
71,07/24/15 07:30:00 AM,0.58120,16.249
72,07/24/15 07:45:00 AM,0.58120,16.249
73,07/24/15 08:00:00 AM,0.58120,16.249
74,07/24/15 08:15:00 AM,0.58120,16.249
