"Titre de tracé : t503"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10117154, SEN S/N: 10117154)","Temp., °C (LGR S/N: 10117154, SEN S/N: 10117154)","Temp., °C (LGR S/N: 10117154, SEN S/N: 10117154)","Temp., °C (LGR S/N: 10117154, SEN S/N: 10117154)"
1,07/23/15 12:30:00 PM,210.450,31.484,31.001,223.886
2,07/23/15 12:45:00 PM,206.695,17.986,18.390,537.327
3,07/23/15 01:00:00 PM,206.695,18.152,18.461,537.327
4,07/23/15 01:15:00 PM,208.536,17.867,18.176,537.327
5,07/23/15 01:30:00 PM,208.536,17.915,18.295,537.327
6,07/23/15 01:45:00 PM,27.161,26.573,22.250,23.569
7,07/23/15 02:00:00 PM,18.319,17.938,18.247,18.390
8,07/23/15 02:15:00 PM,18.224,17.653,17.915,17.986
9,07/23/15 02:30:00 PM,18.105,17.558,17.796,17.796
10,07/23/15 02:45:00 PM,18.081,17.534,17.748,17.748
11,07/23/15 03:00:00 PM,18.057,17.510,17.724,17.724
12,07/23/15 03:15:00 PM,18.057,17.510,17.701,17.701
13,07/23/15 03:30:00 PM,18.057,17.510,17.701,17.677
14,07/23/15 03:45:00 PM,18.057,17.486,17.677,17.677
15,07/23/15 04:00:00 PM,18.057,17.486,17.677,17.653
16,07/23/15 04:15:00 PM,18.057,17.486,17.677,17.653
17,07/23/15 04:30:00 PM,18.033,17.486,17.677,17.629
18,07/23/15 04:45:00 PM,18.057,17.486,17.653,17.629
19,07/23/15 05:00:00 PM,18.057,17.486,17.653,17.629
20,07/23/15 05:15:00 PM,18.057,17.486,17.653,17.629
21,07/23/15 05:30:00 PM,18.057,17.486,17.653,17.629
22,07/23/15 05:45:00 PM,18.057,17.486,17.653,17.629
23,07/23/15 06:00:00 PM,18.057,17.486,17.653,17.605
24,07/23/15 06:15:00 PM,18.057,17.486,17.653,17.605
25,07/23/15 06:30:00 PM,18.057,17.510,17.653,17.605
26,07/23/15 06:45:00 PM,18.081,17.486,17.629,17.605
27,07/23/15 07:00:00 PM,18.081,17.486,17.629,17.605
28,07/23/15 07:15:00 PM,18.057,17.510,17.629,17.605
29,07/23/15 07:30:00 PM,18.081,17.486,17.629,17.582
30,07/23/15 07:45:00 PM,18.057,17.486,17.629,17.605
31,07/23/15 08:00:00 PM,18.057,17.510,17.629,17.605
32,07/23/15 08:15:00 PM,18.057,17.486,17.629,17.582
33,07/23/15 08:30:00 PM,18.057,17.486,17.629,17.582
34,07/23/15 08:45:00 PM,18.057,17.510,17.629,17.582
35,07/23/15 09:00:00 PM,18.033,17.486,17.629,17.582
36,07/23/15 09:15:00 PM,18.033,17.486,17.629,17.582
37,07/23/15 09:30:00 PM,18.010,17.486,17.629,17.582
