"Titre de tracé : p507"
"#","Date Heure GMT+02:00","Tension V (LGR S/N: 10614065 SEN S/N: 10614065)","Temp.°C (LGR S/N: 10614065, SEN S/N: 10614065)"
1,07/23/15 02:00:00 PM,0.01183,45.230
2,07/23/15 02:15:00 PM,0.00080,21.979
3,07/23/15 02:30:00 PM,0.00080,21.609
4,07/23/15 02:45:00 PM,0.00092,21.910
5,07/23/15 03:00:00 PM,0.00088,20.966
6,07/23/15 03:15:00 PM,0.00076,17.383
7,07/23/15 03:30:00 PM,1.13336,17.344
8,07/23/15 03:45:00 PM,1.23682,17.319
9,07/23/15 04:00:00 PM,1.23663,17.320
10,07/23/15 04:15:00 PM,1.20249,17.315
11,07/23/15 04:30:00 PM,1.22831,17.357
12,07/23/15 04:45:00 PM,1.23903,17.363
13,07/23/15 05:00:00 PM,1.22858,17.370
14,07/23/15 05:15:00 PM,1.23571,17.365
15,07/23/15 05:30:00 PM,1.22736,17.368
16,07/23/15 05:45:00 PM,1.23949,17.369
17,07/23/15 06:00:00 PM,1.23293,17.359
18,07/23/15 06:15:00 PM,1.22953,17.356
19,07/23/15 06:30:00 PM,1.23083,17.361
20,07/23/15 06:45:00 PM,1.23129,17.361
21,07/23/15 07:00:00 PM,1.23331,17.358
22,07/23/15 07:15:00 PM,1.23453,17.348
23,07/23/15 07:30:00 PM,1.23075,17.342
24,07/23/15 07:45:00 PM,1.22637,17.338
25,07/23/15 08:00:00 PM,1.23373,17.322
26,07/23/15 08:15:00 PM,1.24201,17.308
27,07/23/15 08:30:00 PM,1.22953,17.290
28,07/23/15 08:45:00 PM,1.22202,17.272
29,07/23/15 09:00:00 PM,1.23224,17.255
30,07/23/15 09:15:00 PM,1.23442,17.237
31,07/23/15 09:30:00 PM,1.23381,17.220
32,07/23/15 09:45:00 PM,1.23465,17.200
33,07/23/15 10:00:00 PM,1.23457,17.182
34,07/23/15 10:15:00 PM,1.23465,17.162
35,07/23/15 10:30:00 PM,1.23453,17.143
36,07/23/15 10:45:00 PM,1.23327,17.124
37,07/23/15 11:00:00 PM,1.23171,17.108
38,07/23/15 11:15:00 PM,1.23320,17.089
39,07/23/15 11:30:00 PM,1.23201,17.073
40,07/23/15 11:45:00 PM,1.22614,17.056
41,07/24/15 12:00:00 AM,1.22309,17.040
42,07/24/15 12:15:00 AM,1.23178,17.022
43,07/24/15 12:30:00 AM,1.23522,17.006
44,07/24/15 12:45:00 AM,1.22892,16.990
45,07/24/15 01:00:00 AM,1.20317,16.971
46,07/24/15 01:15:00 AM,1.23453,16.952
