"Titre de tracé : pHobbo3"
"#","Date Heure, GMT+02:00","Tension, V (LGR S/N: 10117158, SEN S/N: 10117158)","Temp., °C (LGR S/N: 10117158, SEN S/N: 10117158)","Fin de fichier (LGR S/N: 10117158)"
1,07/23/15 02:00:00 PM,1.46215,26.549,
2,07/23/15 02:15:00 PM,1.52869,26.182,
3,07/23/15 02:30:00 PM,1.53724,27.014,
4,07/23/15 02:45:00 PM,1.38400,27.924,
5,07/23/15 03:00:00 PM,1.39255,28.369,
6,07/23/15 03:15:00 PM,1.35653,27.161,
7,07/23/15 03:30:00 PM,1.34982,26.695,
8,07/23/15 03:45:00 PM,1.34676,26.134,
9,07/23/15 04:00:00 PM,1.37241,23.256,
10,07/23/15 04:15:00 PM,1.45910,18.438,
11,07/23/15 04:30:00 PM,1.44567,18.200,
12,07/23/15 04:45:00 PM,1.37546,18.224,Enregistré
