dates,Temp_profondeur_10,Temp_profondeur_20,Temp_profondeur_30,Temp_profondeur_40
27-06-2016 12:45,13.882,13.954,14.026,13.954
27-06-2016 13:00,13.858,13.93,14.026,13.954
27-06-2016 13:15,13.882,13.93,14.002,13.93
27-06-2016 13:30,13.882,13.93,14.002,13.93
27-06-2016 13:45,13.906,13.93,14.002,13.93
27-06-2016 14:00,13.906,13.93,14.002,13.906
27-06-2016 14:15,13.93,13.93,13.978,13.906
27-06-2016 14:30,13.93,13.93,13.978,13.906
27-06-2016 14:45,13.954,13.93,13.978,13.906
27-06-2016 15:00,13.978,13.93,13.978,13.882
27-06-2016 15:15,14.002,13.93,13.978,13.882
27-06-2016 15:30,14.026,13.93,13.954,13.882
27-06-2016 15:45,14.05,13.93,13.954,13.882
27-06-2016 16:00,14.074,13.954,13.954,13.882
27-06-2016 16:15,14.098,13.954,13.954,13.882
27-06-2016 16:30,14.122,13.954,13.954,13.882
27-06-2016 16:45,14.17,13.954,13.954,13.858
27-06-2016 17:00,14.194,13.978,13.954,13.858
27-06-2016 17:15,14.218,13.978,13.954,13.858
27-06-2016 17:30,14.266,14.002,13.954,13.858
27-06-2016 17:45,14.29,14.002,13.954,13.858
27-06-2016 18:00,14.314,14.026,13.954,13.858
27-06-2016 18:15,14.361,14.026,13.978,13.858
27-06-2016 18:30,14.385,14.05,13.978,13.858
27-06-2016 18:45,14.409,14.05,13.978,13.858
27-06-2016 19:00,14.433,14.074,13.978,13.858
27-06-2016 19:15,14.457,14.074,13.978,13.858
27-06-2016 19:30,14.481,14.098,14.002,13.858
27-06-2016 19:45,14.505,14.122,14.002,13.858
27-06-2016 20:00,14.505,14.122,14.002,13.858
27-06-2016 20:15,14.529,14.146,14.002,13.858
27-06-2016 20:30,14.553,14.146,14.002,13.858
27-06-2016 20:45,14.553,14.17,14.026,13.858
27-06-2016 21:00,14.577,14.17,14.026,13.858
27-06-2016 21:15,14.601,14.194,14.026,13.858
27-06-2016 21:30,14.601,14.194,14.05,13.858
27-06-2016 21:45,14.625,14.218,14.05,13.858
27-06-2016 22:00,14.625,14.218,14.05,13.858
27-06-2016 22:15,14.625,14.242,14.05,13.858
27-06-2016 22:30,14.649,14.242,14.074,13.882
27-06-2016 22:45,14.649,14.266,14.074,13.882
27-06-2016 23:00,14.649,14.266,14.098,13.882
27-06-2016 23:15,14.649,14.29,14.098,13.882
27-06-2016 23:30,14.649,14.29,14.098,13.882
27-06-2016 23:45,14.649,14.29,14.098,13.882
28-06-2016 00:00,14.649,14.314,14.098,13.882
28-06-2016 00:15,14.625,14.314,14.098,13.882
28-06-2016 00:30,14.625,14.314,14.122,13.906
28-06-2016 00:45,14.601,14.314,14.122,13.906
28-06-2016 01:00,14.601,14.337,14.122,13.906
28-06-2016 01:15,14.577,14.337,14.122,13.906
28-06-2016 01:30,14.577,14.314,14.146,13.906
28-06-2016 01:45,14.553,14.337,14.146,13.906
28-06-2016 02:00,14.529,14.337,14.146,13.906
28-06-2016 02:15,14.529,14.337,14.146,13.906
28-06-2016 02:30,14.505,14.314,14.146,13.906
28-06-2016 02:45,14.481,14.314,14.146,13.93
28-06-2016 03:00,14.433,14.314,14.146,13.93
28-06-2016 03:15,14.409,14.314,14.17,13.93
28-06-2016 03:30,14.385,14.314,14.17,13.93
28-06-2016 03:45,14.361,14.29,14.17,13.93
28-06-2016 04:00,14.337,14.29,14.17,13.93
28-06-2016 04:15,14.314,14.29,14.146,13.93
28-06-2016 04:30,14.29,14.29,14.146,13.93
28-06-2016 04:45,14.266,14.266,14.146,13.93
28-06-2016 05:00,14.242,14.266,14.146,13.93
28-06-2016 05:15,14.218,14.242,14.146,13.93
28-06-2016 05:30,14.218,14.242,14.146,13.93
28-06-2016 05:45,14.194,14.218,14.146,13.93
28-06-2016 06:00,14.17,14.218,14.146,13.93
28-06-2016 06:15,14.146,14.194,14.122,13.93
28-06-2016 06:30,14.122,14.194,14.122,13.93
28-06-2016 06:45,14.122,14.194,14.122,13.93
28-06-2016 07:00,14.098,14.17,14.122,13.93
