"Titre de tracé : p36_t"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Temp., °C (LGR S/N: 10117164, SEN S/N: 10117164)","Hôte connecté (LGR S/N: 10117164)","Arrêté (LGR S/N: 10117164)","Fin de fichier (LGR S/N: 10117164)"
1,07/12/16 02:00:00 PM,23.785,25.234,24.460,24.412,,,
2,07/12/16 02:15:00 PM,17.463,16.892,16.677,537.327,,,
3,07/12/16 02:30:00 PM,16.749,16.320,16.129,537.327,,,
4,07/12/16 02:45:00 PM,16.725,16.272,16.082,537.327,,,
5,07/12/16 03:00:00 PM,16.749,16.272,16.058,537.327,,,
6,07/12/16 03:15:00 PM,16.773,16.272,16.034,537.327,,,
7,07/12/16 03:30:00 PM,16.820,16.296,16.034,537.327,,,
8,07/12/16 03:45:00 PM,16.820,16.296,16.034,537.327,,,
9,07/12/16 04:00:00 PM,16.868,16.320,16.010,537.327,,,
10,07/12/16 04:15:00 PM,16.868,16.344,16.010,537.327,,,
11,07/12/16 04:30:00 PM,16.868,16.344,16.034,537.327,,,
12,07/12/16 04:45:00 PM,16.892,16.368,16.010,537.327,,,
13,07/12/16 05:00:00 PM,16.915,16.368,16.010,537.327,,,
14,07/12/16 05:15:00 PM,16.939,16.368,16.010,537.327,,,
15,07/12/16 05:30:00 PM,16.987,16.392,16.010,537.327,,,
16,07/12/16 05:45:00 PM,17.011,16.415,16.010,537.327,,,
17,07/12/16 06:00:00 PM,17.034,16.415,16.010,537.327,,,
18,07/12/16 06:15:00 PM,17.058,16.439,16.034,537.327,,,
19,07/12/16 06:30:00 PM,17.082,16.439,16.010,537.327,,,
20,07/12/16 06:45:00 PM,17.106,16.463,16.034,537.327,,,
21,07/12/16 07:00:00 PM,17.106,16.487,16.034,537.327,,,
22,07/12/16 07:15:00 PM,17.130,16.487,16.034,537.327,,,
23,07/12/16 07:30:00 PM,17.153,16.511,16.034,537.327,,,
24,07/12/16 07:45:00 PM,17.153,16.511,16.034,537.327,,,
25,07/12/16 08:00:00 PM,17.153,16.534,16.058,537.327,,,
26,07/12/16 08:15:00 PM,17.153,16.534,16.058,537.327,,,
27,07/12/16 08:30:00 PM,17.153,16.558,16.058,537.327,,,
28,07/12/16 08:45:00 PM,17.153,16.558,16.058,537.327,,,
29,07/12/16 09:00:00 PM,17.130,16.582,16.082,537.327,,,
30,07/12/16 09:15:00 PM,17.130,16.582,16.082,537.327,,,
31,07/12/16 09:30:00 PM,17.106,16.582,16.082,537.327,,,
32,07/12/16 09:45:00 PM,17.082,16.582,16.082,537.327,,,
33,07/12/16 10:00:00 PM,17.058,16.582,16.082,537.327,,,
34,07/12/16 10:15:00 PM,17.034,16.582,16.106,537.327,,,
35,07/12/16 10:30:00 PM,17.011,16.582,16.106,537.327,,,
36,07/12/16 10:45:00 PM,16.963,16.582,16.106,537.327,,,
37,07/12/16 11:00:00 PM,16.939,16.582,16.106,537.327,,,
38,07/12/16 11:15:00 PM,16.915,16.582,16.106,537.327,,,
39,07/12/16 11:30:00 PM,16.868,16.558,16.106,537.327,,,
40,07/12/16 11:45:00 PM,16.844,16.558,16.106,537.327,,,
41,07/13/16 12:00:00 AM,16.820,16.558,16.106,424.791,,,
42,07/13/16 12:15:00 AM,16.773,16.534,16.106,537.327,,,
43,07/13/16 12:30:00 AM,16.749,16.511,16.106,537.327,,,
44,07/13/16 12:45:00 AM,16.701,16.511,16.106,537.327,,,
45,07/13/16 01:00:00 AM,16.654,16.487,16.129,537.327,,,
46,07/13/16 01:15:00 AM,16.630,16.487,16.106,424.791,,,
47,07/13/16 01:30:00 AM,16.582,16.463,16.106,537.327,,,
48,07/13/16 01:45:00 AM,16.534,16.439,16.106,537.327,,,
49,07/13/16 02:00:00 AM,16.487,16.439,16.106,537.327,,,
50,07/13/16 02:15:00 AM,16.463,16.415,16.106,537.327,,,
