Titre de tracé : T46,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)",Hôte connecté (LGR S/N: 10117166),Arrêté (LGR S/N: 10117166),Fin de fichier (LGR S/N: 10117166)
1,27/08/2019 14:00,34.60782259,34.53903289,34.48648351,34.075,,,
2,27/08/2019 14:15,34.59623088,34.53435968,34.47810728,34.075,,,
3,27/08/2019 14:30,34.58709678,34.5306288,34.4460472,34.075,,,
4,27/08/2019 14:45,34.57732416,34.52730119,34.38967691,34.075,,,
5,27/08/2019 15:00,34.56545047,34.52401829,34.31129907,34.075,,,
6,27/08/2019 15:15,34.55074675,34.52044343,34.21498057,34.075,,,
7,27/08/2019 15:30,34.53292189,34.51622555,34.10530395,34.075,,,
8,27/08/2019 15:45,34.51194727,34.51100582,33.98656459,34.075,,,
9,27/08/2019 16:00,34.48780048,34.5044369,33.86239413,34.075,,,
10,27/08/2019 16:15,34.46058542,34.49620211,33.73566539,34.075,,,
11,27/08/2019 16:30,34.43051314,34.48602966,33.60854489,34.075,,,
12,27/08/2019 16:45,34.39802842,34.47370031,33.48260341,34.075,,,
13,27/08/2019 17:00,34.36369785,34.45905304,33.35893733,34.075,,,
14,27/08/2019 17:15,34.32798684,34.44198691,33.23827906,34.075,,,
15,27/08/2019 17:30,34.29126953,34.42245644,33.12108778,34.075,,,
16,27/08/2019 17:45,34.2538075,34.40046539,33.00762189,34.075,,,
17,27/08/2019 18:00,34.21572387,34.37605839,32.89799595,34.075,,,
18,27/08/2019 18:15,34.1771897,34.34931276,32.79222232,34.075,,,
19,27/08/2019 18:30,34.13827355,34.32033076,32.6902421,16.192,,,
20,27/08/2019 18:45,34.09896427,34.28923233,32.59194886,16.189,,,
21,27/08/2019 19:00,34.05914054,34.25614803,32.49720582,16.185,,,
22,27/08/2019 19:15,34.01858675,34.22121191,32.40585713,16.179,,,
23,27/08/2019 19:30,33.97732249,34.1845569,32.31773612,16.173,,,
24,27/08/2019 19:45,33.93543973,34.14631301,32.2326721,16.167,,,
25,27/08/2019 20:00,33.89301115,34.10660698,32.15049431,16.159,,,
26,27/08/2019 20:15,33.85011773,34.06556246,32.07103421,16.15,,,
27,27/08/2019 20:30,33.80674879,34.02329978,31.99412772,16.141,,,
28,27/08/2019 20:45,33.76294604,33.97993562,31.91961751,16.132,,,
29,27/08/2019 21:00,33.71871239,33.93558222,31.8473542,16.122,,,
30,27/08/2019 21:15,33.67413618,33.89034687,31.7771965,16.111,,,
31,27/08/2019 21:30,33.62922344,33.84433079,31.7090107,16.099,,,
32,27/08/2019 21:45,33.58402055,33.79762806,31.64267026,16.086,,,
33,27/08/2019 22:00,33.53862491,33.75032531,31.57805535,16.072,,,
34,27/08/2019 22:15,33.49302478,33.70250125,31.51505383,16.059,,,
35,27/08/2019 22:30,33.44741329,33.65422785,31.45356113,16.044,,,
36,27/08/2019 22:45,33.40182026,33.60557144,31.39347991,16.029,,,
37,27/08/2019 23:00,33.3562324,33.55659307,31.33471881,16.012,,,
38,27/08/2019 23:15,33.31064,33.50734838,31.2771931,15.997,,,
39,27/08/2019 23:30,33.26511632,33.45788795,31.2208251,15.981,,,
40,27/08/2019 23:45,33.21959867,33.40825724,31.16554338,15.964,,,
41,28/08/2019 00:00,33.17405553,33.35849623,31.11128138,15.946,,,
42,28/08/2019 00:15,33.12851868,33.30863994,31.05797725,15.929,,,
43,28/08/2019 00:30,33.08290633,33.25871857,31.00557369,15.911,,,
44,28/08/2019 00:45,33.03721787,33.20875773,30.95401771,15.893,,,
45,28/08/2019 01:00,32.99153556,33.15877938,30.90326158,15.877,,,
46,28/08/2019 01:15,32.94600803,33.10880365,30.85326229,15.859,,,
47,28/08/2019 01:30,32.90069552,33.05885053,30.80397902,15.839,,,
48,28/08/2019 01:45,32.85555795,33.00894029,30.75537285,15.821,,,
49,28/08/2019 02:00,32.81043115,32.95909211,30.70740761,15.803,,,
50,28/08/2019 02:15,32.7653257,32.90932312,30.66004987,15.784,,,
51,28/08/2019 02:30,32.72046313,32.85964968,30.61326908,15.766,,,
52,28/08/2019 02:45,32.67611575,32.81009032,30.56703654,15.746,,,
53,28/08/2019 03:00,32.63242801,32.76066747,30.52132517,15.727,,,
54,28/08/2019 03:15,32.58919684,32.71140519,30.47611051,15.709,,,
55,28/08/2019 03:30,32.54633896,32.66232535,30.4313702,15.689,,,
56,28/08/2019 03:45,32.50384038,32.61344487,30.38708317,15.669,,,
57,28/08/2019 04:00,32.4618132,32.56477512,25.84322986,15.65,,,
58,28/08/2019 04:15,32.42041301,32.51632275,24.7997916,15.629,,,
59,28/08/2019 04:30,32.37986539,32.46809128,22.75675046,15.609,,,
60,28/08/2019 04:45,32.3404299,32.42008295,21.71409022,15.59,,,
61,28/08/2019 05:00,32.30243705,32.37230075,20.67179755,15.572,,,
62,28/08/2019 05:15,32.26621616,32.32475088,20.62986097,15.552,,,
63,28/08/2019 05:30,32.2318467,32.27744317,20.58827043,15.534,,,
64,28/08/2019 05:45,32.19948514,32.23039085,20.54701737,15.516,,,
65,28/08/2019 06:00,32.16920799,32.18361131,20.50609502,15.499,,,
66,28/08/2019 06:15,32.14085325,32.13712565,20.46549939,15.484,,,
67,28/08/2019 06:30,32.11445686,32.09095874,20.42523054,15.471,,,
68,28/08/2019 06:45,32.09008846,32.0451398,20.38529163,15.457,,,
69,28/08/2019 07:00,32.06780466,31.88940164,20.34568801,15.445,,,
70,28/08/2019 07:15,32.04777347,31.8443784,20.30642741,15.435,,,
71,28/08/2019 07:30,32.03025368,31.79980443,20.26751888,15.424,,,
72,28/08/2019 07:45,32.01503301,31.75571231,20.22897336,15.417,,,
73,28/08/2019 08:00,32.00208455,31.71213153,20.19080321,15.409,,,
74,28/08/2019 08:15,31.99156598,31.66909021,20.15302166,15.403,,,
75,28/08/2019 08:30,31.9834281,31.62661765,20.11564375,15.4,,,
76,28/08/2019 08:45,31.97744508,31.5847452,20.07868738,15.399,,,
77,28/08/2019 09:00,31.97350451,31.54350573,20.04217184,15.397,,,
78,28/08/2019 09:15,31.97153498,31.502932,20.00611758,15.399,,,
79,28/08/2019 09:30,31.97157885,31.46305551,19.97054635,15.402,,,
80,28/08/2019 09:45,31.97347304,31.42390585,19.93548053,15.406,,,
81,28/08/2019 10:00,31.97704808,31.38551051,19.90094285,15.412,,,
82,28/08/2019 10:15,31.98212771,31.34789457,19.86695648,15.42,,,
83,28/08/2019 10:30,30.32350526,31.31108124,19.83354485,15.429,,,
84,28/08/2019 10:45,28.33146871,31.2750915,19.80073083,15.439,,,
85,28/08/2019 11:00,26.34075189,31.23994329,19.76853669,15.451,,,
86,28/08/2019 11:15,25.35128349,31.20565145,19.73698448,15.465,,,
87,28/08/2019 11:30,24.36281108,31.17222747,19.70609615,15.48,,,
88,28/08/2019 11:45,23.37519474,31.13968034,19.67589231,15.495,,,
89,28/08/2019 12:00,23.38803643,31.10801717,19.64639123,15.511,,,
90,28/08/2019 12:15,23.40067989,31.07724194,19.61760983,15.53,,,
91,28/08/2019 12:30,23.4124804,31.04735319,19.58956408,15.549,,,
92,28/08/2019 12:45,23.42305742,31.01834234,19.5622688,15.569,,,
93,28/08/2019 13:00,23.43235741,30.9901935,19.53573619,15.588,,,
94,28/08/2019 13:15,23.4404993,30.96288482,19.50997558,15.609,,,
