
# Configuration générale
intervalle_de_mesure_secondes,900
intervalle_lora_secondes,3600
# Les deux délais ci-dessus ne doivent pas être inférieurs respectivement à 900s et 3600s

max_pload_octet, 20
periode_lora_min_secondes, 1
periode_mesure_min_secondes, 2
max_secondes_par_jour, 850 
devEUI, 0

#Configuration des capteurs
# id,type,pin,id_box
P1,pression,A0,123456789012345
T1,temperature,A1,123456789012345
T2,temperature,A6,123456789012345
T3,temperature,A3,123456789012345
T4,temperature,A4,123456789012345
T5,temperature,A5,123456789012345


#Configuration relay 
appEui,0000000000000000
appKey,72C5FBBF2AB954D3316A1EE13AA3F141
CSPin,5
lora_freq,868000000
