"Date Heure, GMT+01:00",Temp_1,Temp_2,Temp_3,Temp_4,Pressure
09/03/25 12:38:40 PM,19.4,18.35,19.65,19.75,1011.77
09/03/25 12:53:40 PM,20.61,20.83,20.97,20.15,1014.63
09/03/25 01:08:40 PM,20.84,20.83,21.09,20.87,1009.18
09/03/25 01:23:40 PM,19.72,19.5,20.21,19.67,1014.27
09/03/25 01:38:40 PM,19.61,20.0,19.68,19.55,1012.87
09/03/25 01:53:40 PM,19.33,19.1,19.04,19.37,1014.52
09/03/25 02:08:40 PM,19.46,19.84,19.64,19.23,1014.64
09/03/25 02:23:40 PM,18.09,18.16,18.31,18.31,1017.9
09/03/25 02:38:40 PM,18.2,18.59,18.13,18.2,1012.15
09/03/25 02:53:40 PM,18.72,18.7,18.93,18.75,1017.64
09/03/25 03:08:40 PM,18.33,18.43,18.63,18.16,1016.78
09/03/25 03:23:40 PM,18.58,18.19,18.38,18.83,1012.46
09/03/25 03:38:40 PM,18.61,18.72,18.14,18.3,1015.72
09/03/25 03:53:40 PM,18.42,18.69,18.53,18.09,1013.97
09/03/25 04:08:40 PM,16.67,17.14,16.74,16.93,1010.23
