"Date Heure, GMT+01:00",Température 1 (°C),Température 2 (°C),Température 3 (°C),Température 4 (°C)
16/06/28 06:45,14.122,14.194,14.122,13.93
16/06/28 07:00,14.098,14.17,14.122,13.93
16/06/28 07:15,14.098,14.17,14.122,13.93
16/06/28 07:30,14.074,14.146,14.122,13.93
16/06/28 07:45,14.074,14.146,14.098,13.93
16/06/28 08:00,14.074,14.122,14.098,13.93
16/06/28 08:15,14.05,14.122,14.098,13.93
16/06/28 08:30,14.05,14.122,14.098,13.93
16/06/28 08:45,14.05,14.098,14.098,13.93
16/06/28 09:00,14.05,14.098,14.074,13.906
16/06/28 09:15,14.05,14.098,14.074,13.906
16/06/28 09:30,14.026,14.098,14.074,13.906
16/06/28 09:45,14.026,14.074,14.074,13.906
16/06/28 10:00,14.026,14.074,14.074,13.906
16/06/28 10:15,14.026,14.074,14.05,13.906
16/06/28 10:30,14.05,14.05,14.05,13.906
16/06/28 10:45,14.05,14.05,14.05,13.906
16/06/28 11:00,14.05,14.05,14.05,13.906
16/06/28 11:15,14.074,14.05,14.05,13.906
16/06/28 11:30,14.074,14.05,14.05,13.906
16/06/28 11:45,14.074,14.05,14.05,13.906
16/06/28 12:00,14.098,14.05,14.026,13.882
16/06/28 12:15,14.098,14.05,14.026,13.882
16/06/28 12:30,14.122,14.05,14.026,13.882
16/06/28 12:45,14.122,14.05,14.026,13.882
16/06/28 13:00,14.146,14.05,14.026,13.882
16/06/28 13:15,14.17,14.05,14.002,13.882
16/06/28 13:30,14.194,14.05,14.026,13.882
16/06/28 13:45,14.218,14.05,14.026,13.882
16/06/28 14:00,14.242,14.05,14.002,13.882
16/06/28 14:15,14.266,14.05,14.026,13.858
16/06/28 14:30,14.29,14.074,14.026,13.858
16/06/28 14:45,14.314,14.074,14.026,13.858
16/06/28 15:00,14.361,14.074,14.002,13.882
16/06/28 15:15,14.385,14.098,14.002,13.858
16/06/28 15:30,14.409,14.098,14.002,13.858
16/06/28 15:45,14.433,14.122,14.026,13.858
16/06/28 16:00,14.457,14.122,14.026,13.858
16/06/28 16:15,14.505,14.146,14.026,13.858
16/06/28 16:30,14.529,14.146,14.026,13.858
16/06/28 16:45,14.553,14.17,14.026,13.858
16/06/28 17:00,14.601,14.17,14.026,13.858
16/06/28 17:15,14.625,14.194,14.05,13.858
16/06/28 17:30,14.649,14.194,14.05,13.858
16/06/28 17:45,14.697,14.218,14.05,13.858
16/06/28 18:00,14.721,14.218,14.05,13.858
16/06/28 18:15,14.745,14.242,14.074,13.858
16/06/28 18:30,14.792,14.266,14.074,13.858
16/06/28 18:45,14.816,14.29,14.074,13.858
16/06/28 19:00,14.864,14.314,14.074,13.858
