"Titre de tracé : T520"
"#","Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Hôte connecté (LGR S/N: 10117166)","Arrêté (LGR S/N: 10117166)","Fin de fichier (LGR S/N: 10117166)"
1,06/27/16 12:00:00 PM,13.810,13.834,13.858,13.810,,,
2,06/27/16 12:15:00 PM,13.834,13.858,13.882,13.834,,,
3,06/27/16 12:30:00 PM,13.930,13.954,14.050,14.002,,,
4,06/27/16 12:45:00 PM,13.882,13.954,14.026,13.954,,,
5,06/27/16 01:00:00 PM,13.858,13.930,14.026,13.954,,,
6,06/27/16 01:15:00 PM,13.882,13.930,14.002,13.930,,,
7,06/27/16 01:30:00 PM,13.882,13.930,14.002,13.930,,,
8,06/27/16 01:45:00 PM,13.906,13.930,14.002,13.930,,,
9,06/27/16 02:00:00 PM,13.906,13.930,14.002,13.906,,,
10,06/27/16 02:15:00 PM,13.930,13.930,13.978,13.906,,,
11,06/27/16 02:30:00 PM,13.930,13.930,13.978,13.906,,,
12,06/27/16 02:45:00 PM,13.954,13.930,13.978,13.906,,,
13,06/27/16 03:00:00 PM,13.978,13.930,13.978,13.882,,,
14,06/27/16 03:15:00 PM,14.002,13.930,13.978,13.882,,,
15,06/27/16 03:30:00 PM,14.026,13.930,13.954,13.882,,,
16,06/27/16 03:45:00 PM,14.050,13.930,13.954,13.882,,,
17,06/27/16 04:00:00 PM,14.074,13.954,13.954,13.882,,,
18,06/27/16 04:15:00 PM,14.098,13.954,13.954,13.882,,,
19,06/27/16 04:30:00 PM,14.122,13.954,13.954,13.882,,,
20,06/27/16 04:45:00 PM,14.170,13.954,13.954,13.858,,,
21,06/27/16 05:00:00 PM,14.194,13.978,13.954,13.858,,,
22,06/27/16 05:15:00 PM,14.218,13.978,13.954,13.858,,,
23,06/27/16 05:30:00 PM,14.266,14.002,13.954,13.858,,,
24,06/27/16 05:45:00 PM,14.290,14.002,13.954,13.858,,,
25,06/27/16 06:00:00 PM,14.314,14.026,13.954,13.858,,,
26,06/27/16 06:15:00 PM,14.361,14.026,13.978,13.858,,,
27,06/27/16 06:30:00 PM,14.385,14.050,13.978,13.858,,,
28,06/27/16 06:45:00 PM,14.409,14.050,13.978,13.858,,,
29,06/27/16 07:00:00 PM,14.433,14.074,13.978,13.858,,,
30,06/27/16 07:15:00 PM,14.457,14.074,13.978,13.858,,,
31,06/27/16 07:30:00 PM,14.481,14.098,14.002,13.858,,,
32,06/27/16 07:45:00 PM,14.505,14.122,14.002,13.858,,,
33,06/27/16 08:00:00 PM,14.505,14.122,14.002,13.858,,,
34,06/27/16 08:15:00 PM,14.529,14.146,14.002,13.858,,,
35,06/27/16 08:30:00 PM,14.553,14.146,14.002,13.858,,,
36,06/27/16 08:45:00 PM,14.553,14.170,14.026,13.858,,,
37,06/27/16 09:00:00 PM,14.577,14.170,14.026,13.858,,,
38,06/27/16 09:15:00 PM,14.601,14.194,14.026,13.858,,,
39,06/27/16 09:30:00 PM,14.601,14.194,14.050,13.858,,,
40,06/27/16 09:45:00 PM,14.625,14.218,14.050,13.858,,,
41,06/27/16 10:00:00 PM,14.625,14.218,14.050,13.858,,,
42,06/27/16 10:15:00 PM,14.625,14.242,14.050,13.858,,,
43,06/27/16 10:30:00 PM,14.649,14.242,14.074,13.882,,,
44,06/27/16 10:45:00 PM,14.649,14.266,14.074,13.882,,,
45,06/27/16 11:00:00 PM,14.649,14.266,14.098,13.882,,,
46,06/27/16 11:15:00 PM,14.649,14.290,14.098,13.882,,,
47,06/27/16 11:30:00 PM,14.649,14.290,14.098,13.882,,,
48,06/27/16 11:45:00 PM,14.649,14.290,14.098,13.882,,,
49,06/28/16 12:00:00 AM,14.649,14.314,14.098,13.882,,,
50,06/28/16 12:15:00 AM,14.625,14.314,14.098,13.882,,,
51,06/28/16 12:30:00 AM,14.625,14.314,14.122,13.906,,,
52,06/28/16 12:45:00 AM,14.601,14.314,14.122,13.906,,,
53,06/28/16 01:00:00 AM,14.601,14.337,14.122,13.906,,,
54,06/28/16 01:15:00 AM,14.577,14.337,14.122,13.906,,,
55,06/28/16 01:30:00 AM,14.577,14.314,14.146,13.906,,,
56,06/28/16 01:45:00 AM,14.553,14.337,14.146,13.906,,,
57,06/28/16 02:00:00 AM,14.529,14.337,14.146,13.906,,,
58,06/28/16 02:15:00 AM,14.529,14.337,14.146,13.906,,,
59,06/28/16 02:30:00 AM,14.505,14.314,14.146,13.906,,,
60,06/28/16 02:45:00 AM,14.481,14.314,14.146,13.930,,,
61,06/28/16 03:00:00 AM,14.433,14.314,14.146,13.930,,,
62,06/28/16 03:15:00 AM,14.409,14.314,14.170,13.930,,,
63,06/28/16 03:30:00 AM,14.385,14.314,14.170,13.930,,,
64,06/28/16 03:45:00 AM,14.361,14.290,14.170,13.930,,,
65,06/28/16 04:00:00 AM,14.337,14.290,14.170,13.930,,,
66,06/28/16 04:15:00 AM,14.314,14.290,14.146,13.930,,,
67,06/28/16 04:30:00 AM,14.290,14.290,14.146,13.930,,,
68,06/28/16 04:45:00 AM,14.266,14.266,14.146,13.930,,,
69,06/28/16 05:00:00 AM,14.242,14.266,14.146,13.930,,,
70,06/28/16 05:15:00 AM,14.218,14.242,14.146,13.930,,,
71,06/28/16 05:30:00 AM,14.218,14.242,14.146,13.930,,,
72,06/28/16 05:45:00 AM,14.194,14.218,14.146,13.930,,,
73,06/28/16 06:00:00 AM,14.170,14.218,14.146,13.930,,,
74,06/28/16 06:15:00 AM,14.146,14.194,14.122,13.930,,,
75,06/28/16 06:30:00 AM,14.122,14.194,14.122,13.930,,,
76,06/28/16 06:45:00 AM,14.122,14.194,14.122,13.930,,,
77,06/28/16 07:00:00 AM,14.098,14.170,14.122,13.930,,,
78,06/28/16 07:15:00 AM,14.098,14.170,14.122,13.930,,,
79,06/28/16 07:30:00 AM,14.074,14.146,14.122,13.930,,,
80,06/28/16 07:45:00 AM,14.074,14.146,14.098,13.930,,,
81,06/28/16 08:00:00 AM,14.074,14.122,14.098,13.930,,,
82,06/28/16 08:15:00 AM,14.050,14.122,14.098,13.930,,,
83,06/28/16 08:30:00 AM,14.050,14.122,14.098,13.930,,,
84,06/28/16 08:45:00 AM,14.050,14.098,14.098,13.930,,,
85,06/28/16 09:00:00 AM,14.050,14.098,14.074,13.906,,,
86,06/28/16 09:15:00 AM,14.050,14.098,14.074,13.906,,,
87,06/28/16 09:30:00 AM,14.026,14.098,14.074,13.906,,,
88,06/28/16 09:45:00 AM,14.026,14.074,14.074,13.906,,,
89,06/28/16 10:00:00 AM,14.026,14.074,14.074,13.906,,,
90,06/28/16 10:15:00 AM,14.026,14.074,14.050,13.906,,,
91,06/28/16 10:30:00 AM,14.050,14.050,14.050,13.906,,,
92,06/28/16 10:45:00 AM,14.050,14.050,14.050,13.906,,,
93,06/28/16 11:00:00 AM,14.050,14.050,14.050,13.906,,,
94,06/28/16 11:15:00 AM,14.074,14.050,14.050,13.906,,,
95,06/28/16 11:30:00 AM,14.074,14.050,14.050,13.906,,,
96,06/28/16 11:45:00 AM,14.074,14.050,14.050,13.906,,,
97,06/28/16 12:00:00 PM,14.098,14.050,14.026,13.882,,,
98,06/28/16 12:15:00 PM,14.098,14.050,14.026,13.882,,,
99,06/28/16 12:30:00 PM,14.122,14.050,14.026,13.882,,,
100,06/28/16 12:45:00 PM,14.122,14.050,14.026,13.882,,,
101,06/28/16 01:00:00 PM,14.146,14.050,14.026,13.882,,,
102,06/28/16 01:15:00 PM,14.170,14.050,14.002,13.882,,,
103,06/28/16 01:30:00 PM,14.194,14.050,14.026,13.882,,,
104,06/28/16 01:45:00 PM,14.218,14.050,14.026,13.882,,,
105,06/28/16 02:00:00 PM,14.242,14.050,14.002,13.882,,,
106,06/28/16 02:15:00 PM,14.266,14.050,14.026,13.858,,,
107,06/28/16 02:30:00 PM,14.290,14.074,14.026,13.858,,,
108,06/28/16 02:45:00 PM,14.314,14.074,14.026,13.858,,,
109,06/28/16 03:00:00 PM,14.361,14.074,14.002,13.882,,,
110,06/28/16 03:15:00 PM,14.385,14.098,14.002,13.858,,,
111,06/28/16 03:30:00 PM,14.409,14.098,14.002,13.858,,,
112,06/28/16 03:45:00 PM,14.433,14.122,14.026,13.858,,,
113,06/28/16 04:00:00 PM,14.457,14.122,14.026,13.858,,,
114,06/28/16 04:15:00 PM,14.505,14.146,14.026,13.858,,,
115,06/28/16 04:30:00 PM,14.529,14.146,14.026,13.858,,,
116,06/28/16 04:45:00 PM,14.553,14.170,14.026,13.858,,,
117,06/28/16 05:00:00 PM,14.601,14.170,14.026,13.858,,,
118,06/28/16 05:15:00 PM,14.625,14.194,14.050,13.858,,,
119,06/28/16 05:30:00 PM,14.649,14.194,14.050,13.858,,,
120,06/28/16 05:45:00 PM,14.697,14.218,14.050,13.858,,,
121,06/28/16 06:00:00 PM,14.721,14.218,14.050,13.858,,,
122,06/28/16 06:15:00 PM,14.745,14.242,14.074,13.858,,,
123,06/28/16 06:30:00 PM,14.792,14.266,14.074,13.858,,,
124,06/28/16 06:45:00 PM,14.816,14.290,14.074,13.858,,,
125,06/28/16 07:00:00 PM,14.864,14.314,14.074,13.858,,,
126,06/28/16 07:15:00 PM,14.888,14.314,14.098,13.882,,,
127,06/28/16 07:30:00 PM,14.912,14.337,14.098,13.882,,,
128,06/28/16 07:45:00 PM,14.936,14.361,14.098,13.882,,,
129,06/28/16 08:00:00 PM,14.960,14.361,14.122,13.882,,,
130,06/28/16 08:15:00 PM,14.984,14.385,14.122,13.882,,,
131,06/28/16 08:30:00 PM,15.008,14.409,14.146,13.882,,,
132,06/28/16 08:45:00 PM,15.008,14.433,14.146,13.882,,,
133,06/28/16 09:00:00 PM,15.031,14.457,14.146,13.906,,,
134,06/28/16 09:15:00 PM,15.031,14.457,14.170,13.906,,,
135,06/28/16 09:30:00 PM,15.055,14.481,14.170,13.906,,,
136,06/28/16 09:45:00 PM,15.055,14.481,14.194,13.906,,,
137,06/28/16 10:00:00 PM,15.055,14.505,14.194,13.906,,,
138,06/28/16 10:15:00 PM,15.055,14.505,14.218,13.906,,,
139,06/28/16 10:30:00 PM,15.055,14.529,14.218,13.930,,,
140,06/28/16 10:45:00 PM,15.031,14.529,14.218,13.930,,,
141,06/28/16 11:00:00 PM,15.031,14.553,14.242,13.930,,,
142,06/28/16 11:15:00 PM,15.031,14.553,14.242,13.930,,,
143,06/28/16 11:30:00 PM,15.008,14.553,14.242,13.954,,,
144,06/28/16 11:45:00 PM,15.008,14.553,14.266,13.954,,,
145,06/29/16 12:00:00 AM,14.984,14.577,14.266,13.954,,,
146,06/29/16 12:15:00 AM,14.984,14.577,14.290,13.954,,,
147,06/29/16 12:30:00 AM,14.960,14.577,14.290,13.978,,,
148,06/29/16 12:45:00 AM,14.936,14.577,14.290,13.978,,,
149,06/29/16 01:00:00 AM,14.936,14.577,14.290,13.978,,,
150,06/29/16 01:15:00 AM,14.912,14.577,14.314,13.978,,,
151,06/29/16 01:30:00 AM,14.888,14.577,14.314,14.002,,,
152,06/29/16 01:45:00 AM,14.864,14.577,14.314,14.002,,,
153,06/29/16 02:00:00 AM,14.864,14.577,14.314,14.002,,,
154,06/29/16 02:15:00 AM,14.840,14.577,14.314,14.002,,,
155,06/29/16 02:30:00 AM,14.816,14.577,14.314,14.002,,,
156,06/29/16 02:45:00 AM,14.792,14.553,14.314,14.002,,,
157,06/29/16 03:00:00 AM,14.768,14.553,14.337,14.002,,,
158,06/29/16 03:15:00 AM,14.745,14.553,14.337,14.002,,,
159,06/29/16 03:30:00 AM,14.721,14.553,14.337,14.026,,,
160,06/29/16 03:45:00 AM,14.721,14.553,14.337,14.026,,,
161,06/29/16 04:00:00 AM,14.673,14.529,14.337,14.026,,,
162,06/29/16 04:15:00 AM,14.649,14.529,14.337,14.026,,,
163,06/29/16 04:30:00 AM,14.625,14.529,14.337,14.026,,,
164,06/29/16 04:45:00 AM,14.601,14.505,14.314,14.026,,,
165,06/29/16 05:00:00 AM,14.577,14.505,14.337,14.026,,,
166,06/29/16 05:15:00 AM,14.553,14.481,14.337,14.026,,,
167,06/29/16 05:30:00 AM,14.505,14.481,14.314,14.026,,,
168,06/29/16 05:45:00 AM,14.481,14.481,14.314,14.026,,,
169,06/29/16 06:00:00 AM,14.457,14.457,14.314,14.050,,,
170,06/29/16 06:15:00 AM,14.409,14.457,14.314,14.026,,,
171,06/29/16 06:30:00 AM,14.385,14.433,14.314,14.050,,,
172,06/29/16 06:45:00 AM,14.361,14.433,14.290,14.050,,,
173,06/29/16 07:00:00 AM,14.337,14.409,14.314,14.050,,,
