"Titre de tracé : 21065769"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 21065769, SEN S/N: 21065769, LBL: tension)","Temp., °F (LGR S/N: 21065769, SEN S/N: 21065769, LBL: temperature)","Temp., °F (LGR S/N: 21065769, SEN S/N: 21065769, LBL: temperature boite)","Hôte connecté (LGR S/N: 21065769)","Arrêté (LGR S/N: 21065769)","Fin de fichier (LGR S/N: 21065769)"
1,03/02/22 03:00:00 PM,0.00835,487.387,472.748,,,
2,03/02/22 03:15:00 PM,1.47040,54.275,305.368,,,
3,03/02/22 03:30:00 PM,1.22023,47.131,284.706,,,
4,03/02/22 03:45:00 PM,1.29114,47.181,250.734,,,
5,03/02/22 04:00:00 PM,1.35817,47.255,236.385,,,
6,03/02/22 04:15:00 PM,1.45903,47.307,226.292,,,
7,03/02/22 04:30:00 PM,1.44312,47.370,220.467,,,
8,03/02/22 04:45:00 PM,1.44053,47.431,220.354,,,
9,03/02/22 05:00:00 PM,1.43664,47.502,223.441,,,
10,03/02/22 05:15:00 PM,1.43561,47.568,227.115,,,
11,03/02/22 05:30:00 PM,1.43400,47.629,231.141,,,
12,03/02/22 05:45:00 PM,1.42954,47.676,235.456,,,
13,03/02/22 06:00:00 PM,1.42863,47.714,239.486,,,
14,03/02/22 06:15:00 PM,1.42763,47.746,242.539,,,
15,03/02/22 06:30:00 PM,1.42859,47.772,245.619,,,
16,03/02/22 06:45:00 PM,1.42325,47.781,248.027,,,
17,03/02/22 07:00:00 PM,1.42454,47.772,250.245,,,
18,03/02/22 07:15:00 PM,1.42309,47.752,251.827,,,
19,03/02/22 07:30:00 PM,1.42226,47.727,253.179,,,
20,03/02/22 07:45:00 PM,1.41932,47.691,254.395,,,
21,03/02/22 08:00:00 PM,1.41722,47.640,254.998,,,
22,03/02/22 08:15:00 PM,1.41905,47.595,254.341,,,
23,03/02/22 08:30:00 PM,1.41741,47.552,255.634,,,
24,03/02/22 08:45:00 PM,1.41878,47.502,257.666,,,
25,03/02/22 09:00:00 PM,1.42077,47.451,258.039,,,
26,03/02/22 09:15:00 PM,1.42042,47.397,258.733,,,
27,03/02/22 09:30:00 PM,1.42153,47.336,258.996,,,
28,03/02/22 09:45:00 PM,1.42088,47.277,259.084,,,
29,03/02/22 10:00:00 PM,1.42237,47.206,259.407,,,
30,03/02/22 10:15:00 PM,1.41966,47.140,259.554,,,
